test_set,test_set_code,n_rechecked,max_abs_difference,median_abs_difference,verdict
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,60,0.31686328308152323,1.0749641843332824e-08,stale
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,60,0.09742173738129645,0.026554259115725787,stale
CoQA / Llama-7B,inside_coqa_llama7b,60,0.15204859843068314,0.05044815064188801,stale
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,60,0.028405725646976077,1.3449553692979066e-08,stale
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,60,0.006497786047316101,1.700064894416542e-08,stale
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,60,2.9666303968944874e-08,1.5262683505934405e-08,matches
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,60,0.063264830940026,1.7369812144174546e-08,stale
GSM8K / Nemo,lapeigvals_gsm8k_nemo,60,0.16554132866079724,1.6759039045410873e-08,stale
GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,60,0.0047303564913954155,1.1624494589135281e-08,stale
HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,60,2.8782078054234717e-08,1.3979211954673332e-08,matches
GSM8K / Mistral-7B,noise_gsm8k_mistral7b,60,0.0008668073591262537,1.4942342141388565e-08,matches
GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,60,0.12207658906422558,1.4751188603945309e-08,stale
SciQ / Llama-8B,sciq_llama8b,60,2.921490060980858e-08,1.5544608877871013e-08,matches
NQ-Open / Llama-8B,se_nq_open_llama8b,58,0.1104792271700793,0.026360884139706886,stale
SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,58,0.09694859668738565,0.010955704541314892,stale
TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,60,0.11867814727315262,0.021450643709596623,stale
TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,59,0.3742099692128618,0.034625037196807096,stale
TriviaQA / Llama-8B,spilled_triviaqa_llama8b,60,0.19133332077662146,0.030999986012776648,stale
TruthfulQA / Llama-8B,truthfulqa_llama8b,60,2.9627631126238896e-08,1.5874400682847067e-08,matches
