test_set,test_set_code,measurement,measurement_code,learned_weight,guessed_weight
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Average uncertainty per token,epr,-0.4869532235747722,0.026993042405838538
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Answer length,trace_length,-0.2676659686132978,-0.27163578671882355
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,How flat the uncertainty rhythm is,spectral_entropy,0.30251171330710663,0.273028700138657
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Slow drifts in uncertainty,low_band_power,-0.38719522599218986,0.2758480749481642
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Fast jitter in uncertainty,high_band_power,0.3889699188281358,-0.2574243057542758
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Jitter-to-drift ratio,hl_ratio,-0.4957250496122518,-0.31962374216667805
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Speed of the strongest rhythm,dominant_freq,-0.25022495522837873,-0.1574514427886441
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Average rhythm speed,spectral_centroid,-0.2330925425973343,-0.3121758181431118
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Strongest local burst of jitter,stft_max_high_power,0.07261620980166221,0.12454888835105493
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Local rhythm flatness,stft_spectral_entropy,-0.02274884508453928,-0.2312804498192544
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Late-answer uncertainty drift,rpdi,0.3036849933398666,-0.10450309688783913
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Burstiest stretch of the answer,sw_var_peak,0.08306199417567108,0.016854309780171734
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Ordinal pattern complexity,pe_mean,0.0417005006195784,-0.04261149710138317
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Self-similarity of the trace,hurst_exponent,-0.1000361687527487,-0.2624728402689429
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Size of the biggest shift,cusum_max,0.34437145874656144,0.3111659830050466
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Where the biggest shift happens,cusum_shift_idx,-0.07966398955760441,-0.024085049034538845
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Average surprise per token,epr_spilled,-0.46791568262347183,-0.026775068518728178
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Burstiest stretch (surprise),sw_var_peak_spilled,-0.0786853692478839,-0.015095499108700028
GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,Size of biggest shift (surprise),cusum_max_spilled,-0.021240668515574747,-0.3050628403363437
