test_set_code,rho_unit,macro_auroc_unit,rho_eigen,macro_auroc_eigen,rho_complete,macro_auroc_complete
ars_gsm8k_r1distill8b,0.04839897767720421,0.6483199687766109,0.013916697565195903,0.6320782606258513,-0.15906562847608455,0.6317154735865393
epr_triviaqa_mistral24b,0.4452445082071292,0.7233176224142446,0.12477791439337252,0.7163646574978075,-0.22328513162773453,0.7209456061380648
inside_coqa_llama7b,0.14945148570654812,0.5186825608515203,0.08667022839379285,0.5115087278483657,0.1023897225355867,0.514200649558186
internalstates_gsm8k_qwen25_7b,0.013076257570139669,0.6940345753242015,0.26777901371894697,0.6921432175850091,0.24506073199851025,0.6935913385394028
lapeigvals_gsm8k_llama3b,0.4352243233222099,0.6741162672329938,0.15382523791867506,0.6741666518097863,-0.17281344410288046,0.6724080866636019
lapeigvals_gsm8k_llama8b,0.14739950710993788,0.8021375847783087,0.3809417871709307,0.7980525084296403,0.05994314670621678,0.7998492747692043
lapeigvals_gsm8k_mistral24b,0.2411321221109875,0.8259698412436395,0.13187492275367696,0.8255813367899394,-0.10670842424911464,0.8228606025540125
lapeigvals_gsm8k_nemo,0.4487702385366456,0.7641154821284822,0.05317018909899889,0.7636097832547152,-0.17073291311333583,0.7641248260244807
lapeigvals_gsm8k_phi35,0.3853062821179004,0.7672031909623024,0.24384047789285176,0.7576710464770167,-0.06529537151307965,0.7613420837243584
losnet_hotpotqa_mistral7b,0.16633639736329853,0.5633052008371553,0.1001377025603438,0.561203572939571,-0.008730323487625789,0.560469903393445
math500_dsmath7b,0.2120728477142319,0.7499545105912399,0.1668670896046615,0.7498114487317713,-0.07202766478681269,0.7469904393650824
math500_qwenmath7b,0.03972314917809912,0.9075750319284802,0.26565963277472116,0.9058154439936895,0.09620902723347655,0.9085582413041845
math500_r1distill8b,0.20173384385095028,0.8235886723498113,0.25933177349130915,0.8225003421156432,0.005139768982191583,0.821281001714603
math500_r1distill8b_mn4096,0.3228113758648096,0.7987951848911168,0.02431665234745107,0.7993091124845831,-0.19267352599725815,0.7941532303402371
noise_gsm8k_mistral7b,0.10300333704115683,0.7622413445730791,0.07927326659251019,0.7598365062845057,-0.1610925719935731,0.7585998549303663
noise_gsm8k_phi3mini,0.46112965022864916,0.6366528101152412,0.16900259547645533,0.6344606607008696,-0.13548407172138413,0.6330844175165324
sciq_llama8b,0.4105440553013513,0.726883875879889,0.3477386243319941,0.7251256744081626,-0.020568031184626842,0.7281430373834329
se_nq_open_llama8b,0.5113088616981831,0.7186528626737327,0.4140650105054999,0.7089215892077345,0.23302434804103322,0.7103854619487174
se_squad_v2_llama8b,0.06424422197503399,0.7865654467910825,0.27593622543566926,0.7821976475049496,0.16163638610802128,0.7837909630279455
seiclr_triviaqa_opt30b,0.13231986157458905,0.5567008625518002,0.22857495983191198,0.5545479048375676,-0.06721048078111481,0.5546185259952027
semenergy_triviaqa_qwen3_8b,0.33065844201997563,0.7394244414156044,0.1325099115936287,0.7270086061790862,-0.04681345819474372,0.7293564021160504
spilled_triviaqa_llama8b,0.08291108351529004,0.9152271604938271,0.030760081398351378,0.9011061728395062,0.011921953010444365,0.9105506172839506
trace_gsm8k_llama8b_k10,0.29971573353108394,0.7932500388852292,0.2351501668520578,0.7877560943065924,-0.23727598566308242,0.7892987758014932
trace_math500_qwenmath15b_k10,-0.0027437893956247664,0.68203285709992,0.2667408231368187,0.6794618832652788,0.21978030855245068,0.6792906208873497
truthfulqa_llama8b,-0.10799653936472624,0.648649990964508,0.24647138796193302,0.646805325642941,0.1651464590285502,0.646487045943719
