experiment,method,auroc,vs_all_measurements_pp,vs_best_automatic_picker_pp,vs_six_hand_picked_pp,test_sets_better,test_sets_worse,wilcoxon_p,note
0. Reference points,"Ceiling: all measurements, trust levels trained on answer keys",0.7809,3.52,2.85,2.15,,,,
0. Reference points,"Best fixed subset: LOCO_5 (5 measurements, chosen with answer keys)",0.7705,2.48,1.81,1.11,,,,"Found by exhaustive enumeration and validated leave-one-test-set-out, so it is not chosen in-sample the way GOOD_6 was. Scored on 24 of 25 test sets; on that same 24 it beats GOOD_6 by 0.73 points. Still uses answer keys to choose the subset once."
0. Reference points,"Six hand-picked measurements, GOOD_6 (chosen with answer keys)",0.7594,1.37,0.7,0.0,,,,The standing anti-regression anchor: every experiment must reproduce 0.7594 before reporting anything.
0. Reference points,"Best automatic picker: a6.pl_dufs (chooses its own, no answer keys)",0.7524,0.67,0.0,-0.7,,,,"Pseudo-label gated DUFS. It builds a stand-in for the truth by fusing a few strong 'seed' measurements, then uses that to supervise which measurements get selected. Label-free AT RUNTIME - it never sees an answer key. BUT its seed set defaults to GOOD_6, which was itself chosen using answer keys, so it carries a label-derived prior. It is also the selector of record by default rather than by merit: BOTH its pre-registered bars failed (mechanism 0.207 vs a 0.30 bar; performance +0.22pp vs a +1.0pp bar), and its lead over GOOD_5 is +0.05pp, not significant. Treat 0.7524 as the number to beat, not as a strong result."
0. Reference points,"All measurements, our detector",0.7457,0.0,-0.67,-1.37,,,,
0. Reference points,Six measurements picked at random,0.736,-0.97,-1.64,-2.34,,,,
1. Grouping step,"Grouping ON, 3 measurements kept",0.6938,-5.19,-5.86,-6.56,,,,
1. Grouping step,"Grouping OFF, 3 measurements kept",0.703,-4.27,-4.94,-5.64,22,3,0.0000,difference +0.92 pp
1. Grouping step,"Grouping ON, 4 measurements kept",0.7108,-3.49,-4.16,-4.86,,,,
1. Grouping step,"Grouping OFF, 4 measurements kept",0.7174,-2.83,-3.5,-4.2,19,6,0.0000,difference +0.66 pp
1. Grouping step,"Grouping ON, 5 measurements kept",0.715,-3.07,-3.74,-4.44,,,,
1. Grouping step,"Grouping OFF, 5 measurements kept",0.7204,-2.53,-3.2,-3.9,18,7,0.0020,difference +0.54 pp
1. Grouping step,"Grouping ON, 6 measurements kept",0.7229,-2.28,-2.95,-3.65,,,,
1. Grouping step,"Grouping OFF, 6 measurements kept",0.7272,-1.85,-2.52,-3.22,21,4,0.0001,difference +0.44 pp
1. Grouping step,"Grouping ON, 8 measurements kept",0.7347,-1.1,-1.77,-2.47,,,,
