stratum,channel,floor_top5,best_extended_readout,floor_best_extended
steps_2_to_5,q15_H1,26.013526676661773,top30,20.06859797888508
steps_2_to_5,q15_VE1,24.85591676250493,top30,18.42479359950952
steps_2_to_5,chosen_surprisal,26.286842201511288,slope,35.3543361211419
steps_2_to_5,logprob_margin,35.18915156396246,top30,20.931438886101706
steps_2_to_5,true_tail50,29.70314825974282,top30,25.223469237871985
steps_2_to_5,energy_level,29.811923372985458,top30,22.268248591959637
steps_2_to_5,energy_innovation,171.46258605140096,jump,40.39708361451975
steps_2_to_5,top15_turnover,208.08377124486674,top30,25.379715150049538
steps_2_to_5,top50_js,81.36778187441213,iqr,39.98668747216996
steps_2_to_5,dominant_freq16,123.56815076149557,top30,43.883628647835266
steps_2_to_5,bocpd_p0,71.79482224687519,top30,55.83019066421314
steps_6_to_10,q15_H1,22.62546750472276,top30,15.868321688045038
steps_6_to_10,q15_VE1,20.10073479032059,top30,14.071061891908434
steps_6_to_10,chosen_surprisal,15.978620265167555,top30,19.408308843093064
steps_6_to_10,logprob_margin,26.922951057867127,top30,17.304306174372293
steps_6_to_10,true_tail50,24.82251146356878,top30,22.201028824891125
steps_6_to_10,energy_level,22.074237033925154,top30,16.12121302016251
steps_6_to_10,energy_innovation,163.34851388594333,frac_above_z,40.066264456103895
steps_6_to_10,top15_turnover,241.28038036808795,top30,30.632864359310755
steps_6_to_10,top50_js,108.99174582234929,iqr,39.719512571209606
steps_6_to_10,dominant_freq16,100.2170937845993,top30,35.7144280391217
steps_6_to_10,bocpd_p0,52.26759661883329,top30,35.390468386140185
steps_11_plus,q15_H1,16.559101872185746,top30,13.942299853195598
steps_11_plus,q15_VE1,18.223957505963806,top30,13.547446821777354
steps_11_plus,chosen_surprisal,11.051176832301811,top30,11.19812228028588
steps_11_plus,logprob_margin,21.366899158279477,top30,14.151973616647716
steps_11_plus,true_tail50,22.412430979865057,top30,20.076029000507404
steps_11_plus,energy_level,23.74465035395314,top30,17.38120473833382
steps_11_plus,energy_innovation,84.75559846652854,q90,30.18418732563287
steps_11_plus,top15_turnover,93.48044302223676,top30,30.09651377422179
steps_11_plus,top50_js,66.4519659561463,iqr,31.10640463454172
steps_11_plus,dominant_freq16,73.20982718626385,top30,43.443895454618584
steps_11_plus,bocpd_p0,30.60014277551028,top30,22.336796279060998
