split,table,lambda,weight_norm,weight_cosine_vs_iu,score_variance,score_laplacian_energy,projected_condition_number
pilot,full_response,0.0,0.18963172204412013,0.9999999999721917,0.2971907197456246,0.0692067399349372,2.40437206424137
pilot,full_response,0.1,0.17896766374286513,0.9986813928524175,0.26373312329399967,0.05901653657796789,2.1726792775037946
pilot,full_response,0.3,0.16202129521105701,0.9931881355083855,0.21418571024236516,0.045754125155424354,1.908021826154184
pilot,full_response,1.0,0.12325640047434307,0.978089465190619,0.12131687182341197,0.02451704690976482,1.6834412112264114
pilot,full_response,3.0,0.0735746792125966,0.9636171791483948,0.04239390222714843,0.008330790168300864,1.822076969756844
pilot,full_response,10.0,0.030512671658801473,0.9550750923229235,0.007209641073251364,0.0014011961864915997,2.0789088158717104
pilot,full_sentence,0.0,0.1857727466880248,0.9999999999710242,0.28350147361661976,0.017073707367080325,2.8512670772541227
pilot,full_sentence,0.1,0.17226468617959811,0.999942288727661,0.24365844973908288,0.014657268809706938,2.652830791755186
pilot,full_sentence,0.3,0.1504341299478403,0.9996813183915253,0.1856544283749538,0.011152118886427646,2.3859493285929294
pilot,full_sentence,1.0,0.10426988403514251,0.998855600249404,0.0890240639836546,0.005337343378128234,1.9738983220162387
pilot,full_sentence,3.0,0.05557504941263293,0.9979351372297763,0.0252447115088873,0.001511759528653497,1.6812734153966695
pilot,full_sentence,10.0,0.021095960956055537,0.9973332062880776,0.003633548814148468,0.00021747460002409752,1.531412096055707
pilot,noctx_response,0.0,0.24205813815164162,0.9999999999829329,0.23706599958352542,0.06184548050514219,1.2285368348905468
pilot,noctx_response,0.1,0.22323472457354904,0.999863114673926,0.20134078145380313,0.052217685492561686,1.2175801263979924
pilot,noctx_response,0.3,0.19344178556609404,0.9991581855506181,0.1508394541413345,0.038790421653633306,1.2210414681677204
pilot,noctx_response,1.0,0.1323862881428691,0.9963853996036484,0.07032306841975083,0.017825352586112224,1.2902226676229045
pilot,noctx_response,3.0,0.06989683198282692,0.9925052268747632,0.019516919455491243,0.004891032741429921,1.4053222502391085
pilot,noctx_response,10.0,0.026400483235220394,0.9895391183265724,0.002776471072395676,0.00069139342644872,1.4966148056656856
pilot,noctx_sentence,0.0,0.2364118907966034,0.9999999999821078,0.25542770432384415,0.014956898888432567,1.9789820332473913
pilot,noctx_sentence,0.1,0.21750040237406704,0.9999489131358986,0.21618645040218207,0.012642465517198947,1.911531183920428
pilot,noctx_sentence,0.3,0.18757288517140824,0.9996928117195284,0.1607458464987211,0.009383161853051249,1.8148753735350684
pilot,noctx_sentence,1.0,0.12673818489015334,0.9987306341851426,0.07331680379176662,0.00426703896575713,1.6512739674944745
pilot,noctx_sentence,3.0,0.06584661817756553,0.9974473709271167,0.01976542013404003,0.0011477981104229323,1.5243729894243292
pilot,noctx_sentence,10.0,0.024564328091197435,0.9964983526922603,0.0027481613997183342,0.00015939765275026392,1.4563187624570537
