split,table,type,method,n,positives,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high
pilot,full_sentence,baseless,ec_dufs_liu,157,9,0.7147147147147147,0.5375813808832677,0.8806750634287784,0.19213375092087964,0.06945128692751877,0.550746606882277
pilot,full_sentence,baseless,ec_iu_pcr,157,9,0.713963963963964,0.5375813808832677,0.8806750634287783,0.19141731049855687,0.06999216139696467,0.5504039634146336
pilot,full_sentence,baseless,ec_permuted_liu,157,9,0.713963963963964,0.5375813808832677,0.8806750634287784,0.19141731049855687,0.06999216139696467,0.5504039634146336
pilot,full_sentence,baseless,ec_ungated_liu,157,9,0.7132132132132132,0.5375813808832677,0.8806750634287783,0.1912078249949537,0.06945128692751877,0.5504039634146336
pilot,full_sentence,baseless,ec_upcr,157,9,0.7192192192192193,0.5464945746077822,0.8809438806330795,0.17368165784832454,0.06923609377221672,0.5860519733534437
pilot,full_sentence,baseless,gasp_ll,157,9,0.7222222222222222,0.5484462303865288,0.9137645439204192,0.23386266145232285,0.06178449342718843,0.4778809951588694
pilot,full_sentence,baseless,gasp_top50,157,9,0.7064564564564564,0.55792008757526,0.8588791491351098,0.14096072364220816,0.056329326701667126,0.23581320311083576
pilot,full_sentence,baseless,likelihood_gap,157,9,0.7192192192192193,0.5374891146589259,0.9029361449577059,0.16942688261413272,0.06170634920634921,0.41294102698550655
pilot,full_sentence,baseless,perplexity,157,9,0.6501501501501501,0.5087179487179487,0.7827290087549207,0.19436385196893657,0.049897664015543755,0.3961666045201302
pilot,full_sentence,conflict,ec_dufs_liu,153,5,0.7459459459459459,0.6062934757236228,0.8439903846153846,0.06964633639252725,0.028470484613172278,0.15409971072070144
pilot,full_sentence,conflict,ec_iu_pcr,153,5,0.7472972972972972,0.6062934757236227,0.8461858974358974,0.07004956219897887,0.028492647733739652,0.15409971072070144
pilot,full_sentence,conflict,ec_permuted_liu,153,5,0.7472972972972972,0.6062934757236227,0.8461858974358974,0.07004956219897887,0.028492647733739652,0.15409971072070144
pilot,full_sentence,conflict,ec_ungated_liu,153,5,0.7472972972972972,0.6062934757236227,0.8461858974358974,0.07004956219897887,0.028492647733739652,0.15409971072070144
pilot,full_sentence,conflict,ec_upcr,153,5,0.7405405405405405,0.6006250000000001,0.8392191142191142,0.06817052512704687,0.027441608599048428,0.14684822350913748
pilot,full_sentence,conflict,gasp_ll,153,5,0.6851351351351351,0.5530301847514962,0.793577715757836,0.05681859021481663,0.022767220723821084,0.11875872873512221
pilot,full_sentence,conflict,gasp_top50,153,5,0.6932432432432433,0.5640168795620438,0.7885343035343036,0.05880566614132956,0.022878139952153112,0.11311416282368303
pilot,full_sentence,conflict,likelihood_gap,153,5,0.7040540540540541,0.5733159541188739,0.8120558969856599,0.06032545998063239,0.023105521268107148,0.14821295217436664
pilot,full_sentence,conflict,perplexity,153,5,0.7878378378378379,0.6041581632653061,0.9546037296037295,0.27877076411960133,0.04104104134199894,0.5858068466621097
pilot,noctx_sentence,baseless,ec_dufs_liu,224,9,0.7328165374677003,0.6086617929752646,0.846251609025113,0.12605272001273626,0.04144830659536543,0.3542996287919815
pilot,noctx_sentence,baseless,ec_iu_pcr,224,9,0.7312661498708011,0.6111754146987308,0.845291466593497,0.12580174829654253,0.04072129748186086,0.3541676663851029
pilot,noctx_sentence,baseless,ec_permuted_liu,224,9,0.7312661498708011,0.6111754146987308,0.845291466593497,0.12580174829654253,0.04072129748186086,0.3541676663851029
pilot,noctx_sentence,baseless,ec_ungated_liu,224,9,0.7328165374677003,0.6086617929752646,0.846251609025113,0.12605272001273626,0.04144830659536543,0.3542996287919815
pilot,noctx_sentence,baseless,ec_upcr,224,9,0.7312661498708011,0.6111754146987308,0.845291466593497,0.12580174829654253,0.04072129748186086,0.3541676663851029
pilot,noctx_sentence,baseless,likelihood_gap,224,9,0.7586563307493541,0.55950516864777,0.9502968321277127,0.1634753835308958,0.04177362086797613,0.4402307879673609
pilot,noctx_sentence,baseless,perplexity,224,9,0.6873385012919896,0.5488076311605724,0.8299543087604657,0.18215093005356545,0.037802714180202104,0.3818147582236946
pilot,noctx_sentence,conflict,ec_dufs_liu,220,5,0.8744186046511628,0.7286373670155489,0.9615885416666666,0.13140940586761019,0.04271664957233778,0.30376901973995
pilot,noctx_sentence,conflict,ec_iu_pcr,220,5,0.8753488372093023,0.7292710613328366,0.9626041666666667,0.1340133965133965,0.04270691971885792,0.31100846521899156
pilot,noctx_sentence,conflict,ec_permuted_liu,220,5,0.8744186046511628,0.7290172542262375,0.9626041666666667,0.13384689634689634,0.04270691971885792,0.31100846521899156
pilot,noctx_sentence,conflict,ec_ungated_liu,220,5,0.8744186046511628,0.7286373670155489,0.9615885416666666,0.13140940586761019,0.04271664957233778,0.30376901973995
pilot,noctx_sentence,conflict,ec_upcr,220,5,0.8753488372093023,0.7292710613328366,0.9626041666666667,0.1340133965133965,0.04270691971885792,0.31100846521899156
pilot,noctx_sentence,conflict,likelihood_gap,220,5,0.775813953488372,0.6744754911310319,0.8708341935166753,0.055662287903667215,0.024386862900786448,0.14220088351143476
pilot,noctx_sentence,conflict,perplexity,220,5,0.8186046511627907,0.5810208037214112,0.9550928187591597,0.2706419662509171,0.027946521287642783,0.6979166666666666
