suite,comparison,saved_lost_early,saved_lost_late,saved_lost_gate,saved_lost_failure,gained,lost,lost_failure,lost_gate,lost_early,lost_late,lost_other,saved_rule_lost_early,overlap_in_saved
variance,b12_variance_separate_logit_minus_b12_variance_shared_logit,925,9,0,,283,934,0,0,925,9,0,925,False
variance,b12_variance_separate_logit_minus_rbm12__logit_old,881,10,0,,230,891,0,0,881,10,0,881,False
variance,b12_variance_separate_posterior_minus_b12_variance_shared_posterior,270,10,0,,208,280,0,0,270,10,0,270,False
variance,b12_variance_separate_posterior_minus_rbm12__old,512,4,0,,460,516,0,0,512,4,0,512,False
variance,b12_variance_shared_logit_minus_rbm12__logit_old,13,92,0,,95,105,0,0,13,92,0,13,False
variance,b12_variance_shared_posterior_minus_rbm12__old,353,22,0,,391,375,0,0,353,22,0,353,False
variance,b6_variance_separate_logit_minus_b6_variance_shared_logit,1019,0,0,,322,1019,0,0,1019,0,0,1019,False
variance,b6_variance_separate_logit_minus_rbm6__logit_old,868,0,0,,199,868,0,0,868,0,0,868,False
variance,b6_variance_separate_posterior_minus_b6_variance_shared_posterior,142,33,0,,191,175,0,0,142,33,0,142,False
variance,b6_variance_separate_posterior_minus_rbm6__old,116,42,0,,153,158,0,0,116,42,0,116,False
variance,b6_variance_shared_logit_minus_rbm6__logit_old,5,155,0,,188,160,0,0,5,155,0,5,False
variance,b6_variance_shared_posterior_minus_rbm6__old,21,81,0,,81,102,0,0,21,81,0,21,False
capacity,b12_cd1_logit_minus_b12_exact1_logit,510,7,0,,238,517,0,0,510,7,0,510,False
capacity,b12_cd1_logit_minus_rbm12__logit_old,510,7,0,,238,517,0,0,510,7,0,510,False
capacity,b12_cd1_posterior_minus_b12_exact1_posterior,74,44,0,,122,118,0,0,74,44,0,74,False
capacity,b12_cd1_posterior_minus_rbm12__old,74,44,0,,122,118,0,0,74,44,0,74,False
capacity,b12_cd4_logit_minus_b12_exact4_logit,113,63,0,,295,176,0,0,113,63,0,113,False
capacity,b12_cd4_logit_minus_rbm12__logit_old,519,8,0,,244,527,0,0,519,8,0,519,False
capacity,b12_cd4_posterior_minus_b12_exact4_posterior,18,198,0,,620,216,0,0,18,198,0,18,False
capacity,b12_cd4_posterior_minus_rbm12__old,170,47,0,,195,217,0,0,170,47,0,170,False
capacity,b12_exact1_logit_minus_rbm12__logit_old,0,0,0,,0,0,0,0,0,0,0,0,False
capacity,b12_exact1_posterior_minus_rbm12__old,0,0,0,,0,0,0,0,0,0,0,0,False
capacity,b12_exact4_logit_minus_b12_exact1_logit,664,37,0,,299,701,0,0,664,37,0,664,False
capacity,b12_exact4_logit_minus_rbm12__logit_old,664,37,0,,299,701,0,0,664,37,0,664,False
capacity,b12_exact4_posterior_minus_b12_exact1_posterior,704,26,0,,304,730,0,0,704,26,0,704,False
capacity,b12_exact4_posterior_minus_rbm12__old,704,26,0,,304,730,0,0,704,26,0,704,False
capacity,b6_cd1_logit_minus_b6_exact1_logit,523,8,0,,188,531,0,0,523,8,0,523,False
capacity,b6_cd1_logit_minus_rbm6__logit_old,523,8,0,,188,531,0,0,523,8,0,523,False
capacity,b6_cd1_posterior_minus_b6_exact1_posterior,99,47,0,,144,146,0,0,99,47,0,99,False
capacity,b6_cd1_posterior_minus_rbm6__old,99,47,0,,144,146,0,0,99,47,0,99,False
capacity,b6_cd4_logit_minus_b6_exact4_logit,74,25,0,,229,99,0,0,74,25,0,74,False
capacity,b6_cd4_logit_minus_rbm6__logit_old,551,8,0,,200,559,0,0,551,8,0,551,False
capacity,b6_cd4_posterior_minus_b6_exact4_posterior,19,156,0,,602,175,0,0,19,156,0,19,False
capacity,b6_cd4_posterior_minus_rbm6__old,260,45,0,,215,305,0,0,260,45,0,260,False
capacity,b6_exact1_logit_minus_rbm6__logit_old,0,0,0,,0,0,0,0,0,0,0,0,False
capacity,b6_exact1_posterior_minus_rbm6__old,0,0,0,,0,0,0,0,0,0,0,0,False
capacity,b6_exact4_logit_minus_b6_exact1_logit,677,21,0,,209,698,0,0,677,21,0,677,False
capacity,b6_exact4_logit_minus_rbm6__logit_old,677,21,0,,209,698,0,0,677,21,0,677,False
capacity,b6_exact4_posterior_minus_b6_exact1_posterior,787,15,0,,285,802,0,0,787,15,0,787,False
capacity,b6_exact4_posterior_minus_rbm6__old,787,15,0,,285,802,0,0,787,15,0,787,False
temporal,b12_chain_full_logit_minus_b12_chain_shuffled_logit,26,82,0,,75,108,0,0,26,82,0,26,False
temporal,b12_chain_full_logit_minus_b12_chain_step_reset_logit,5,9,0,,10,14,0,0,5,9,0,5,False
temporal,b12_chain_full_logit_minus_rbm12__logit_old,25,82,0,,73,107,0,0,25,82,0,25,False
