method,label,fit_access,pb_all8,pb_q4,pb_q8,prm_within,prm_pooled,prmscore_q08,prm_fold_auc,valid_answers
rbm6__old,rbm6__old,existing reference,0.36201684493602676,0.37351290000539755,0.350520789866656,0.7359819427631672,0.7081098773075334,0.6307492926682718,0.7084114634537172,13769
rbm6__near,rbm6__near,existing reference,0.3109504672473823,0.3221215019432918,0.29977943255147277,0.7394268668156843,0.7018108615545064,0.6308110717880248,0.7022250401176235,13769
initial6__old,initial6__old,existing reference,0.35966210065316107,0.36767337993745064,0.35165082136887144,0.744067528910734,0.6950464031735148,0.6130847986432351,0.695218891299853,13769
initial6__near,initial6__near,existing reference,0.33650989260874664,0.34433323258662635,0.328686552630867,0.7464249785094107,0.6953234333901513,0.6146888007454225,0.6954900795679235,13769
rbm12__old,rbm12__old,existing reference,0.36375046669893774,0.37118546805583574,0.35631546534203984,0.7387017592037592,0.710417498206284,0.6292760348084029,0.7108125617128248,13769
rbm12__near,rbm12__near,existing reference,0.27515939774655546,0.2828920728560532,0.26742672263705775,0.7118647170917949,0.6782109577147757,0.5730769793312541,0.6787429965986987,13769
initial12__old,initial12__old,existing reference,0.3629459417341435,0.3714627820322608,0.3544291014360264,0.7463248825565488,0.6901095815877019,0.6053132074697835,0.6902917377169364,13769
initial12__near,initial12__near,existing reference,0.3464111450182683,0.3522369703225708,0.34058531971396583,0.7494934942938128,0.6910346110332516,0.6076811845178024,0.6912164732802211,13769
entropy__old,entropy__old,existing reference,0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124386,0.7026639408146143,0.625425539209566,0.7030379238662297,13769
entropy__near,entropy__near,existing reference,0.36190007198560015,0.3678123097324887,0.3559878342387116,0.7306102589239587,0.7028502843168114,0.6257432275940159,0.7032330134495206,13769
var15__old,var15__old,existing reference,0.35960987290405433,0.36635390100610593,0.3528658448020027,0.7377863024015934,0.710137783099181,0.6257812284738609,0.7105331032863103,13769
var15__near,var15__near,existing reference,0.36946438400330117,0.375986625186314,0.3629421428202883,0.7383629265432433,0.7103958351795181,0.6269998896402591,0.7107980798466011,13769
var50__old,var50__old,existing reference,0.3567552412698325,0.36080751148342693,0.35270297105623816,0.742464548435578,0.7157833866814454,0.6327768738968429,0.7162015945577326,13769
var50__near,var50__near,existing reference,0.36436642599174407,0.3693347743935006,0.3593980775899876,0.7438256321117211,0.7159201063894814,0.6329032598959743,0.7163421853559953,13769
var15_equal__old,var15_equal__old,existing reference,0.3559804364327355,0.3612819032849405,0.3506789695805306,0.746980350290861,0.6999879034964627,0.6128118227013558,0.7001582996975813,13769
