method,PB_all8,PB_Q4,PB_Q8,PRMB_within,PRMB_pooled,PRMScore,raw_exact,exact_true_longest,exact_true_not_longest,within_one,early,late
length,0.33694358307088546,0.3387590017246516,0.3351281644171193,0.6181358410980654,0.5861989132220188,0.5278777173269932,0.29671319225574067,1.0,0.0,0.5321927059882936,1448,1676
random_step,0.20275017613612,0.1963902368395288,0.20911011543271124,0.49847952604800216,0.5015348181277717,0.4979413313988752,0.15330932012606935,0.18892261001517452,0.1382842509603073,0.4279603782080144,1528,2233
position_first,0.18755568236605719,0.18990899659943522,0.18520236813267912,0.33826853686226915,0.49713568350639165,0.44097163922500615,0.12246735704637551,0.17298937784522003,0.10115236875800256,0.35974786132372805,3898,0
entropy_top10,0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124386,0.7026639408146143,0.625425539209566,0.31539846915803693,0.5311077389984825,0.22439180537772088,0.5585321927059883,1124,1917
entropy_rise_vs_history,0.3641953797957831,0.37513936018548905,0.3532513994060772,0.7282145482421842,0.7037289927165635,0.6242990415404557,0.3255290409725349,0.5015174506828528,0.25128040973111393,0.5713642503376857,1545,1451
entropy_first_near_max,0.36190007198560015,0.3678123097324887,0.3559878342387116,0.7306102589239587,0.7028502843168114,0.6257432275940159,0.325078793336335,0.5318664643399089,0.23783610755441742,0.5756416028815848,1429,1569
entropy_provenance_reassign,0.3542753047161995,0.3632787428837984,0.34527186654860054,0.7288018080970876,0.7019443221442355,0.6253004308508066,0.3158487167942368,0.5303490136570561,0.22535211267605634,0.5589824403421882,1126,1913
entropy_provenance_duplicate,0.3542753047161995,0.3632787428837984,0.34527186654860054,0.7304985852591426,0.7029478242341048,0.6254150432202645,0.3158487167942368,0.5311077389984825,0.22503201024327785,0.5589824403421882,1125,1914
entropy_provenance_shuffled,0.354106687163365,0.3632787428837984,0.3449346314429317,0.7282671325321866,0.7015415740309084,0.6251040763082564,0.31539846915803693,0.5303490136570561,0.22471190781049935,0.5587573165240882,1126,1915
varentropy_top10,0.3567552412698325,0.36080751148342693,0.35270297105623816,0.742464548435578,0.7157833866814454,0.6327768738968429,0.32215218370103554,0.5235204855842185,0.23719590268886043,0.5655110310670869,1051,1960
varentropy_rise_vs_history,0.3643454093606026,0.3706703604627666,0.35802045825843865,0.7447263710380506,0.7211824602714135,0.6394294263268017,0.3280054029716344,0.4992412746585736,0.2557618437900128,0.5767672219720846,1437,1548
varentropy_first_near_max,0.36436642599174407,0.3693347743935006,0.3593980775899876,0.7438256321117211,0.7159201063894814,0.6329032598959743,0.32868077442593424,0.5295902883156297,0.2439180537772087,0.5765420981539847,1302,1680
varentropy_provenance_reassign,0.3572859720938173,0.36186897313139643,0.35270297105623816,0.7410896560120698,0.7150714661357679,0.6319195979762559,0.32282755515533545,0.5242792109256449,0.23783610755441742,0.5659612787032868,1050,1958
varentropy_provenance_duplicate,0.3570747502562466,0.36144652945625505,0.35270297105623816,0.7429961737264964,0.7160327057133754,0.6327524575178556,0.32282755515533545,0.5242792109256449,0.23783610755441742,0.5659612787032868,1050,1958
varentropy_provenance_shuffled,0.3571397774243017,0.3615765837923652,0.35270297105623816,0.7410195416459937,0.7147839712735354,0.6318464271723702,0.3226024313372355,0.5235204855842185,0.23783610755441742,0.5659612787032868,1051,1958
