access_tier,candidate,cells,primary,task
A,finalist_global_detector_local_locator,8,0.3662328341717007,local
A,gl_liu_v1_replay,8,0.3364034489983525,local
A,max_entropy__peak,8,0.3110940034934562,local
A,max_entropy__persistent_q90_3,8,0.32795751324595845,local
A,max_entropy__step_top5mean,8,0.3614213583669282,local
A,mind_the_gap,8,0.2645974898090595,local
B,qwen3_judge_control,8,0.09133379733024463,local
B,qwen72b_critic,8,0.5895018260040863,local
B,qwen_prm,8,0.727976378447293,local
A,step272_twohead,8,0.307830307935155,local
