abstentions,access_tier,base_candidate,calibration_f1,candidate,clean_abstention,coverage,detector_auprc,detector_auroc,exact_error,f1,family,fidelity,late_location_rate,locator,mean_absolute_step_error,model,n,primary,requested_n,task,threshold,within_one
,A,,0.3716405605935697,finalist_global_detector_local_locator,0.5555555555555556,,0.8773100192036465,0.8347222222222221,0.525,0.5398457583547558,gsm8k,,,,,qwen3_8b,76,0.5398457583547558,,local,-0.17784578467156104,0.675
,A,gl_liu_v1_replay,0.3271510249616511,gl_liu_v1_replay,0.7777777777777778,,0.873141028494858,0.829861111111111,0.3,0.4329896907216495,gsm8k,registered_incumbent_replay,,peak,,qwen3_8b,76,0.4329896907216495,,local,0.005726928983488259,0.525
,A,step272_twohead,0.32981366459627326,step272_twohead,0.6944444444444444,,0.887565170942091,0.85625,0.35,0.4654255319148936,gsm8k,registered_incumbent_replay,,peak,,qwen3_8b,76,0.4654255319148936,,local,-0.09046654336912238,0.55
,A,max_entropy,0.2949610815239656,max_entropy__peak,0.5555555555555556,,0.8574971289141756,0.8340277777777778,0.3,0.3896103896103896,gsm8k,transparent_same_trace_baseline,0.4,peak,1.4,qwen3_8b,76,0.3896103896103896,,local,1.767224133014679,0.6
,A,max_entropy,0.3716405605935697,max_entropy__persistent_q90_3,0.5833333333333334,,0.8574971289141756,0.8340277777777778,0.375,0.45652173913043476,gsm8k,transparent_same_trace_baseline,0.225,persistent_q90_3,1.175,qwen3_8b,76,0.45652173913043476,,local,1.8165793418884277,0.625
,A,max_entropy,0.38219044523886897,max_entropy__step_top5mean,0.5833333333333334,,0.8574971289141756,0.8340277777777778,0.45,0.5080645161290323,gsm8k,transparent_same_trace_baseline,0.3,step_top5mean,1.225,qwen3_8b,76,0.5080645161290323,,local,1.8191918730735779,0.6
,A,mind_the_gap,0.29013693193093865,mind_the_gap,0.6666666666666666,,0.8289051398777226,0.8222222222222223,0.25,0.36363636363636365,gsm8k,protocol_reproduction,,paper_evidence_drop,,qwen3_8b,76,0.36363636363636365,,local,0.4457353771886261,0.5
0,B,qwen_prm,,qwen_prm,1.0,1.0,,,0.675,0.8059701492537313,gsm8k,exact_local_competitor_run,,native_prediction,,qwen3_8b,76,0.8059701492537313,76,local,,0.775
0,B,qwen72b_critic,,qwen72b_critic,0.9444444444444444,1.0,,,0.55,0.6951672862453532,gsm8k,critic_protocol_different_model,,native_prediction,,qwen3_8b,76,0.6951672862453532,76,local,,0.625
0,B,qwen3_judge_control,,qwen3_judge_control,0.4444444444444444,1.0,,,0.075,0.12834224598930483,gsm8k,exact_local_competitor_run,,native_prediction,,qwen3_8b,76,0.12834224598930483,76,local,,0.3
,A,,0.39883345156459366,finalist_global_detector_local_locator,0.6216216216216216,,0.8334747350861409,0.761011011011011,0.26851851851851855,0.3750351419735733,math,,,,,qwen3_8b,182,0.3750351419735733,,local,-0.1661636851846857,0.46296296296296297
,A,gl_liu_v1_replay,0.36368654944933615,gl_liu_v1_replay,0.6216216216216216,,0.8165478277041858,0.7525025025025025,0.3055555555555556,0.40971659919028347,math,registered_incumbent_replay,,peak,,qwen3_8b,182,0.40971659919028347,,local,-0.40053544039386,0.5277777777777778
,A,step272_twohead,0.31802981529518387,step272_twohead,0.5405405405405406,,0.8391537601128585,0.767017017017017,0.23148148148148148,0.3241491085899514,math,registered_incumbent_replay,,peak,,qwen3_8b,182,0.3241491085899514,,local,-0.343995573423375,0.4444444444444444
,A,max_entropy,0.3080163222324602,max_entropy__peak,0.47297297297297297,,0.7842369326870735,0.7318568568568569,0.23148148148148148,0.3108348134991119,math,transparent_same_trace_baseline,0.4722222222222222,peak,1.5833333333333333,qwen3_8b,182,0.3108348134991119,,local,2.0348258018493652,0.42592592592592593
,A,max_entropy,0.33130094345677424,max_entropy__persistent_q90_3,0.47297297297297297,,0.7842369326870735,0.7318568568568569,0.24074074074074073,0.3190743338008415,math,transparent_same_trace_baseline,0.21296296296296297,persistent_q90_3,1.25,qwen3_8b,182,0.3190743338008415,,local,2.026930809020996,0.5555555555555556
,A,max_entropy,0.3822476735862563,max_entropy__step_top5mean,0.47297297297297297,,0.7842369326870735,0.7318568568568569,0.2962962962962963,0.3643461288223812,math,transparent_same_trace_baseline,0.37037037037037035,step_top5mean,1.4444444444444444,qwen3_8b,182,0.3643461288223812,,local,2.026414155960083,0.5
,A,mind_the_gap,0.29353688925338295,mind_the_gap,0.5945945945945946,,0.7979831577193723,0.7205955955955956,0.14814814814814814,0.2371967654986523,math,protocol_reproduction,,paper_evidence_drop,,qwen3_8b,182,0.2371967654986523,,local,0.5206191790003547,0.3425925925925926
0,B,qwen_prm,,qwen_prm,0.9459459459459459,1.0,,,0.7129629629629629,0.8130939809926082,math,exact_local_competitor_run,,native_prediction,,qwen3_8b,182,0.8130939809926082,182,local,,0.8240740740740741
0,B,qwen72b_critic,,qwen72b_critic,0.9054054054054054,1.0,,,0.46296296296296297,0.6126554498902707,math,critic_protocol_different_model,,native_prediction,,qwen3_8b,182,0.6126554498902707,182,local,,0.5740740740740741
0,B,qwen3_judge_control,,qwen3_judge_control,0.5405405405405406,1.0,,,0.05555555555555555,0.10075566750629722,math,exact_local_competitor_run,,native_prediction,,qwen3_8b,182,0.10075566750629722,182,local,,0.12962962962962962
,A,,0.34302431888827944,finalist_global_detector_local_locator,0.5308641975308642,,0.7871656618571149,0.7460157126823794,0.21818181818181817,0.3092598142043752,olympiadbench,,,,,qwen3_8b,191,0.3092598142043752,,local,-0.24366336851464176,0.42727272727272725
,A,gl_liu_v1_replay,0.31470813358578736,gl_liu_v1_replay,0.5185185185185185,,0.776773315167965,0.740179573512907,0.16363636363636364,0.24876604146100686,olympiadbench,registered_incumbent_replay,,peak,,qwen3_8b,191,0.24876604146100686,,local,-0.6613002670140935,0.43636363636363634
,A,step272_twohead,0.301118876054604,step272_twohead,0.5802469135802469,,0.8069955359560519,0.7636363636363636,0.12727272727272726,0.20875634517766492,olympiadbench,registered_incumbent_replay,,peak,,qwen3_8b,191,0.20875634517766492,,local,-0.3967155312196391,0.34545454545454546
,A,max_entropy,0.3058057099061123,max_entropy__peak,0.5925925925925926,,0.763404509335332,0.742648709315376,0.12727272727272726,0.20954162768942936,olympiadbench,transparent_same_trace_baseline,0.4090909090909091,peak,2.390909090909091,qwen3_8b,191,0.20954162768942936,,local,2.188674211502075,0.34545454545454546
,A,max_entropy,0.3096872616323417,max_entropy__persistent_q90_3,0.5925925925925926,,0.763404509335332,0.742648709315376,0.16363636363636364,0.2564559216384684,olympiadbench,transparent_same_trace_baseline,0.14545454545454545,persistent_q90_3,2.190909090909091,qwen3_8b,191,0.2564559216384684,,local,2.188674211502075,0.36363636363636365
,A,max_entropy,0.35353535353535354,max_entropy__step_top5mean,0.5925925925925926,,0.763404509335332,0.742648709315376,0.19090909090909092,0.28878384185646755,olympiadbench,transparent_same_trace_baseline,0.34545454545454546,step_top5mean,2.081818181818182,qwen3_8b,191,0.28878384185646755,,local,2.188674211502075,0.4
,A,mind_the_gap,0.2682710478614679,mind_the_gap,0.4444444444444444,,0.8107084138795476,0.7378226711560045,0.17272727272727273,0.24877250409165302,olympiadbench,protocol_reproduction,,paper_evidence_drop,,qwen3_8b,191,0.24877250409165302,,local,0.5755543358459551,0.34545454545454546
0,B,qwen_prm,,qwen_prm,0.8395061728395061,1.0,,,0.509090909090909,0.6338215712383488,olympiadbench,exact_local_competitor_run,,native_prediction,,qwen3_8b,191,0.6338215712383488,191,local,,0.6636363636363637
0,B,qwen72b_critic,,qwen72b_critic,0.9135802469135802,1.0,,,0.3090909090909091,0.46190563612997976,olympiadbench,critic_protocol_different_model,,native_prediction,,qwen3_8b,191,0.46190563612997976,191,local,,0.4636363636363636
0,B,qwen3_judge_control,,qwen3_judge_control,0.43209876543209874,1.0,,,0.045454545454545456,0.08225616921269095,olympiadbench,exact_local_competitor_run,,native_prediction,,qwen3_8b,191,0.08225616921269095,191,local,,0.14545454545454545
,A,,0.35172738559013655,finalist_global_detector_local_locator,0.5555555555555556,,0.9330174271530302,0.8267927501970055,0.22695035460992907,0.3222557905337362,omnimath,,,,,qwen3_8b,186,0.3222557905337362,,local,-0.29708059556573263,0.475177304964539
,A,gl_liu_v1_replay,0.2723029317669272,gl_liu_v1_replay,0.5111111111111111,,0.9230751711427425,0.8063041765169425,0.18439716312056736,0.27101744844776793,omnimath,registered_incumbent_replay,,peak,,qwen3_8b,186,0.27101744844776793,,local,-0.8072191665047179,0.4397163120567376
,A,step272_twohead,0.28566208377106844,step272_twohead,0.5777777777777777,,0.9310261346791691,0.8296296296296296,0.19858156028368795,0.29557450263905805,omnimath,registered_incumbent_replay,,peak,,qwen3_8b,186,0.29557450263905805,,local,-0.7014593875176566,0.4326241134751773
,A,max_entropy,0.2941233988461915,max_entropy__peak,0.4888888888888889,,0.903042234870864,0.8009456264775414,0.19148936170212766,0.2751911049339819,omnimath,transparent_same_trace_baseline,0.524822695035461,peak,2.297872340425532,qwen3_8b,186,0.2751911049339819,,local,2.1438632011413574,0.45390070921985815
,A,max_entropy,0.3494740660137831,max_entropy__persistent_q90_3,0.4888888888888889,,0.903042234870864,0.8009456264775414,0.2127659574468085,0.29649595687331537,omnimath,transparent_same_trace_baseline,0.20567375886524822,persistent_q90_3,2.1631205673758864,qwen3_8b,186,0.29649595687331537,,local,2.1438632011413574,0.475177304964539
,A,max_entropy,0.34171094834601945,max_entropy__step_top5mean,0.4888888888888889,,0.903042234870864,0.8009456264775414,0.2907801418439716,0.3646654538103901,omnimath,transparent_same_trace_baseline,0.48936170212765956,step_top5mean,2.2127659574468086,qwen3_8b,186,0.3646654538103901,,local,2.1197502613067627,0.524822695035461
,A,mind_the_gap,0.2905275900332896,mind_the_gap,0.5555555555555556,,0.899244830441985,0.7804570527974783,0.1347517730496454,0.21689497716894976,omnimath,protocol_reproduction,,paper_evidence_drop,,qwen3_8b,186,0.21689497716894976,,local,0.5577145301934276,0.3475177304964539
0,B,qwen_prm,,qwen_prm,0.8,1.0,,,0.5602836879432624,0.6590198123044838,omnimath,exact_local_competitor_run,,native_prediction,,qwen3_8b,186,0.6590198123044838,186,local,,0.6524822695035462
4,B,qwen72b_critic,,qwen72b_critic,0.8666666666666667,0.978494623655914,,,0.44525547445255476,0.5882789317507419,omnimath,critic_protocol_different_model,,native_prediction,,qwen3_8b,182,0.5882789317507419,186,local,,0.5693430656934306
0,B,qwen3_judge_control,,qwen3_judge_control,0.5555555555555556,1.0,,,0.028368794326241134,0.05398110661268556,omnimath,exact_local_competitor_run,,native_prediction,,qwen3_8b,186,0.05398110661268556,186,local,,0.15602836879432624
,A,,0.4110671936758894,finalist_global_detector_local_locator,0.6388888888888888,,0.850293229666331,0.8006944444444445,0.325,0.430835734870317,gsm8k,,,,,llama31_8b,76,0.430835734870317,,local,-0.20283408408877937,0.5
,A,gl_liu_v1_replay,0.41033713760986495,gl_liu_v1_replay,0.8055555555555556,,0.8414102255793593,0.7861111111111112,0.25,0.3815789473684211,gsm8k,registered_incumbent_replay,,peak,,llama31_8b,76,0.3815789473684211,,local,-0.0817902033955048,0.45
,A,step272_twohead,0.4481236203090508,step272_twohead,0.6388888888888888,,0.8284455575002203,0.7673611111111112,0.175,0.2747440273037542,gsm8k,registered_incumbent_replay,,peak,,llama31_8b,76,0.2747440273037542,,local,-0.24475336630915712,0.45
,A,max_entropy,0.3741662599642102,max_entropy__peak,0.5833333333333334,,0.7764008459792016,0.7340277777777777,0.325,0.41743119266055045,gsm8k,transparent_same_trace_baseline,0.45,peak,1.5,llama31_8b,76,0.41743119266055045,,local,2.1016604900360107,0.5
