delta,family,metric_id,n_groups
-0.08010121258118887,gsm8k,macro_f1,76
-0.07500000000000001,gsm8k,exact_error,76
0.125,gsm8k,clean_abstention,76
-0.11249999999999999,gsm8k,within_one,76
-0.032780173093741954,math,macro_f1,182
0.0046296296296296224,math,exact_error,182
-0.14189189189189186,math,clean_abstention,182
0.10185185185185183,math,within_one,182
0.027005839410405796,olympiadbench,macro_f1,191
0.027272727272727268,olympiadbench,exact_error,191
-0.0432098765432099,olympiadbench,clean_abstention,191
0.03636363636363635,olympiadbench,within_one,191
0.040134570175433926,omnimath,macro_f1,186
0.035460992907801414,omnimath,exact_error,186
0.011111111111111127,omnimath,clean_abstention,186
0.04255319148936171,omnimath,within_one,186
