slice_type,slice_id,status,positive_class,auroc,auprc,mean_risk,risk_q90,coverage,n_examples,n_positive,n_negative
overall,all,OK,annotated_error_step,0.5865331582154862,0.2005527878381169,0.514299260954404,0.8648475628265297,1.0,83280,13144,70136
error_family,circular,OK,annotated_error_step,0.6023639454800277,0.32234889142132983,0.6032977368986577,0.9167037125848211,1.0,7813,2135,5678
error_family,confidence,OK,annotated_error_step,0.5810436799431975,0.16121057505189704,0.5031791551044282,0.8350249812149619,1.0,10711,1303,9408
error_family,counterfactual,OK,annotated_error_step,0.5570879711762032,0.23817427246122674,0.49810403308987083,0.8426157653697132,1.0,10477,2074,8403
error_family,deception,OK,annotated_error_step,0.5035036819463741,0.17735332484587776,0.4686124250775813,0.8432336775472862,1.0,10053,1698,8355
error_family,domain_inconsistency,OK,annotated_error_step,0.6073409751708202,0.17177365776657308,0.5726858178618885,0.8968428277778783,1.0,10031,1338,8693
error_family,missing_condition,OK,annotated_error_step,0.5496016315570708,0.22579750681147132,0.5531843183409602,0.9254137068741048,1.0,9613,1869,7744
error_family,multi_solutions,METRIC_UNDEFINED_SINGLE_CLASS,annotated_error_step,,,0.20814366314112706,0.48172774723168055,1.0,2241,0,2241
error_family,redundency,OK,annotated_error_step,0.5956726923526934,0.1704308983501934,0.5052131454375249,0.8222871056760916,1.0,11613,1537,10076
error_family,step_contradiction,OK,annotated_error_step,0.5869587549844849,0.13857955912927752,0.5035669408401408,0.8393713444594281,1.0,10728,1190,9538
source_stratum,prm_train,BLOCKED_METADATA_NOT_IN_SEALED_EVALUATOR,annotated_error_step,,,,,,0,0,0
source_stratum,prm_test,BLOCKED_METADATA_NOT_IN_SEALED_EVALUATOR,annotated_error_step,,,,,,0,0,0
