model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.3412117738291918,0.26570048309178745,0.5265700483091788,0.47668393782383417,0.3675,400,207,193
qwen3_4b,math,processbench_math_qwen3_4b,0.3063339860895402,0.21717171717171718,0.4898989898989899,0.5197044334975369,0.34,1000,594,406
qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.2800940381295228,0.18910741301059,0.40998487140695916,0.5398230088495575,0.308,1000,661,339
qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.2802800140937768,0.17918313570487485,0.37681159420289856,0.6431535269709544,0.291,1000,759,241
qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3196895817594945,0.23671497584541062,0.48792270531400966,0.49222797927461137,0.36,400,207,193
qwen3_8b,math,processbench_math_qwen3_8b,0.30651689724589887,0.21043771043771045,0.46464646464646464,0.5640394088669951,0.354,1000,594,406
qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.2769908718917218,0.1815431164901664,0.42208774583963693,0.584070796460177,0.318,1000,661,339
qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.25478192394645266,0.155467720685112,0.37549407114624506,0.7053941908713693,0.288,1000,759,241
llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,0.3769676884838443,0.3140096618357488,0.5748792270531401,0.47150259067357514,0.39,400,207,193
llama31_8b,math,processbench_math_llama31_8b,0.31429928111576133,0.2239057239057239,0.4595959595959596,0.5270935960591133,0.347,1000,594,406
llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,0.2897516524417635,0.20574886535552195,0.42511346444780634,0.4896755162241888,0.302,1000,661,339
llama31_8b,omnimath,processbench_omnimath_llama31_8b,0.2710240303799536,0.1725955204216074,0.3926218708827404,0.6307053941908713,0.283,1000,759,241
