model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.3528338233803102,0.2898550724637681,0.5410628019323671,0.45077720207253885,0.3675,400,207,193
qwen3_4b,math,processbench_math_qwen3_4b,0.3172900236255521,0.234006734006734,0.468013468013468,0.49261083743842365,0.339,1000,594,406
qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.2901758053311136,0.2027231467473525,0.44478063540090773,0.5103244837758112,0.307,1000,661,339
qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.2782589718058189,0.17918313570487485,0.3965744400527009,0.6224066390041494,0.286,1000,759,241
qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3290233837689134,0.25120772946859904,0.48792270531400966,0.47668393782383417,0.36,400,207,193
qwen3_8b,math,processbench_math_qwen3_8b,0.3227649243073408,0.22727272727272727,0.4730639730639731,0.5566502463054187,0.361,1000,594,406
qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.28671271840715157,0.19062027231467474,0.4296520423600605,0.5781710914454278,0.322,1000,661,339
qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.279354706963447,0.17391304347826086,0.37417654808959155,0.7095435684647303,0.303,1000,759,241
llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,0.38955142563109146,0.3140096618357488,0.5410628019323671,0.5129533678756477,0.41,400,207,193
llama31_8b,math,processbench_math_llama31_8b,0.31506247958183603,0.2138047138047138,0.4612794612794613,0.5985221674876847,0.37,1000,594,406
llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,0.29197220686173153,0.19969742813918306,0.3842662632375189,0.5427728613569321,0.316,1000,661,339
llama31_8b,omnimath,processbench_omnimath_llama31_8b,0.24022603851471852,0.14624505928853754,0.3544137022397892,0.6721991701244814,0.273,1000,759,241
