population_id,metric_id,value,ci_low,ci_high,n_rows,n_groups
current_common_eight_qwen,official_macro_f1,0.2770527380681176,0.2593040057014614,0.2932731210571296,6800,3400
current_common_eight_qwen,first_error_exact,0.19077982736882299,0.174881020425838,0.20726215596255537,6800,3400
current_common_eight_qwen,first_error_within_one,0.4179603125247077,0.3978633600802909,0.4383559071731159,6800,3400
current_common_eight_qwen,clean_abstention_accuracy,0.5239845052143001,0.4968847835697596,0.5510753695988635,6800,3400
current_common_eight_qwen,overall_decision_accuracy,0.30537499999999995,0.290125,0.32049999999999995,6800,3400
current_full_twelve_cell,official_macro_f1,0.28196740894375794,0.26646930146157166,0.2958416027597189,10200,3400
current_full_twelve_cell,first_error_exact,0.19395061322367338,0.18002976645925842,0.2081298264164626,10200,3400
current_full_twelve_cell,first_error_within_one,0.41760120407152795,0.4001445168488623,0.43512477696282237,10200,3400
current_full_twelve_cell,clean_abstention_accuracy,0.5377725673174302,0.5123062692409727,0.5629404324584041,10200,3400
current_full_twelve_cell,overall_decision_accuracy,0.3126666666666666,0.29883229166666664,0.32675000000000004,10200,3400
