contrast_id,left_variant_id,right_variant_id,metric_id,source_metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,multiplicity_family_size,inference
pb::C4_ENT_SAMPLED::P2A_TOPK10_REFERENCE::official_macro_f1,C4_ENT_SAMPLED,P2A_TOPK10_REFERENCE,macro_f1,official_macro_f1,-0.003256833967785977,-0.029577721290931606,0.02297295875154646,3,0,5,-0.025388885205923417,processbench_gsm8k_qwen3_4b,2,0,2,-0.02077129532359326,gsm8k,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C4_ENT_SAMPLED::P2A_TOPK10_REFERENCE::first_error_exact,C4_ENT_SAMPLED,P2A_TOPK10_REFERENCE,first_error_exact,first_error_exact,-0.019183508881265854,-0.038581689816442374,-0.0002954821659724924,0,0,8,-0.0531400966183575,processbench_gsm8k_qwen3_4b,0,0,4,-0.0531400966183575,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C4_ENT_SAMPLED::P2A_TOPK10_REFERENCE::first_error_within_one,C4_ENT_SAMPLED,P2A_TOPK10_REFERENCE,first_error_within_one,first_error_within_one,-0.03676719008808066,-0.05640464402971001,-0.017059465093093626,0,0,8,-0.06656580937972767,processbench_olympiadbench_qwen3_8b,0,0,4,-0.06505295007564296,olympiadbench,1,unadjusted paired diagnostic percentile interval
pb::C4_ENT_SAMPLED::P2A_TOPK10_REFERENCE::clean_abstention_accuracy,C4_ENT_SAMPLED,P2A_TOPK10_REFERENCE,clean_abstention_accuracy,clean_abstention_accuracy,0.06356409446020217,0.05115371162212142,0.07645715206220952,8,0,0,0.025906735751295318,processbench_gsm8k_qwen3_4b,4,0,0,0.05181347150259069,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C4_ENT_SAMPLED::P2A_TOPK10_REFERENCE::overall_decision_accuracy,C4_ENT_SAMPLED,P2A_TOPK10_REFERENCE,overall_decision_accuracy,overall_decision_accuracy,0.011874999999999969,-0.000687499999999952,0.02418750000000003,7,0,1,-0.014999999999999958,processbench_gsm8k_qwen3_4b,3,0,1,-0.0025000000000000022,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C4_ENT_SAMPLED::R1_ENTROPY_TOP5::official_macro_f1,C4_ENT_SAMPLED,R1_ENTROPY_TOP5,macro_f1,official_macro_f1,0.008717413453242284,-0.018322190723439106,0.03505721556461931,6,0,2,-0.017371050008976596,processbench_gsm8k_qwen3_8b,3,0,1,-0.010908146516649037,gsm8k,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C4_ENT_SAMPLED::R1_ENTROPY_TOP5::first_error_exact,C4_ENT_SAMPLED,R1_ENTROPY_TOP5,first_error_exact,first_error_exact,-0.010689607270051915,-0.03019893596489451,0.008569391455145335,3,0,5,-0.05797101449275366,processbench_gsm8k_qwen3_8b,2,0,2,-0.043478260869565244,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C4_ENT_SAMPLED::R1_ENTROPY_TOP5::first_error_within_one,C4_ENT_SAMPLED,R1_ENTROPY_TOP5,first_error_within_one,first_error_within_one,-0.040204357814368985,-0.0608313647828662,-0.01985349332108651,1,0,7,-0.06959152798789714,processbench_olympiadbench_qwen3_8b,0,0,4,-0.06580937972768533,olympiadbench,1,unadjusted paired diagnostic percentile interval
pb::C4_ENT_SAMPLED::R1_ENTROPY_TOP5::clean_abstention_accuracy,C4_ENT_SAMPLED,R1_ENTROPY_TOP5,clean_abstention_accuracy,clean_abstention_accuracy,0.08214269518374884,0.06895729581171545,0.09571820594220098,8,0,0,0.04145077720207252,processbench_gsm8k_qwen3_4b,4,0,0,0.062176165803108835,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C4_ENT_SAMPLED::R1_ENTROPY_TOP5::overall_decision_accuracy,C4_ENT_SAMPLED,R1_ENTROPY_TOP5,overall_decision_accuracy,overall_decision_accuracy,0.024249999999999994,0.011560937499999925,0.036937499999999956,8,0,0,0.0050000000000000044,processbench_gsm8k_qwen3_4b,4,0,0,0.007499999999999979,gsm8k,1,unadjusted paired diagnostic percentile interval
