level,stratum,cell_id,macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,n_error,metric_id,value,n_cells
cell,short,processbench_gsm8k_qwen3_4b,0.32119309262166407,0.24087591240875914,0.44525547445255476,0.48186528497409326,137,,,
cell,short,processbench_math_qwen3_4b,0.25123966942148757,0.16101694915254236,0.3559322033898305,0.5714285714285714,236,,,
cell,short,processbench_olympiadbench_qwen3_4b,0.12488742119483638,0.06951871657754011,0.2192513368983957,0.6135693215339233,187,,,
cell,short,processbench_omnimath_qwen3_4b,0.1254734715636486,0.06878306878306878,0.2328042328042328,0.7136929460580913,189,,,
cell,short,processbench_gsm8k_qwen3_8b,0.31226765799256506,0.21897810218978103,0.39416058394160586,0.5440414507772021,137,,,
cell,short,processbench_math_qwen3_8b,0.24565518712016207,0.15254237288135594,0.3093220338983051,0.6305418719211823,236,,,
cell,short,processbench_olympiadbench_qwen3_8b,0.11688824536001054,0.06417112299465241,0.19786096256684493,0.6548672566371682,187,,,
cell,short,processbench_omnimath_qwen3_8b,0.1260824385174922,0.06878306878306878,0.2328042328042328,0.7551867219917012,189,,,
aggregate,short,aggregate,,,,,1498,macro_f1,0.2029608979739833,8
aggregate,short,aggregate,,,,,1498,first_error_exact,0.13058366422134604,8
aggregate,short,aggregate,,,,,1498,first_error_within_one,0.2984238825945003,8
aggregate,short,aggregate,,,,,1498,clean_abstention_accuracy,0.6206491781652416,8
cell,medium,processbench_gsm8k_qwen3_4b,0.4500764136525726,0.4222222222222222,0.5555555555555556,0.48186528497409326,45,,,
cell,medium,processbench_math_qwen3_4b,0.3816131830008673,0.2864583333333333,0.4583333333333333,0.5714285714285714,192,,,
cell,medium,processbench_olympiadbench_qwen3_4b,0.324716469994031,0.22077922077922077,0.3722943722943723,0.6135693215339233,231,,,
cell,medium,processbench_omnimath_qwen3_4b,0.28806699232379623,0.18045112781954886,0.39097744360902253,0.7136929460580913,266,,,
cell,medium,processbench_gsm8k_qwen3_8b,0.3958529688972668,0.3111111111111111,0.5333333333333333,0.5440414507772021,45,,,
cell,medium,processbench_math_qwen3_8b,0.41320821820370424,0.3072916666666667,0.4479166666666667,0.6305418719211823,192,,,
cell,medium,processbench_olympiadbench_qwen3_8b,0.31046641374693146,0.20346320346320346,0.3722943722943723,0.6548672566371682,231,,,
cell,medium,processbench_omnimath_qwen3_8b,0.2764230386283477,0.16917293233082706,0.37593984962406013,0.7551867219917012,266,,,
aggregate,medium,aggregate,,,,,1468,macro_f1,0.35505296230593963,8
aggregate,medium,aggregate,,,,,1468,first_error_exact,0.2626187272157667,8
aggregate,medium,aggregate,,,,,1468,first_error_within_one,0.4383306158388395,8
aggregate,medium,aggregate,,,,,1468,clean_abstention_accuracy,0.6206491781652416,8
cell,long,processbench_gsm8k_qwen3_4b,0.5344827586206896,0.6,0.76,0.48186528497409326,25,,,
cell,long,processbench_math_qwen3_4b,0.4336448598130841,0.3493975903614458,0.5662650602409639,0.5714285714285714,166,,,
cell,long,processbench_olympiadbench_qwen3_4b,0.4651014214981633,0.37448559670781895,0.5390946502057613,0.6135693215339233,243,,,
cell,long,processbench_omnimath_qwen3_4b,0.46250904953976624,0.34210526315789475,0.5230263157894737,0.7136929460580913,304,,,
cell,long,processbench_gsm8k_qwen3_8b,0.6044700304774806,0.68,0.88,0.5440414507772021,25,,,
cell,long,processbench_math_qwen3_8b,0.46433350182867,0.3674698795180723,0.5843373493975904,0.6305418719211823,166,,,
cell,long,processbench_olympiadbench_qwen3_8b,0.4830999262925134,0.38271604938271603,0.5432098765432098,0.6548672566371682,243,,,
cell,long,processbench_omnimath_qwen3_8b,0.4582766782494838,0.32894736842105265,0.506578947368421,0.7551867219917012,304,,,
aggregate,long,aggregate,,,,,1476,macro_f1,0.48823977828998144,8
aggregate,long,aggregate,,,,,1476,first_error_exact,0.42814021844362504,8
aggregate,long,aggregate,,,,,1476,first_error_within_one,0.6128140249431775,8
aggregate,long,aggregate,,,,,1476,clean_abstention_accuracy,0.6206491781652416,8
