level,stratum,cell_id,macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,n_error,metric_id,value,n_cells
cell,short,processbench_gsm8k_qwen3_4b,0.34064342608875553,0.27007299270072993,0.4744525547445255,0.46113989637305697,137,,,
cell,short,processbench_math_qwen3_4b,0.2464076960545543,0.16101694915254236,0.3601694915254237,0.5246305418719212,236,,,
cell,short,processbench_olympiadbench_qwen3_4b,0.16310796265238178,0.0962566844919786,0.26737967914438504,0.5339233038348082,187,,,
cell,short,processbench_omnimath_qwen3_4b,0.2263937577745109,0.13756613756613756,0.26455026455026454,0.6390041493775933,189,,,
cell,short,processbench_gsm8k_qwen3_8b,0.3377754459601259,0.27007299270072993,0.43795620437956206,0.45077720207253885,137,,,
cell,short,processbench_math_qwen3_8b,0.18380042729671986,0.11016949152542373,0.3008474576271186,0.5541871921182266,236,,,
cell,short,processbench_olympiadbench_qwen3_8b,0.17229897272405245,0.10160427807486631,0.27807486631016043,0.5663716814159292,187,,,
cell,short,processbench_omnimath_qwen3_8b,0.21382307124702796,0.12698412698412698,0.2804232804232804,0.6763485477178424,189,,,
aggregate,short,aggregate,,,,,1498,macro_f1,0.23553134497476608,8
aggregate,short,aggregate,,,,,1498,first_error_exact,0.15921795664956695,8
aggregate,short,aggregate,,,,,1498,first_error_within_one,0.3329817248380901,8
aggregate,short,aggregate,,,,,1498,clean_abstention_accuracy,0.5507978143477397,8
cell,medium,processbench_gsm8k_qwen3_4b,0.45263827082008895,0.4444444444444444,0.6222222222222222,0.46113989637305697,45,,,
cell,medium,processbench_math_qwen3_4b,0.3480619648343029,0.2604166666666667,0.4583333333333333,0.5246305418719212,192,,,
cell,medium,processbench_olympiadbench_qwen3_4b,0.3209541971962929,0.22943722943722944,0.47619047619047616,0.5339233038348082,231,,,
cell,medium,processbench_omnimath_qwen3_4b,0.27683540188560174,0.17669172932330826,0.38345864661654133,0.6390041493775933,266,,,
cell,medium,processbench_gsm8k_qwen3_8b,0.44758842443729896,0.4444444444444444,0.6222222222222222,0.45077720207253885,45,,,
cell,medium,processbench_math_qwen3_8b,0.3543307086614173,0.2604166666666667,0.4635416666666667,0.5541871921182266,192,,,
cell,medium,processbench_olympiadbench_qwen3_8b,0.3221684414327202,0.22510822510822512,0.44155844155844154,0.5663716814159292,231,,,
cell,medium,processbench_omnimath_qwen3_8b,0.2560209424083769,0.15789473684210525,0.36466165413533835,0.6763485477178424,266,,,
aggregate,medium,aggregate,,,,,1468,macro_f1,0.3473247939595125,8
aggregate,medium,aggregate,,,,,1468,first_error_exact,0.27485676786663626,8
aggregate,medium,aggregate,,,,,1468,first_error_within_one,0.4790235828681553,8
aggregate,medium,aggregate,,,,,1468,clean_abstention_accuracy,0.5507978143477397,8
cell,long,processbench_gsm8k_qwen3_4b,0.5495822738830367,0.68,0.88,0.46113989637305697,25,,,
cell,long,processbench_math_qwen3_4b,0.4675593464831133,0.42168674698795183,0.6506024096385542,0.5246305418719212,166,,,
cell,long,processbench_olympiadbench_qwen3_4b,0.44304319484907745,0.3786008230452675,0.5679012345679012,0.5339233038348082,243,,,
cell,long,processbench_omnimath_qwen3_4b,0.40769779044903776,0.2993421052631579,0.4769736842105263,0.6390041493775933,304,,,
cell,long,processbench_gsm8k_qwen3_8b,0.5421554252199413,0.68,0.88,0.45077720207253885,25,,,
cell,long,processbench_math_qwen3_8b,0.48280343326885883,0.42771084337349397,0.6265060240963856,0.5541871921182266,166,,,
cell,long,processbench_olympiadbench_qwen3_8b,0.41967213114754104,0.3333333333333333,0.49794238683127573,0.5663716814159292,243,,,
cell,long,processbench_omnimath_qwen3_8b,0.4118357148872856,0.29605263157894735,0.45723684210526316,0.6763485477178424,304,,,
aggregate,long,aggregate,,,,,1476,macro_f1,0.4655436637734865,8
aggregate,long,aggregate,,,,,1476,first_error_exact,0.43959081044776904,8
aggregate,long,aggregate,,,,,1476,first_error_within_one,0.6296453226812383,8
aggregate,long,aggregate,,,,,1476,clean_abstention_accuracy,0.5507978143477397,8
