arm_id,model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
P2A_TOPK10_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.41262398557258795,0.37681159420289856,0.5458937198067633,0.45595854922279794,0.415,400,207,193
P2A_TOPK10_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3530809709726702,0.26936026936026936,0.48484848484848486,0.5123152709359606,0.368,1000,594,406
P2A_TOPK10_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.3281714393546256,0.2405446293494705,0.45385779122541603,0.5162241887905604,0.334,1000,661,339
P2A_TOPK10_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3370879681600163,0.230566534914361,0.40843214756258234,0.6265560165975104,0.326,1000,759,241
P2A_TOPK10_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3984504703929164,0.34782608695652173,0.5120772946859904,0.46632124352331605,0.405,400,207,193
P2A_TOPK10_REFERENCE,qwen3_8b,math,processbench_math_qwen3_8b,0.36193010922906443,0.26430976430976433,0.4797979797979798,0.5738916256157636,0.39,1000,594,406
P2A_TOPK10_REFERENCE,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.33654543793364755,0.2344931921331316,0.4523449319213313,0.5958702064896755,0.357,1000,661,339
P2A_TOPK10_REFERENCE,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.3297175167975773,0.2147562582345191,0.39920948616600793,0.7095435684647303,0.334,1000,759,241
C6_DSP12,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.34100783414867775,0.27053140096618356,0.47342995169082125,0.46113989637305697,0.3625,400,207,193
C6_DSP12,qwen3_4b,math,processbench_math_qwen3_4b,0.33574706127731485,0.24579124579124578,0.45454545454545453,0.5295566502463054,0.361,1000,594,406
C6_DSP12,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.27597548751868145,0.18305597579425115,0.3600605143721634,0.56047197640118,0.311,1000,661,339
C6_DSP12,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.25542919578724144,0.15678524374176547,0.3583662714097497,0.6887966804979253,0.285,1000,759,241
C6_DSP12,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3265192213772413,0.25120772946859904,0.43478260869565216,0.46632124352331605,0.355,400,207,193
C6_DSP12,qwen3_8b,math,processbench_math_qwen3_8b,0.3492477572112752,0.24915824915824916,0.45286195286195285,0.583743842364532,0.385,1000,594,406
C6_DSP12,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3205620490316047,0.21482602118003025,0.37972768532526474,0.6312684365781711,0.356,1000,661,339
C6_DSP12,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.2766217430368374,0.16996047430830039,0.3530961791831357,0.7427385892116183,0.308,1000,759,241
