arm_id,model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
P2A_TOPK10_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.41262398557258795,0.37681159420289856,0.5458937198067633,0.45595854922279794,0.415,400,207,193
P2A_TOPK10_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3530809709726702,0.26936026936026936,0.48484848484848486,0.5123152709359606,0.368,1000,594,406
P2A_TOPK10_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.3281714393546256,0.2405446293494705,0.45385779122541603,0.5162241887905604,0.334,1000,661,339
P2A_TOPK10_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3370879681600163,0.230566534914361,0.40843214756258234,0.6265560165975104,0.326,1000,759,241
P2A_TOPK10_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3984504703929164,0.34782608695652173,0.5120772946859904,0.46632124352331605,0.405,400,207,193
P2A_TOPK10_REFERENCE,qwen3_8b,math,processbench_math_qwen3_8b,0.36193010922906443,0.26430976430976433,0.4797979797979798,0.5738916256157636,0.39,1000,594,406
P2A_TOPK10_REFERENCE,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.33654543793364755,0.2344931921331316,0.4523449319213313,0.5958702064896755,0.357,1000,661,339
P2A_TOPK10_REFERENCE,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.3297175167975773,0.2147562582345191,0.39920948616600793,0.7095435684647303,0.334,1000,759,241
C7_EDIS_ONSET,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.4047156052503646,0.357487922705314,0.5458937198067633,0.46632124352331605,0.41,400,207,193
C7_EDIS_ONSET,qwen3_4b,math,processbench_math_qwen3_4b,0.3695150115473442,0.2777777777777778,0.4882154882154882,0.5517241379310345,0.389,1000,594,406
C7_EDIS_ONSET,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.33480416685620706,0.24205748865355523,0.44780635400907715,0.5427728613569321,0.344,1000,661,339
C7_EDIS_ONSET,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3290264236958487,0.21870882740447958,0.4057971014492754,0.6639004149377593,0.326,1000,759,241
C7_EDIS_ONSET,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.37888443597661126,0.3526570048309179,0.5217391304347826,0.40932642487046633,0.38,400,207,193
C7_EDIS_ONSET,qwen3_8b,math,processbench_math_qwen3_8b,0.367098689450438,0.2845117845117845,0.49326599326599324,0.5172413793103449,0.379,1000,594,406
C7_EDIS_ONSET,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3388206719740926,0.24508320726172467,0.45385779122541603,0.5486725663716814,0.348,1000,661,339
C7_EDIS_ONSET,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.3545644599303136,0.24242424242424243,0.4295125164690382,0.6597510373443983,0.343,1000,759,241
