contrast_id,left_variant_id,right_variant_id,metric_id,source_metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,multiplicity_family_size,inference
pb::C8_SELF_INNOV::P2A_TOPK10_REFERENCE::official_macro_f1,C8_SELF_INNOV,P2A_TOPK10_REFERENCE,macro_f1,official_macro_f1,0.0016964561068234518,-0.009377789182499312,0.01274657480643838,5,0,3,-0.007686032099780804,processbench_math_qwen3_8b,3,0,1,-0.00655211361488639,math,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C8_SELF_INNOV::P2A_TOPK10_REFERENCE::first_error_exact,C8_SELF_INNOV,P2A_TOPK10_REFERENCE,first_error_exact,first_error_exact,0.005666827453645884,-0.002545003308791198,0.013841213857893999,6,2,0,0.0,processbench_math_qwen3_4b,3,1,0,0.0,math,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::P2A_TOPK10_REFERENCE::first_error_within_one,C8_SELF_INNOV,P2A_TOPK10_REFERENCE,first_error_within_one,first_error_within_one,0.010562013057408781,0.002183216139358109,0.018894432607098107,7,0,1,-0.011784511784511786,processbench_math_qwen3_4b,3,0,1,-0.00420875420875419,math,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::P2A_TOPK10_REFERENCE::clean_abstention_accuracy,C8_SELF_INNOV,P2A_TOPK10_REFERENCE,clean_abstention_accuracy,clean_abstention_accuracy,-0.01844594073765271,-0.02662714631286247,-0.010285896839164352,0,1,7,-0.03734439834024894,processbench_omnimath_qwen3_8b,0,0,4,-0.029556650246305438,math,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::P2A_TOPK10_REFERENCE::overall_decision_accuracy,C8_SELF_INNOV,P2A_TOPK10_REFERENCE,overall_decision_accuracy,overall_decision_accuracy,-0.002625000000000044,-0.008499999999999952,0.0033124999999999405,3,0,5,-0.015000000000000013,processbench_math_qwen3_8b,1,2,1,-0.01200000000000001,math,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::R1_ENTROPY_TOP5::official_macro_f1,C8_SELF_INNOV,R1_ENTROPY_TOP5,macro_f1,official_macro_f1,0.013670703527851713,0.0011971921563790878,0.026416451854006782,6,1,1,-0.0036450747766832436,processbench_math_qwen3_8b,3,0,1,-0.0018225373883416218,math,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C8_SELF_INNOV::R1_ENTROPY_TOP5::first_error_exact,C8_SELF_INNOV,R1_ENTROPY_TOP5,first_error_exact,first_error_exact,0.014160729064859823,0.004273147340682357,0.02425586208361747,5,2,1,-0.0016835016835016758,processbench_math_qwen3_8b,3,0,1,-0.0008417508417508379,math,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::R1_ENTROPY_TOP5::first_error_within_one,C8_SELF_INNOV,R1_ENTROPY_TOP5,first_error_within_one,first_error_within_one,0.007124845331120455,-0.002810620087357278,0.017041820624232942,5,0,3,-0.013468013468013462,processbench_math_qwen3_4b,3,0,1,-0.008417508417508407,math,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::R1_ENTROPY_TOP5::clean_abstention_accuracy,C8_SELF_INNOV,R1_ENTROPY_TOP5,clean_abstention_accuracy,clean_abstention_accuracy,0.000132659985893957,-0.007044626606561374,0.007257292547570062,3,3,2,-0.009852216748768461,processbench_math_qwen3_8b,2,0,2,-0.0049261083743842304,math,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::R1_ENTROPY_TOP5::overall_decision_accuracy,C8_SELF_INNOV,R1_ENTROPY_TOP5,overall_decision_accuracy,overall_decision_accuracy,0.009749999999999981,0.0031874999999999543,0.016312500000000008,6,1,1,-0.0050000000000000044,processbench_math_qwen3_8b,3,0,1,-0.0025000000000000022,math,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::C8_IU29_TOP10_PARENT::official_macro_f1,C8_SELF_INNOV,C8_IU29_TOP10_PARENT,macro_f1,official_macro_f1,0.008660624216234702,-0.0005622892791032256,0.01794832707914422,7,0,1,-0.005572034074245058,processbench_olympiadbench_qwen3_4b,3,0,1,-0.0019726042473222904,olympiadbench,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::C8_IU29_TOP10_PARENT::first_error_exact,C8_SELF_INNOV,C8_IU29_TOP10_PARENT,first_error_exact,first_error_exact,0.01161067193675891,0.0005726641826808362,0.02256912322086237,6,2,0,0.0,processbench_olympiadbench_qwen3_4b,3,1,0,0.0,olympiadbench,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::C8_IU29_TOP10_PARENT::first_error_within_one,C8_SELF_INNOV,C8_IU29_TOP10_PARENT,first_error_within_one,first_error_within_one,0.01684152250652282,0.005705568767291555,0.028055188695244905,8,0,0,0.01010101010101011,processbench_math_qwen3_4b,4,0,0,0.01010101010101011,math,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::C8_IU29_TOP10_PARENT::clean_abstention_accuracy,C8_SELF_INNOV,C8_IU29_TOP10_PARENT,clean_abstention_accuracy,clean_abstention_accuracy,-0.008503019077890972,-0.01699070174248788,2.4687558700247168e-05,2,0,6,-0.03734439834024894,processbench_omnimath_qwen3_4b,1,0,3,-0.02074688796680496,omnimath,1,unadjusted paired diagnostic percentile interval
pb::C8_SELF_INNOV::C8_IU29_TOP10_PARENT::overall_decision_accuracy,C8_SELF_INNOV,C8_IU29_TOP10_PARENT,overall_decision_accuracy,overall_decision_accuracy,0.004937499999999984,-0.002437500000000037,0.012250000000000094,5,0,3,-0.009000000000000008,processbench_olympiadbench_qwen3_4b,2,0,2,-0.0030000000000000027,olympiadbench,1,unadjusted paired diagnostic percentile interval
