arm_id,model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
P2A_TOPK10_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.41262398557258795,0.37681159420289856,0.5458937198067633,0.45595854922279794,0.415,400,207,193
P2A_TOPK10_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3530809709726702,0.26936026936026936,0.48484848484848486,0.5123152709359606,0.368,1000,594,406
P2A_TOPK10_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.3281714393546256,0.2405446293494705,0.45385779122541603,0.5162241887905604,0.334,1000,661,339
P2A_TOPK10_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3370879681600163,0.230566534914361,0.40843214756258234,0.6265560165975104,0.326,1000,759,241
P2A_TOPK10_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3984504703929164,0.34782608695652173,0.5120772946859904,0.46632124352331605,0.405,400,207,193
P2A_TOPK10_REFERENCE,qwen3_8b,math,processbench_math_qwen3_8b,0.36193010922906443,0.26430976430976433,0.4797979797979798,0.5738916256157636,0.39,1000,594,406
P2A_TOPK10_REFERENCE,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.33654543793364755,0.2344931921331316,0.4523449319213313,0.5958702064896755,0.357,1000,661,339
P2A_TOPK10_REFERENCE,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.3297175167975773,0.2147562582345191,0.39920948616600793,0.7095435684647303,0.334,1000,759,241
C8_SELF_INNOV,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.41114708463191013,0.38164251207729466,0.5652173913043478,0.44559585492227977,0.4125,400,207,193
C8_SELF_INNOV,qwen3_4b,math,processbench_math_qwen3_4b,0.34766277584267824,0.26936026936026936,0.4730639730639731,0.49014778325123154,0.359,1000,594,406
C8_SELF_INNOV,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.3306149963907962,0.24659606656580937,0.4720121028744327,0.5014749262536873,0.333,1000,661,339
C8_SELF_INNOV,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.34418551227729843,0.23847167325428195,0.4150197628458498,0.6182572614107884,0.33,1000,759,241
C8_SELF_INNOV,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.40160151593875115,0.3526570048309179,0.5265700483091788,0.46632124352331605,0.4075,400,207,193
C8_SELF_INNOV,qwen3_8b,math,processbench_math_qwen3_8b,0.35424407712928363,0.26430976430976433,0.4831649831649832,0.5369458128078818,0.375,1000,594,406
C8_SELF_INNOV,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3486961631561639,0.24962178517397882,0.4735249621785174,0.5781710914454278,0.361,1000,661,339
C8_SELF_INNOV,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.33302742190081125,0.22134387351778656,0.41238471673254284,0.6721991701244814,0.33,1000,759,241
C8_IU29_TOP10_PARENT,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.3914909614962875,0.34299516908212563,0.5507246376811594,0.45595854922279794,0.3975,400,207,193
C8_IU29_TOP10_PARENT,qwen3_4b,math,processbench_math_qwen3_4b,0.3422485897685275,0.25757575757575757,0.46296296296296297,0.5098522167487685,0.36,1000,594,406
C8_IU29_TOP10_PARENT,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.3361870304650413,0.24659606656580937,0.45537065052950076,0.528023598820059,0.342,1000,661,339
C8_IU29_TOP10_PARENT,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3235325523695864,0.2147562582345191,0.38998682476943347,0.6556016597510373,0.321,1000,759,241
C8_IU29_TOP10_PARENT,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3866513233601841,0.34782608695652173,0.5072463768115942,0.43523316062176165,0.39,400,207,193
C8_IU29_TOP10_PARENT,qwen3_8b,math,processbench_math_qwen3_8b,0.35328904814217804,0.2609427609427609,0.4730639730639731,0.5467980295566502,0.377,1000,594,406
C8_IU29_TOP10_PARENT,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.34706933757656344,0.24962178517397882,0.4568835098335855,0.5693215339233039,0.358,1000,661,339
C8_IU29_TOP10_PARENT,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.3214257103594471,0.21080368906455862,0.38998682476943347,0.6763485477178424,0.323,1000,759,241
