arm_id,model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
P2C_F6_TOP10_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.39464190482165823,0.357487922705314,0.5555555555555556,0.44041450777202074,0.3975,400,207,193
P2C_F6_TOP10_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3659658069640095,0.28619528619528617,0.48148148148148145,0.5073891625615764,0.376,1000,594,406
P2C_F6_TOP10_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.33595517847833684,0.24508320726172467,0.46747352496217853,0.5339233038348082,0.343,1000,661,339
P2C_F6_TOP10_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.32051159317620476,0.2134387351778656,0.4031620553359684,0.6431535269709544,0.317,1000,759,241
P2C_F6_TOP10_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4090976838465437,0.3526570048309179,0.5072463768115942,0.48704663212435234,0.4175,400,207,193
P2C_F6_TOP10_REFERENCE,qwen3_8b,math,processbench_math_qwen3_8b,0.36192035855886917,0.25757575757575757,0.4478114478114478,0.6083743842364532,0.4,1000,594,406
P2C_F6_TOP10_REFERENCE,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3402053774398369,0.2344931921331316,0.45385779122541603,0.6194690265486725,0.365,1000,661,339
P2C_F6_TOP10_REFERENCE,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.30579131303045426,0.19367588932806323,0.37417654808959155,0.7261410788381742,0.322,1000,759,241
P2C_F6_MINUS_ENTROPY_LEVEL,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.40063036245841355,0.3188405797101449,0.4927536231884058,0.538860103626943,0.425,400,207,193
P2C_F6_MINUS_ENTROPY_LEVEL,qwen3_4b,math,processbench_math_qwen3_4b,0.35058499252265196,0.2474747474747475,0.4225589225589226,0.6009852216748769,0.391,1000,594,406
P2C_F6_MINUS_ENTROPY_LEVEL,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.30966903098275916,0.2042360060514372,0.4009077155824508,0.640117994100295,0.352,1000,661,339
P2C_F6_MINUS_ENTROPY_LEVEL,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.2622379963838478,0.15942028985507245,0.34914361001317523,0.7385892116182573,0.299,1000,759,241
P2C_F6_MINUS_ENTROPY_LEVEL,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3834565872363736,0.30434782608695654,0.46859903381642515,0.5181347150259067,0.4075,400,207,193
P2C_F6_MINUS_ENTROPY_LEVEL,qwen3_8b,math,processbench_math_qwen3_8b,0.359822167478204,0.2558922558922559,0.4292929292929293,0.6059113300492611,0.398,1000,594,406
P2C_F6_MINUS_ENTROPY_LEVEL,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.29071671907756813,0.18910741301059,0.3888048411497731,0.6283185840707964,0.338,1000,661,339
P2C_F6_MINUS_ENTROPY_LEVEL,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.27980536739603895,0.1725955204216074,0.3438735177865613,0.7385892116182573,0.309,1000,759,241
