arm_id,model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
P2C_F6_TOP10_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.39464190482165823,0.357487922705314,0.5555555555555556,0.44041450777202074,0.3975,400,207,193
P2C_F6_TOP10_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3659658069640095,0.28619528619528617,0.48148148148148145,0.5073891625615764,0.376,1000,594,406
P2C_F6_TOP10_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.33595517847833684,0.24508320726172467,0.46747352496217853,0.5339233038348082,0.343,1000,661,339
P2C_F6_TOP10_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.32051159317620476,0.2134387351778656,0.4031620553359684,0.6431535269709544,0.317,1000,759,241
P2C_F6_TOP10_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4090976838465437,0.3526570048309179,0.5072463768115942,0.48704663212435234,0.4175,400,207,193
P2C_F6_TOP10_REFERENCE,qwen3_8b,math,processbench_math_qwen3_8b,0.36192035855886917,0.25757575757575757,0.4478114478114478,0.6083743842364532,0.4,1000,594,406
P2C_F6_TOP10_REFERENCE,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3402053774398369,0.2344931921331316,0.45385779122541603,0.6194690265486725,0.365,1000,661,339
P2C_F6_TOP10_REFERENCE,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.30579131303045426,0.19367588932806323,0.37417654808959155,0.7261410788381742,0.322,1000,759,241
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.3996653964123059,0.36231884057971014,0.5700483091787439,0.44559585492227977,0.4025,400,207,193
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW,qwen3_4b,math,processbench_math_qwen3_4b,0.3700688466371066,0.29124579124579125,0.49326599326599324,0.5073891625615764,0.379,1000,594,406
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.32836476010273263,0.24205748865355523,0.4720121028744327,0.5103244837758112,0.333,1000,661,339
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.32187588771531134,0.2160737812911726,0.40843214756258234,0.6307053941908713,0.316,1000,759,241
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.410914262013391,0.3526570048309179,0.5024154589371981,0.49222797927461137,0.42,400,207,193
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW,qwen3_8b,math,processbench_math_qwen3_8b,0.36523124475311,0.2609427609427609,0.4595959595959596,0.6083743842364532,0.402,1000,594,406
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3406486959420048,0.2344931921331316,0.4583963691376702,0.6224188790560472,0.366,1000,661,339
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.30378112070408725,0.19235836627140976,0.3715415019762846,0.7219917012448133,0.32,1000,759,241
