level,stratum,cell_id,metric_id,value,n_error,n_cells
aggregate,short,aggregate,macro_f1,nan,0,0
aggregate,short,aggregate,first_error_exact,nan,0,0
aggregate,short,aggregate,first_error_within_one,nan,0,0
aggregate,short,aggregate,clean_abstention_accuracy,nan,0,0
aggregate,medium,aggregate,macro_f1,nan,0,0
aggregate,medium,aggregate,first_error_exact,nan,0,0
aggregate,medium,aggregate,first_error_within_one,nan,0,0
aggregate,medium,aggregate,clean_abstention_accuracy,nan,0,0
aggregate,long,aggregate,macro_f1,nan,0,0
aggregate,long,aggregate,first_error_exact,nan,0,0
aggregate,long,aggregate,first_error_within_one,nan,0,0
aggregate,long,aggregate,clean_abstention_accuracy,nan,0,0
