contrast_id,left_variant_id,right_variant_id,metric_id,source_metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size,inference
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP10_LLAMA4::official_macro_f1,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP10_LLAMA4,macro_f1,official_macro_f1,-0.0035109362967188362,-0.01702812876135479,0.010137650823569521,1,0,3,-0.006583511069302717,processbench_olympiadbench_llama31_8b,4,Bonferroni simultaneous percentile interval across four C7/C8 Llama primary contrasts
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP10_LLAMA4::first_error_exact,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP10_LLAMA4,first_error_exact,first_error_exact,-0.0004392850870519327,-0.012463826584279244,0.011637989290500821,2,0,2,-0.004538577912254149,processbench_olympiadbench_llama31_8b,1,unadjusted paired mechanism diagnostic
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP10_LLAMA4::first_error_within_one,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP10_LLAMA4,first_error_within_one,first_error_within_one,0.0138400548270311,0.002410535066171579,0.025679137850387862,3,0,1,-0.001512859304084735,processbench_olympiadbench_llama31_8b,1,unadjusted paired mechanism diagnostic
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP10_LLAMA4::clean_abstention_accuracy,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP10_LLAMA4,clean_abstention_accuracy,clean_abstention_accuracy,-0.01218355209599542,-0.021805585550113925,-0.0026283632085982813,0,0,4,-0.017241379310344862,processbench_math_llama31_8b,1,unadjusted paired mechanism diagnostic
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP10_LLAMA4::overall_decision_accuracy,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP10_LLAMA4,overall_decision_accuracy,overall_decision_accuracy,-0.005249999999999977,-0.01337499999999997,0.0028750000000000164,0,1,3,-0.009000000000000008,processbench_math_llama31_8b,1,unadjusted paired mechanism diagnostic
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP5_LLAMA4::official_macro_f1,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP5_LLAMA4,macro_f1,official_macro_f1,0.018534875009649898,0.0033080737371291025,0.03457741650751497,4,0,0,0.015321659662962062,processbench_olympiadbench_llama31_8b,4,Bonferroni simultaneous percentile interval across four C7/C8 Llama primary contrasts
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP5_LLAMA4::first_error_exact,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP5_LLAMA4,first_error_exact,first_error_exact,0.0160790301223111,0.0024299890217272728,0.029949919510511028,4,0,0,0.014492753623188415,processbench_gsm8k_llama31_8b,1,unadjusted paired mechanism diagnostic
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP5_LLAMA4::first_error_within_one,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP5_LLAMA4,first_error_within_one,first_error_within_one,0.009741204941165482,-0.003658655332619273,0.02319402823078352,4,0,0,0.0016835016835016758,processbench_math_llama31_8b,1,unadjusted paired mechanism diagnostic
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP5_LLAMA4::clean_abstention_accuracy,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP5_LLAMA4,clean_abstention_accuracy,clean_abstention_accuracy,0.013210815298422496,0.001781193154463448,0.025093392539879265,4,0,0,0.002949852507374562,processbench_olympiadbench_llama31_8b,1,unadjusted paired mechanism diagnostic
llama::P2C_C8_INNOV_LLAMA4::P2C_ENTROPY_TOP5_LLAMA4::overall_decision_accuracy,P2C_C8_INNOV_LLAMA4,P2C_ENTROPY_TOP5_LLAMA4,overall_decision_accuracy,overall_decision_accuracy,0.015250000000000097,0.005874999999999964,0.024625000000000064,4,0,0,0.01100000000000001,processbench_olympiadbench_llama31_8b,1,unadjusted paired mechanism diagnostic
