contrast_id,left,right,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell,worst_cell_delta,interval,bootstrap_draws
H2_CLEAN_C7__vs__H0_FAMILY6_TOP10__official_macro_f1,H2_CLEAN_C7,H0_FAMILY6_TOP10,official_macro_f1,0.009829101720293276,-0.0007142826017504627,0.020697116865467022,6,0,2,processbench_math_qwen3_4b,-0.005552653507011174,Bonferroni simultaneous across four primary contrasts,20000
H2_CLEAN_C7__vs__H0_FAMILY6_TOP10__first_error_exact,H2_CLEAN_C7,H0_FAMILY6_TOP10,first_error_exact,0.011339551537209891,0.0010645508444951963,0.02191355713467011,6,0,2,processbench_math_qwen3_4b,-0.006734006734006703,unadjusted paired diagnostic,20000
H2_CLEAN_C7__vs__H0_FAMILY6_TOP10__first_error_within_one,H2_CLEAN_C7,H0_FAMILY6_TOP10,first_error_within_one,0.012977471994606804,0.0018168883216902298,0.024243967028149953,8,0,0,processbench_omnimath_qwen3_8b,0.003952569169960507,unadjusted paired diagnostic,20000
H2_CLEAN_C7__vs__H0_FAMILY6_TOP10__clean_abstention_accuracy,H2_CLEAN_C7,H0_FAMILY6_TOP10,clean_abstention_accuracy,0.0,0.0,0.0,0,8,0,processbench_gsm8k_qwen3_4b,0.0,unadjusted paired diagnostic,20000
H2_CLEAN_C7__vs__H0_FAMILY6_TOP10__overall_decision_accuracy,H2_CLEAN_C7,H0_FAMILY6_TOP10,overall_decision_accuracy,0.007187500000000013,0.0011875000000000635,0.013312499999999894,6,0,2,processbench_math_qwen3_4b,-0.0040000000000000036,unadjusted paired diagnostic,20000
H3_EQUAL__vs__H0_FAMILY6_TOP10__official_macro_f1,H3_EQUAL,H0_FAMILY6_TOP10,official_macro_f1,0.012392219310811137,0.001768682486614345,0.022807350265052286,6,0,2,processbench_math_qwen3_4b,-0.002764497222809248,Bonferroni simultaneous across four primary contrasts,20000
H3_EQUAL__vs__H0_FAMILY6_TOP10__first_error_exact,H3_EQUAL,H0_FAMILY6_TOP10,first_error_exact,0.012940818764504869,0.003092747488845596,0.02288788872384012,6,0,2,processbench_math_qwen3_4b,-0.0033670033670033517,unadjusted paired diagnostic,20000
H3_EQUAL__vs__H0_FAMILY6_TOP10__first_error_within_one,H3_EQUAL,H0_FAMILY6_TOP10,first_error_within_one,0.01667088012710588,0.006454357946072702,0.02691091925960011,8,0,0,processbench_gsm8k_qwen3_4b,0.009661835748792202,unadjusted paired diagnostic,20000
H3_EQUAL__vs__H0_FAMILY6_TOP10__clean_abstention_accuracy,H3_EQUAL,H0_FAMILY6_TOP10,clean_abstention_accuracy,0.0,0.0,0.0,0,8,0,processbench_gsm8k_qwen3_4b,0.0,unadjusted paired diagnostic,20000
H3_EQUAL__vs__H0_FAMILY6_TOP10__overall_decision_accuracy,H3_EQUAL,H0_FAMILY6_TOP10,overall_decision_accuracy,0.00862500000000005,0.00281249999999994,0.014562499999999978,6,0,2,processbench_math_qwen3_4b,-0.0020000000000000018,unadjusted paired diagnostic,20000
H3_RELIABILITY__vs__H0_FAMILY6_TOP10__official_macro_f1,H3_RELIABILITY,H0_FAMILY6_TOP10,official_macro_f1,0.010107614687475341,-0.0005424035539170688,0.021037162263852282,6,0,2,processbench_math_qwen3_8b,-0.00839096386045618,Bonferroni simultaneous across four primary contrasts,20000
H3_RELIABILITY__vs__H0_FAMILY6_TOP10__first_error_exact,H3_RELIABILITY,H0_FAMILY6_TOP10,first_error_exact,0.01144636912659669,0.0012280599022886365,0.021829633441979628,6,0,2,processbench_math_qwen3_8b,-0.008417508417508407,unadjusted paired diagnostic,20000
