level,stratum,cell_id,macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,n_error,metric_id,value,n_cells
cell,short,processbench_gsm8k_qwen3_4b,0.3340024957951277,0.2773722627737226,0.45985401459854014,0.41968911917098445,137,,,
cell,short,processbench_math_qwen3_4b,0.25653199182518477,0.17372881355932204,0.4406779661016949,0.49014778325123154,236,,,
cell,short,processbench_olympiadbench_qwen3_4b,0.2763686091137677,0.18716577540106952,0.3689839572192513,0.528023598820059,187,,,
cell,short,processbench_omnimath_qwen3_4b,0.2836603846901107,0.18518518518518517,0.32275132275132273,0.6058091286307054,189,,,
cell,short,processbench_gsm8k_qwen3_8b,0.2936489870248122,0.21897810218978103,0.4233576642335766,0.44559585492227977,137,,,
cell,short,processbench_math_qwen3_8b,0.23946315045914765,0.15254237288135594,0.3898305084745763,0.5566502463054187,236,,,
cell,short,processbench_olympiadbench_qwen3_8b,0.27040699011266955,0.17647058823529413,0.36363636363636365,0.5781710914454278,187,,,
cell,short,processbench_omnimath_qwen3_8b,0.2918937928609109,0.18518518518518517,0.30158730158730157,0.6887966804979253,189,,,
aggregate,short,aggregate,,,,,1498,macro_f1,0.2807470502352164,8
aggregate,short,aggregate,,,,,1498,first_error_exact,0.19457853567636446,8
aggregate,short,aggregate,,,,,1498,first_error_within_one,0.3838348873253284,8
aggregate,short,aggregate,,,,,1498,clean_abstention_accuracy,0.5391104378805041,8
cell,medium,processbench_gsm8k_qwen3_4b,0.24975910580073235,0.17777777777777778,0.4666666666666667,0.41968911917098445,45,,,
cell,medium,processbench_math_qwen3_4b,0.2545052900825486,0.171875,0.375,0.49014778325123154,192,,,
cell,medium,processbench_olympiadbench_qwen3_4b,0.307037856567008,0.21645021645021645,0.47186147186147187,0.528023598820059,231,,,
cell,medium,processbench_omnimath_qwen3_4b,0.23609412252513734,0.14661654135338345,0.3533834586466165,0.6058091286307054,266,,,
cell,medium,processbench_gsm8k_qwen3_8b,0.2306071633786631,0.15555555555555556,0.4444444444444444,0.44559585492227977,45,,,
cell,medium,processbench_math_qwen3_8b,0.2686901181900832,0.17708333333333334,0.375,0.5566502463054187,192,,,
cell,medium,processbench_olympiadbench_qwen3_8b,0.3057126145447456,0.2077922077922078,0.4588744588744589,0.5781710914454278,231,,,
cell,medium,processbench_omnimath_qwen3_8b,0.23145478868727978,0.13909774436090225,0.35714285714285715,0.6887966804979253,266,,,
aggregate,medium,aggregate,,,,,1468,macro_f1,0.26048263247202474,8
aggregate,medium,aggregate,,,,,1468,first_error_exact,0.17403104707792208,8
aggregate,medium,aggregate,,,,,1468,first_error_within_one,0.41279666970456447,8
aggregate,medium,aggregate,,,,,1468,clean_abstention_accuracy,0.5391104378805041,8
cell,long,processbench_gsm8k_qwen3_4b,0.36312692630989074,0.32,0.68,0.41968911917098445,25,,,
cell,long,processbench_math_qwen3_4b,0.28891071352320763,0.20481927710843373,0.42168674698795183,0.49014778325123154,166,,,
cell,long,processbench_olympiadbench_qwen3_4b,0.26507559320866486,0.17695473251028807,0.49382716049382713,0.528023598820059,243,,,
cell,long,processbench_omnimath_qwen3_4b,0.18882422305907415,0.1118421052631579,0.34868421052631576,0.6058091286307054,304,,,
cell,long,processbench_gsm8k_qwen3_8b,0.42156862745098045,0.4,0.84,0.44559585492227977,25,,,
cell,long,processbench_math_qwen3_8b,0.2994544037412315,0.20481927710843373,0.40963855421686746,0.5566502463054187,166,,,
cell,long,processbench_olympiadbench_qwen3_8b,0.27577385520593506,0.18106995884773663,0.51440329218107,0.5781710914454278,243,,,
cell,long,processbench_omnimath_qwen3_8b,0.19243751917896962,0.1118421052631579,0.3618421052631579,0.6887966804979253,304,,,
aggregate,long,aggregate,,,,,1476,macro_f1,0.28689648270974427,8
aggregate,long,aggregate,,,,,1476,first_error_exact,0.21391843201265098,8
aggregate,long,aggregate,,,,,1476,first_error_within_one,0.5087602587086488,8
aggregate,long,aggregate,,,,,1476,clean_abstention_accuracy,0.5391104378805041,8
