level,stratum,cell_id,macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,n_error,metric_id,value,n_cells
cell,short,processbench_gsm8k_qwen3_4b,0.36387768645668483,0.32116788321167883,0.5036496350364964,0.41968911917098445,137,,,
cell,short,processbench_math_qwen3_4b,0.2621593226623818,0.17796610169491525,0.4449152542372881,0.4975369458128079,236,,,
cell,short,processbench_olympiadbench_qwen3_4b,0.2878563977746871,0.19786096256684493,0.35294117647058826,0.528023598820059,187,,,
cell,short,processbench_omnimath_qwen3_4b,0.2883791278043862,0.19047619047619047,0.3492063492063492,0.5933609958506224,189,,,
cell,short,processbench_gsm8k_qwen3_8b,0.2791952607191038,0.20437956204379562,0.4233576642335766,0.44041450777202074,137,,,
cell,short,processbench_math_qwen3_8b,0.2286858782733469,0.1440677966101695,0.4152542372881356,0.5541871921182266,236,,,
cell,short,processbench_olympiadbench_qwen3_8b,0.2906549376393324,0.1925133689839572,0.3582887700534759,0.5929203539823009,187,,,
cell,short,processbench_omnimath_qwen3_8b,0.2652559307270585,0.164021164021164,0.32275132275132273,0.6929460580912863,189,,,
aggregate,short,aggregate,,,,,1498,macro_f1,0.2832580677571227,8
aggregate,short,aggregate,,,,,1498,first_error_exact,0.19905662870108948,8
aggregate,short,aggregate,,,,,1498,first_error_within_one,0.3962955511596541,8
aggregate,short,aggregate,,,,,1498,clean_abstention_accuracy,0.5398848464522885,8
cell,medium,processbench_gsm8k_qwen3_4b,0.14670590898800093,0.08888888888888889,0.4222222222222222,0.41968911917098445,45,,,
cell,medium,processbench_math_qwen3_4b,0.26682265916896253,0.18229166666666666,0.3854166666666667,0.4975369458128079,192,,,
cell,medium,processbench_olympiadbench_qwen3_4b,0.27996089931573803,0.19047619047619047,0.4458874458874459,0.528023598820059,231,,,
cell,medium,processbench_omnimath_qwen3_4b,0.23513291312688409,0.14661654135338345,0.3533834586466165,0.5933609958506224,266,,,
cell,medium,processbench_gsm8k_qwen3_8b,0.20469596628537026,0.13333333333333333,0.4666666666666667,0.44041450777202074,45,,,
cell,medium,processbench_math_qwen3_8b,0.2859743739479922,0.19270833333333334,0.375,0.5541871921182266,192,,,
cell,medium,processbench_olympiadbench_qwen3_8b,0.29325941056317484,0.19480519480519481,0.45021645021645024,0.5929203539823009,231,,,
cell,medium,processbench_omnimath_qwen3_8b,0.2521775960812478,0.15413533834586465,0.34210526315789475,0.6929460580912863,266,,,
aggregate,medium,aggregate,,,,,1468,macro_f1,0.24559121593467131,8
aggregate,medium,aggregate,,,,,1468,first_error_exact,0.16040693590035693,8
aggregate,medium,aggregate,,,,,1468,first_error_within_one,0.40511227168299535,8
aggregate,medium,aggregate,,,,,1468,clean_abstention_accuracy,0.5398848464522885,8
cell,long,processbench_gsm8k_qwen3_4b,0.40960809102402024,0.4,0.8,0.41968911917098445,25,,,
cell,long,processbench_math_qwen3_4b,0.2715642482327941,0.18674698795180722,0.42771084337349397,0.4975369458128079,166,,,
cell,long,processbench_olympiadbench_qwen3_4b,0.2509770930823562,0.1646090534979424,0.4732510288065844,0.528023598820059,243,,,
cell,long,processbench_omnimath_qwen3_4b,0.19284489567881014,0.11513157894736842,0.3519736842105263,0.5933609958506224,304,,,
cell,long,processbench_gsm8k_qwen3_8b,0.37067320795857184,0.32,0.72,0.44041450777202074,25,,,
cell,long,processbench_math_qwen3_8b,0.2793575776994553,0.18674698795180722,0.43373493975903615,0.5541871921182266,166,,,
cell,long,processbench_olympiadbench_qwen3_8b,0.26765587102297045,0.1728395061728395,0.48559670781893005,0.5929203539823009,243,,,
cell,long,processbench_omnimath_qwen3_8b,0.16259823353501632,0.09210526315789473,0.33223684210526316,0.6929460580912863,304,,,
aggregate,long,aggregate,,,,,1476,macro_f1,0.2756599022792493,8
aggregate,long,aggregate,,,,,1476,first_error_exact,0.20477242220995745,8
aggregate,long,aggregate,,,,,1476,first_error_within_one,0.5030630057592292,8
aggregate,long,aggregate,,,,,1476,clean_abstention_accuracy,0.5398848464522885,8
