level,stratum,cell_id,macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,n_error,metric_id,value,n_cells
cell,short,processbench_gsm8k_qwen3_4b,0.3348238049611413,0.27007299270072993,0.5036496350364964,0.44041450777202074,137,,,
cell,short,processbench_math_qwen3_4b,0.27891529555149297,0.19491525423728814,0.4322033898305085,0.49014778325123154,236,,,
cell,short,processbench_olympiadbench_qwen3_4b,0.17574784919361203,0.10695187165775401,0.3048128342245989,0.49262536873156343,187,,,
cell,short,processbench_omnimath_qwen3_4b,0.20335865179207216,0.12169312169312169,0.26455026455026454,0.6182572614107884,189,,,
cell,short,processbench_gsm8k_qwen3_8b,0.3463921749372663,0.2773722627737226,0.4306569343065693,0.46113989637305697,137,,,
cell,short,processbench_math_qwen3_8b,0.23332632653674065,0.1483050847457627,0.3898305084745763,0.5467980295566502,236,,,
cell,short,processbench_olympiadbench_qwen3_8b,0.17283549532406656,0.10160427807486631,0.2994652406417112,0.5781710914454278,187,,,
cell,short,processbench_omnimath_qwen3_8b,0.21402936378466558,0.12698412698412698,0.2751322751322751,0.6804979253112033,189,,,
aggregate,short,aggregate,,,,,1498,macro_f1,0.24492862026013218,8
aggregate,short,aggregate,,,,,1498,first_error_exact,0.16848737410842157,8
aggregate,short,aggregate,,,,,1498,first_error_within_one,0.362537635274625,8
aggregate,short,aggregate,,,,,1498,clean_abstention_accuracy,0.5385064829814927,8
cell,medium,processbench_gsm8k_qwen3_4b,0.4192355117139334,0.4,0.6,0.44041450777202074,45,,,
cell,medium,processbench_math_qwen3_4b,0.3531795198071192,0.2760416666666667,0.46875,0.49014778325123154,192,,,
cell,medium,processbench_olympiadbench_qwen3_4b,0.2836203872920936,0.19913419913419914,0.4675324675324675,0.49262536873156343,231,,,
cell,medium,processbench_omnimath_qwen3_4b,0.29269138180067406,0.19172932330827067,0.39473684210526316,0.6182572614107884,266,,,
cell,medium,processbench_gsm8k_qwen3_8b,0.42839951865222625,0.4,0.5555555555555556,0.46113989637305697,45,,,
cell,medium,processbench_math_qwen3_8b,0.38481890338472763,0.296875,0.4947916666666667,0.5467980295566502,192,,,
cell,medium,processbench_olympiadbench_qwen3_8b,0.32851066521196026,0.22943722943722944,0.4675324675324675,0.5781710914454278,231,,,
cell,medium,processbench_omnimath_qwen3_8b,0.2661355757173416,0.16541353383458646,0.38345864661654133,0.6804979253112033,266,,,
aggregate,medium,aggregate,,,,,1468,macro_f1,0.3445739329475095,8
aggregate,medium,aggregate,,,,,1468,first_error_exact,0.26982886904761905,8
aggregate,medium,aggregate,,,,,1468,first_error_within_one,0.47904470575112024,8
aggregate,medium,aggregate,,,,,1468,clean_abstention_accuracy,0.5385064829814927,8
cell,long,processbench_gsm8k_qwen3_4b,0.5465261653866762,0.72,0.88,0.44041450777202074,25,,,
cell,long,processbench_math_qwen3_4b,0.4200346020761246,0.3674698795180723,0.5843373493975904,0.49014778325123154,166,,,
cell,long,processbench_olympiadbench_qwen3_4b,0.4119022011902201,0.35390946502057613,0.551440329218107,0.49262536873156343,243,,,
cell,long,processbench_omnimath_qwen3_4b,0.38506559644882266,0.27960526315789475,0.4901315789473684,0.6182572614107884,304,,,
cell,long,processbench_gsm8k_qwen3_8b,0.5495822738830367,0.68,0.88,0.46113989637305697,25,,,
cell,long,processbench_math_qwen3_8b,0.46040723981900455,0.39759036144578314,0.6144578313253012,0.5467980295566502,166,,,
cell,long,processbench_olympiadbench_qwen3_8b,0.4261660435393631,0.3374485596707819,0.5637860082304527,0.5781710914454278,243,,,
cell,long,processbench_omnimath_qwen3_8b,0.3863368669022379,0.26973684210526316,0.4934210526315789,0.6804979253112033,304,,,
aggregate,long,aggregate,,,,,1476,macro_f1,0.44825262365568574,8
aggregate,long,aggregate,,,,,1476,first_error_exact,0.4257200463647964,8
aggregate,long,aggregate,,,,,1476,first_error_within_one,0.6321967687187998,8
aggregate,long,aggregate,,,,,1476,clean_abstention_accuracy,0.5385064829814927,8
