level,stratum,cell_id,macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,n_error,metric_id,value,n_cells
cell,short,processbench_gsm8k_qwen3_4b,0.3700662775744386,0.31386861313868614,0.49635036496350365,0.45077720207253885,137,,,
cell,short,processbench_math_qwen3_4b,0.2638120236551658,0.18220338983050846,0.4194915254237288,0.47783251231527096,236,,,
cell,short,processbench_olympiadbench_qwen3_4b,0.1761196362973191,0.10695187165775401,0.32085561497326204,0.49852507374631266,187,,,
cell,short,processbench_omnimath_qwen3_4b,0.21069376933274414,0.12698412698412698,0.2857142857142857,0.6182572614107884,189,,,
cell,short,processbench_gsm8k_qwen3_8b,0.37328598204597024,0.32116788321167883,0.46715328467153283,0.44559585492227977,137,,,
cell,short,processbench_math_qwen3_8b,0.22270861833105332,0.13983050847457626,0.3813559322033898,0.5467980295566502,236,,,
cell,short,processbench_olympiadbench_qwen3_8b,0.1802220261043244,0.10695187165775401,0.32085561497326204,0.5722713864306784,187,,,
cell,short,processbench_omnimath_qwen3_8b,0.18300726976731133,0.10582010582010581,0.2751322751322751,0.6763485477178424,189,,,
aggregate,short,aggregate,,,,,1498,macro_f1,0.24748945038854087,8
aggregate,short,aggregate,,,,,1498,first_error_exact,0.17547229634689882,8
aggregate,short,aggregate,,,,,1498,first_error_within_one,0.370863612256905,8
aggregate,short,aggregate,,,,,1498,clean_abstention_accuracy,0.5358007335215452,8
cell,medium,processbench_gsm8k_qwen3_4b,0.44758842443729896,0.4444444444444444,0.6222222222222222,0.45077720207253885,45,,,
cell,medium,processbench_math_qwen3_4b,0.3414432135831867,0.265625,0.4739583333333333,0.47783251231527096,192,,,
cell,medium,processbench_olympiadbench_qwen3_4b,0.29332320876498347,0.2077922077922078,0.47619047619047616,0.49852507374631266,231,,,
cell,medium,processbench_omnimath_qwen3_4b,0.28829038000154783,0.18796992481203006,0.38721804511278196,0.6182572614107884,266,,,
cell,medium,processbench_gsm8k_qwen3_8b,0.43359426827650255,0.4222222222222222,0.5777777777777777,0.44559585492227977,45,,,
cell,medium,processbench_math_qwen3_8b,0.3575556608242539,0.265625,0.4635416666666667,0.5467980295566502,192,,,
cell,medium,processbench_olympiadbench_qwen3_8b,0.3319391634980988,0.23376623376623376,0.4805194805194805,0.5722713864306784,231,,,
cell,medium,processbench_omnimath_qwen3_8b,0.2987654764685798,0.19172932330827067,0.37969924812030076,0.6763485477178424,266,,,
aggregate,medium,aggregate,,,,,1468,macro_f1,0.3490624744818065,8
aggregate,medium,aggregate,,,,,1468,first_error_exact,0.2773967945431761,8
aggregate,medium,aggregate,,,,,1468,first_error_within_one,0.4826409062428799,8
aggregate,medium,aggregate,,,,,1468,clean_abstention_accuracy,0.5358007335215452,8
cell,long,processbench_gsm8k_qwen3_4b,0.5544344131704726,0.72,0.88,0.45077720207253885,25,,,
cell,long,processbench_math_qwen3_4b,0.44458467567836857,0.41566265060240964,0.5963855421686747,0.47783251231527096,166,,,
cell,long,processbench_olympiadbench_qwen3_4b,0.4195263684960296,0.36213991769547327,0.5637860082304527,0.49852507374631266,243,,,
cell,long,processbench_omnimath_qwen3_4b,0.4063556056204423,0.3026315789473684,0.5032894736842105,0.6182572614107884,304,,,
cell,long,processbench_gsm8k_qwen3_8b,0.538390719941079,0.68,0.88,0.44559585492227977,25,,,
cell,long,processbench_math_qwen3_8b,0.48374795714545127,0.43373493975903615,0.6385542168674698,0.5467980295566502,166,,,
cell,long,processbench_olympiadbench_qwen3_8b,0.42455297571390443,0.3374485596707819,0.551440329218107,0.5722713864306784,243,,,
cell,long,processbench_omnimath_qwen3_8b,0.40864213180096054,0.29276315789473684,0.4901315789473684,0.6763485477178424,304,,,
aggregate,long,aggregate,,,,,1476,macro_f1,0.46002935594583855,8
aggregate,long,aggregate,,,,,1476,first_error_exact,0.44304760057122583,8
aggregate,long,aggregate,,,,,1476,first_error_within_one,0.6379483936395354,8
aggregate,long,aggregate,,,,,1476,clean_abstention_accuracy,0.5358007335215452,8
