level,stratum,cell_id,macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,n_error,metric_id,value,n_cells
cell,short,processbench_gsm8k_qwen3_4b,0.2913631633714881,0.21897810218978103,0.48175182481751827,0.43523316062176165,137,,,
cell,short,processbench_math_qwen3_4b,0.23814403279003488,0.15677966101694915,0.4322033898305085,0.49507389162561577,236,,,
cell,short,processbench_olympiadbench_qwen3_4b,0.22621414370917353,0.1443850267379679,0.35294117647058826,0.5221238938053098,187,,,
cell,short,processbench_omnimath_qwen3_4b,0.23993685872138912,0.14814814814814814,0.2962962962962963,0.6307053941908713,189,,,
cell,short,processbench_gsm8k_qwen3_8b,0.27886612405276456,0.19708029197080293,0.38686131386861317,0.47668393782383417,137,,,
cell,short,processbench_math_qwen3_8b,0.2293084067916938,0.1440677966101695,0.3855932203389831,0.5615763546798029,236,,,
cell,short,processbench_olympiadbench_qwen3_8b,0.23835934476976656,0.1497326203208556,0.3422459893048128,0.584070796460177,187,,,
cell,short,processbench_omnimath_qwen3_8b,0.22235751912539373,0.13227513227513227,0.2962962962962963,0.6970954356846473,189,,,
aggregate,short,aggregate,,,,,1498,macro_f1,0.245568699166463,8
aggregate,short,aggregate,,,,,1498,first_error_exact,0.16143084740872582,8
aggregate,short,aggregate,,,,,1498,first_error_within_one,0.3717736884029521,8
aggregate,short,aggregate,,,,,1498,clean_abstention_accuracy,0.5503203581115026,8
cell,medium,processbench_gsm8k_qwen3_4b,0.31306115534473994,0.24444444444444444,0.5333333333333333,0.43523316062176165,45,,,
cell,medium,processbench_math_qwen3_4b,0.2880608532686584,0.203125,0.3802083333333333,0.49507389162561577,192,,,
cell,medium,processbench_olympiadbench_qwen3_4b,0.2972760195244844,0.2077922077922078,0.4588744588744589,0.5221238938053098,231,,,
cell,medium,processbench_omnimath_qwen3_4b,0.2806153846153846,0.18045112781954886,0.38721804511278196,0.6307053941908713,266,,,
cell,medium,processbench_gsm8k_qwen3_8b,0.3031301482701812,0.2222222222222222,0.4222222222222222,0.47668393782383417,45,,,
cell,medium,processbench_math_qwen3_8b,0.27523885075707927,0.18229166666666666,0.40625,0.5615763546798029,192,,,
cell,medium,processbench_olympiadbench_qwen3_8b,0.2921646746347942,0.19480519480519481,0.44155844155844154,0.584070796460177,231,,,
cell,medium,processbench_omnimath_qwen3_8b,0.24738624650272417,0.15037593984962405,0.3684210526315789,0.6970954356846473,266,,,
aggregate,medium,aggregate,,,,,1468,macro_f1,0.28711666661475577,8
aggregate,medium,aggregate,,,,,1468,first_error_exact,0.1981884754499886,8
aggregate,medium,aggregate,,,,,1468,first_error_within_one,0.4247607358832688,8
aggregate,medium,aggregate,,,,,1468,clean_abstention_accuracy,0.5503203581115026,8
cell,long,processbench_gsm8k_qwen3_4b,0.3940578577013292,0.36,0.72,0.43523316062176165,25,,,
cell,long,processbench_math_qwen3_4b,0.3073902620484418,0.22289156626506024,0.463855421686747,0.49507389162561577,166,,,
cell,long,processbench_olympiadbench_qwen3_4b,0.2550342646283606,0.16872427983539096,0.46502057613168724,0.5221238938053098,243,,,
cell,long,processbench_omnimath_qwen3_4b,0.22666429966270196,0.13815789473684212,0.3881578947368421,0.6307053941908713,304,,,
cell,long,processbench_gsm8k_qwen3_8b,0.4349881796690307,0.4,0.8,0.47668393782383417,25,,,
cell,long,processbench_math_qwen3_8b,0.3372282206774146,0.24096385542168675,0.4578313253012048,0.5615763546798029,166,,,
cell,long,processbench_olympiadbench_qwen3_8b,0.30879317462501715,0.20987654320987653,0.49794238683127573,0.584070796460177,243,,,
cell,long,processbench_omnimath_qwen3_8b,0.23970426097671704,0.14473684210526316,0.3980263157894737,0.6970954356846473,304,,,
aggregate,long,aggregate,,,,,1476,macro_f1,0.31298256499862664,8
aggregate,long,aggregate,,,,,1476,first_error_exact,0.23566887269676495,8
aggregate,long,aggregate,,,,,1476,first_error_within_one,0.5238542400596538,8
aggregate,long,aggregate,,,,,1476,clean_abstention_accuracy,0.5503203581115026,8
