contrast_id,left_variant_id,right_variant_id,metric_id,source_metric_id,delta,ci_low,ci_high,statistical_status,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size,inference
pb::P3T_Q1_POINT_QUERY::P3A_H2_EQUAL_OUTER_REFERENCE::official_macro_f1,P3T_Q1_POINT_QUERY,P3A_H2_EQUAL_OUTER_REFERENCE,macro_f1,official_macro_f1,-0.009506527766077855,-0.019618110172464103,0.0005159166856906234,INCONCLUSIVE,2,0,6,-0.028437927017132547,processbench_olympiadbench_qwen3_4b,3,Bonferroni simultaneous paired whole-question bootstrap
pb::P3T_Q1_POINT_QUERY::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_exact,P3T_Q1_POINT_QUERY,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_exact,first_error_exact,-0.010644413615866655,-0.02012253158501525,-0.0012103736113640276,INCONCLUSIVE,2,0,6,-0.030257186081694393,processbench_olympiadbench_qwen3_4b,1,paired whole-question bootstrap
pb::P3T_Q1_POINT_QUERY::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_within_one,P3T_Q1_POINT_QUERY,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_within_one,first_error_within_one,-0.009723625786245027,-0.019994478578746117,0.0004932589819867038,INCONCLUSIVE,4,0,4,-0.04236006051437213,processbench_olympiadbench_qwen3_4b,1,paired whole-question bootstrap
pb::P3T_Q1_POINT_QUERY::P3A_H2_EQUAL_OUTER_REFERENCE::clean_abstention_accuracy,P3T_Q1_POINT_QUERY,P3A_H2_EQUAL_OUTER_REFERENCE,clean_abstention_accuracy,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1,paired whole-question bootstrap
pb::P3T_Q1_POINT_QUERY::P3A_H2_EQUAL_OUTER_REFERENCE::overall_decision_accuracy,P3T_Q1_POINT_QUERY,P3A_H2_EQUAL_OUTER_REFERENCE,overall_decision_accuracy,overall_decision_accuracy,-0.006812499999999999,-0.012562500000000032,-0.0010624999999999662,INCONCLUSIVE,2,0,6,-0.019999999999999962,processbench_olympiadbench_qwen3_4b,1,paired whole-question bootstrap
pb::P3T_Q1_POINT_QUERY::P3T_Q1_QUERY_PERMUTED::official_macro_f1,P3T_Q1_POINT_QUERY,P3T_Q1_QUERY_PERMUTED,macro_f1,official_macro_f1,0.0006033135204998596,-0.000930818308790809,0.0023232546263369756,PROMISING_UNCONFIRMED,4,2,2,-0.0014752958097499214,processbench_olympiadbench_qwen3_4b,3,Bonferroni simultaneous paired whole-question bootstrap
pb::P3T_Q1_POINT_QUERY::P3T_Q1_QUERY_PERMUTED::first_error_exact,P3T_Q1_POINT_QUERY,P3T_Q1_QUERY_PERMUTED,first_error_exact,first_error_exact,0.0007685551163811866,-0.00071420295358436,0.0025387363113711734,PROMISING_UNCONFIRMED,4,2,2,-0.0016835016835016758,processbench_math_qwen3_4b,1,paired whole-question bootstrap
pb::P3T_Q1_POINT_QUERY::P3T_Q1_QUERY_PERMUTED::first_error_within_one,P3T_Q1_POINT_QUERY,P3T_Q1_QUERY_PERMUTED,first_error_within_one,first_error_within_one,-0.00021043771043771642,-0.0013932394875707285,0.0009510464942275712,INCONCLUSIVE,2,3,3,-0.0016835016835016758,processbench_math_qwen3_4b,1,paired whole-question bootstrap
pb::P3T_Q1_POINT_QUERY::P3T_Q1_QUERY_PERMUTED::clean_abstention_accuracy,P3T_Q1_POINT_QUERY,P3T_Q1_QUERY_PERMUTED,clean_abstention_accuracy,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1,paired whole-question bootstrap
pb::P3T_Q1_POINT_QUERY::P3T_Q1_QUERY_PERMUTED::overall_decision_accuracy,P3T_Q1_POINT_QUERY,P3T_Q1_QUERY_PERMUTED,overall_decision_accuracy,overall_decision_accuracy,0.0004375000000000351,-0.0004999999999999449,0.001437500000000036,PROMISING_UNCONFIRMED,4,2,2,-0.0010000000000000009,processbench_math_qwen3_4b,1,paired whole-question bootstrap
