arm_id,model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
P3_H0_REFERENCE,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.39464190482165823,0.357487922705314,0.5555555555555556,0.44041450777202074,0.3975,400,207,193
P3_H0_REFERENCE,qwen3_4b,math,processbench_math_qwen3_4b,0.3659658069640095,0.28619528619528617,0.48148148148148145,0.5073891625615764,0.376,1000,594,406
P3_H0_REFERENCE,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.33595517847833684,0.24508320726172467,0.46747352496217853,0.5339233038348082,0.343,1000,661,339
P3_H0_REFERENCE,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.32051159317620476,0.2134387351778656,0.4031620553359684,0.6431535269709544,0.317,1000,759,241
P3_H0_REFERENCE,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4090976838465437,0.3526570048309179,0.5072463768115942,0.48704663212435234,0.4175,400,207,193
P3_H0_REFERENCE,qwen3_8b,math,processbench_math_qwen3_8b,0.36192035855886917,0.25757575757575757,0.4478114478114478,0.6083743842364532,0.4,1000,594,406
P3_H0_REFERENCE,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3402053774398369,0.2344931921331316,0.45385779122541603,0.6194690265486725,0.365,1000,661,339
P3_H0_REFERENCE,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.30579131303045426,0.19367588932806323,0.37417654808959155,0.7261410788381742,0.322,1000,759,241
P3F0_DYNAMICS_IU_PARENT,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.4116845769638263,0.3864734299516908,0.5797101449275363,0.44041450777202074,0.4125,400,207,193
P3F0_DYNAMICS_IU_PARENT,qwen3_4b,math,processbench_math_qwen3_4b,0.36181020792360363,0.28114478114478114,0.494949494949495,0.5073891625615764,0.373,1000,594,406
P3F0_DYNAMICS_IU_PARENT,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.35126312483173294,0.2617246596066566,0.4856278366111952,0.5339233038348082,0.354,1000,661,339
P3F0_DYNAMICS_IU_PARENT,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3437085391452757,0.23451910408432147,0.4189723320158103,0.6431535269709544,0.333,1000,759,241
P3F0_DYNAMICS_IU_PARENT,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4279498631321135,0.38164251207729466,0.5169082125603864,0.48704663212435234,0.4325,400,207,193
P3F0_DYNAMICS_IU_PARENT,qwen3_8b,math,processbench_math_qwen3_8b,0.3685165827235579,0.26430976430976433,0.4663299663299663,0.6083743842364532,0.404,1000,594,406
P3F0_DYNAMICS_IU_PARENT,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3480963480963481,0.24205748865355523,0.4629349470499244,0.6194690265486725,0.37,1000,661,339
P3F0_DYNAMICS_IU_PARENT,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.32198146043055864,0.20685111989459815,0.380764163372859,0.7261410788381742,0.332,1000,759,241
P3F1_DYNAMICS_LOCAL_DUFS_LIU,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.4116845769638263,0.3864734299516908,0.5748792270531401,0.44041450777202074,0.4125,400,207,193
P3F1_DYNAMICS_LOCAL_DUFS_LIU,qwen3_4b,math,processbench_math_qwen3_4b,0.36320130974120024,0.2828282828282828,0.49663299663299665,0.5073891625615764,0.374,1000,594,406
P3F1_DYNAMICS_LOCAL_DUFS_LIU,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.35126312483173294,0.2617246596066566,0.48411497730711045,0.5339233038348082,0.354,1000,661,339
P3F1_DYNAMICS_LOCAL_DUFS_LIU,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3437085391452757,0.23451910408432147,0.4189723320158103,0.6431535269709544,0.333,1000,759,241
P3F1_DYNAMICS_LOCAL_DUFS_LIU,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4279498631321135,0.38164251207729466,0.5217391304347826,0.48704663212435234,0.4325,400,207,193
P3F1_DYNAMICS_LOCAL_DUFS_LIU,qwen3_8b,math,processbench_math_qwen3_8b,0.3668770887486075,0.26262626262626265,0.4663299663299663,0.6083743842364532,0.403,1000,594,406
