contrast_id,left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,statistical_status,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size,practical_benefit_bound,practical_harm_bound
pb::P3D0_H2_VIEW_FULLPOOL_IU::P3A_H2_EQUAL_OUTER_REFERENCE::official_macro_f1,P3D0_H2_VIEW_FULLPOOL_IU,P3A_H2_EQUAL_OUTER_REFERENCE,macro_f1,-0.009849797231180013,-0.021085839066095933,0.0009615650709349271,INCONCLUSIVE,0,1,7,-0.019286128468892327,processbench_gsm8k_qwen3_8b,6,0.003,-0.003
pb::P3D0_H2_VIEW_FULLPOOL_IU::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_exact,P3D0_H2_VIEW_FULLPOOL_IU,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_exact,-0.011821441851699033,-0.021606003067728488,-0.002257805804753765,INCONCLUSIVE,0,1,7,-0.028985507246376774,processbench_gsm8k_qwen3_8b,1,0.003,-0.003
pb::P3D0_H2_VIEW_FULLPOOL_IU::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_within_one,P3D0_H2_VIEW_FULLPOOL_IU,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_within_one,-0.014048236315223173,-0.024379079762289455,-0.0037938106961990002,SUPPORTED_HARM,1,0,7,-0.03630862329803325,processbench_olympiadbench_qwen3_8b,1,0.003,-0.003
pb::P3D0_H2_VIEW_FULLPOOL_IU::P3A_H2_EQUAL_OUTER_REFERENCE::clean_abstention_accuracy,P3D0_H2_VIEW_FULLPOOL_IU,P3A_H2_EQUAL_OUTER_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,NONINFERIOR_ONLY,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1,0.003,-0.003
pb::P3D0_H2_VIEW_FULLPOOL_IU::P3A_H2_EQUAL_OUTER_REFERENCE::overall_decision_accuracy,P3D0_H2_VIEW_FULLPOOL_IU,P3A_H2_EQUAL_OUTER_REFERENCE,overall_decision_accuracy,-0.007187500000000013,-0.013062499999999977,-0.0015000000000000013,INCONCLUSIVE,0,1,7,-0.015000000000000013,processbench_gsm8k_qwen3_8b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D0_H2_VIEW_FULLPOOL_IU::official_macro_f1,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D0_H2_VIEW_FULLPOOL_IU,macro_f1,0.0024994547910894283,-0.008682760918677849,0.013780672657681344,PROMISING_UNCONFIRMED,5,1,2,-0.0057299514326158985,processbench_olympiadbench_qwen3_4b,6,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D0_H2_VIEW_FULLPOOL_IU::first_error_exact,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D0_H2_VIEW_FULLPOOL_IU,first_error_exact,0.0035956292739493523,-0.006835668716168815,0.014138074675016345,PROMISING_UNCONFIRMED,5,1,2,-0.006051437216338884,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D0_H2_VIEW_FULLPOOL_IU::first_error_within_one,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D0_H2_VIEW_FULLPOOL_IU,first_error_within_one,0.00753298624606924,-0.0015599537321395586,0.016551551571141413,PROMISING_UNCONFIRMED,7,0,1,-0.015128593040847182,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D0_H2_VIEW_FULLPOOL_IU::clean_abstention_accuracy,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D0_H2_VIEW_FULLPOOL_IU,clean_abstention_accuracy,0.0,0.0,0.0,NONINFERIOR_ONLY,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D0_H2_VIEW_FULLPOOL_IU::overall_decision_accuracy,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D0_H2_VIEW_FULLPOOL_IU,overall_decision_accuracy,0.001937499999999981,-0.004000000000000059,0.008000000000000009,PROMISING_UNCONFIRMED,5,1,2,-0.0040000000000000036,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3A_H2_EQUAL_OUTER_REFERENCE::official_macro_f1,P3D1_H2_VIEW_DEPLOYED_UPCR,P3A_H2_EQUAL_OUTER_REFERENCE,macro_f1,-0.007350342440090585,-0.017884728561707943,0.0032634924540328163,INCONCLUSIVE,1,2,5,-0.019672777438709987,processbench_olympiadbench_qwen3_4b,6,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_exact,P3D1_H2_VIEW_DEPLOYED_UPCR,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_exact,-0.00822581257774968,-0.017588475511304987,0.001177349703509439,INCONCLUSIVE,1,2,5,-0.021180030257186067,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_within_one,P3D1_H2_VIEW_DEPLOYED_UPCR,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_within_one,-0.006515250069153933,-0.016975129107359658,0.003991760813870854,INCONCLUSIVE,5,0,3,-0.0408472012102874,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3A_H2_EQUAL_OUTER_REFERENCE::clean_abstention_accuracy,P3D1_H2_VIEW_DEPLOYED_UPCR,P3A_H2_EQUAL_OUTER_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,NONINFERIOR_ONLY,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3A_H2_EQUAL_OUTER_REFERENCE::overall_decision_accuracy,P3D1_H2_VIEW_DEPLOYED_UPCR,P3A_H2_EQUAL_OUTER_REFERENCE,overall_decision_accuracy,-0.005250000000000032,-0.010875000000000024,0.0003750000000000697,INCONCLUSIVE,1,2,5,-0.013999999999999957,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::official_macro_f1,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,macro_f1,0.0031893318634319545,-0.006004795733216696,0.012580472012079711,PROMISING_UNCONFIRMED,5,0,3,-0.004305825646277628,processbench_olympiadbench_qwen3_4b,6,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::first_error_exact,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,first_error_exact,0.00462654289612785,-0.0036884086137934963,0.013147796644583112,PROMISING_UNCONFIRMED,5,0,3,-0.0050505050505050275,processbench_math_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::first_error_within_one,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,first_error_within_one,0.006236904221676942,-0.0010626308508138143,0.013583567281286337,PROMISING_UNCONFIRMED,7,0,1,-0.010590015128593033,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::clean_abstention_accuracy,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,clean_abstention_accuracy,0.0,0.0,0.0,NONINFERIOR_ONLY,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::overall_decision_accuracy,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,overall_decision_accuracy,0.0025624999999999676,-0.0023124999999999396,0.007500000000000008,PROMISING_UNCONFIRMED,5,0,3,-0.0030000000000000027,processbench_math_qwen3_4b,1,0.003,-0.003
pb::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::official_macro_f1,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,macro_f1,-0.0004567439561992126,-0.009545127107861626,0.008546520186803064,INCONCLUSIVE,3,0,5,-0.00947798582051218,processbench_gsm8k_qwen3_4b,6,0.003,-0.003
pb::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::first_error_exact,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,first_error_exact,-0.0016987145734350673,-0.009366201872153482,0.006233072956803043,INCONCLUSIVE,3,0,5,-0.015942028985507173,processbench_gsm8k_qwen3_4b,1,0.003,-0.003
pb::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::first_error_within_one,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,first_error_within_one,-0.00555366129779894,-0.013975017023077416,0.0030016251587827595,INCONCLUSIVE,1,0,7,-0.022768532526474983,processbench_olympiadbench_qwen3_8b,1,0.003,-0.003
pb::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::clean_abstention_accuracy,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,clean_abstention_accuracy,0.0,-2.220446049250313e-16,2.220446049250313e-16,NONINFERIOR_ONLY,0,8,0,-1.1102230246251565e-16,processbench_math_qwen3_8b,1,0.003,-0.003
pb::P3D2_H2_VIEW_MASK_EQUAL_CONTROL::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::overall_decision_accuracy,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,overall_decision_accuracy,-0.0007812499999999556,-0.0053907031250000365,0.003993750000000018,INCONCLUSIVE,3,0,5,-0.00824999999999998,processbench_gsm8k_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::official_macro_f1,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,macro_f1,0.002732587907232742,-0.0085453474879305,0.013851195976865098,PROMISING_UNCONFIRMED,5,0,3,-0.008911320621047436,processbench_olympiadbench_qwen3_4b,6,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::first_error_exact,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,first_error_exact,0.0029278283226927826,-0.007137760156392182,0.013206482776313287,PROMISING_UNCONFIRMED,5,0,3,-0.009682299546142137,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::first_error_within_one,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,first_error_within_one,0.0006832429238780025,-0.009501759628429295,0.010893350619077162,PROMISING_UNCONFIRMED,6,0,2,-0.02004538577912235,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::clean_abstention_accuracy,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,clean_abstention_accuracy,0.0,-2.220446049250313e-16,2.220446049250313e-16,NONINFERIOR_ONLY,0,8,0,-1.1102230246251565e-16,processbench_math_qwen3_8b,1,0.003,-0.003
pb::P3D1_H2_VIEW_DEPLOYED_UPCR::P3D3_H2_VIEW_RANDOM_MASK_CONTROL::overall_decision_accuracy,P3D1_H2_VIEW_DEPLOYED_UPCR,P3D3_H2_VIEW_RANDOM_MASK_CONTROL,overall_decision_accuracy,0.001781250000000012,-0.004125078125000044,0.007834453124999998,PROMISING_UNCONFIRMED,5,0,3,-0.006399999999999961,processbench_olympiadbench_qwen3_4b,1,0.003,-0.003
