contrast_id,left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,statistical_status,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size
pb::P3S1_DYNAMICS_CANONICAL_SU::P3S0_DYNAMICS_IU_PARENT::official_macro_f1,P3S1_DYNAMICS_CANONICAL_SU,P3S0_DYNAMICS_IU_PARENT,macro_f1,0.00021642087525053366,-0.004205243498841044,0.0047421897760170865,PROMISING_UNCONFIRMED,5,1,2,-0.009932957757207872,processbench_math_qwen3_8b,5
pb::P3S1_DYNAMICS_CANONICAL_SU::P3S0_DYNAMICS_IU_PARENT::first_error_exact,P3S1_DYNAMICS_CANONICAL_SU,P3S0_DYNAMICS_IU_PARENT,first_error_exact,0.00028980690281088517,-0.003458173028745891,0.004087530764239535,PROMISING_UNCONFIRMED,5,1,2,-0.01010101010101011,processbench_math_qwen3_8b,1
pb::P3S1_DYNAMICS_CANONICAL_SU::P3S0_DYNAMICS_IU_PARENT::first_error_within_one,P3S1_DYNAMICS_CANONICAL_SU,P3S0_DYNAMICS_IU_PARENT,first_error_within_one,0.0017415405784477755,-0.002336778377460988,0.005853250096988521,PROMISING_UNCONFIRMED,5,1,2,-0.009661835748792313,processbench_gsm8k_qwen3_4b,1
pb::P3S1_DYNAMICS_CANONICAL_SU::P3S0_DYNAMICS_IU_PARENT::clean_abstention_accuracy,P3S1_DYNAMICS_CANONICAL_SU,P3S0_DYNAMICS_IU_PARENT,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S1_DYNAMICS_CANONICAL_SU::P3S0_DYNAMICS_IU_PARENT::overall_decision_accuracy,P3S1_DYNAMICS_CANONICAL_SU,P3S0_DYNAMICS_IU_PARENT,overall_decision_accuracy,0.00024999999999997247,-0.0020625000000000226,0.002624999999999933,PROMISING_UNCONFIRMED,5,1,2,-0.006000000000000005,processbench_math_qwen3_8b,1
pb::P3S2_DYNAMICS_STG_SU::P3S0_DYNAMICS_IU_PARENT::official_macro_f1,P3S2_DYNAMICS_STG_SU,P3S0_DYNAMICS_IU_PARENT,macro_f1,-0.00011446961764105534,-0.002963579189727652,0.00269680951930603,INCONCLUSIVE,3,2,3,-0.0049375689500325,processbench_math_qwen3_8b,5
pb::P3S2_DYNAMICS_STG_SU::P3S0_DYNAMICS_IU_PARENT::first_error_exact,P3S2_DYNAMICS_STG_SU,P3S0_DYNAMICS_IU_PARENT,first_error_exact,-0.00034156159591930413,-0.0030992021888444966,0.0023247493086158183,INCONCLUSIVE,3,2,3,-0.005050505050505083,processbench_math_qwen3_8b,1
pb::P3S2_DYNAMICS_STG_SU::P3S0_DYNAMICS_IU_PARENT::first_error_within_one,P3S2_DYNAMICS_STG_SU,P3S0_DYNAMICS_IU_PARENT,first_error_within_one,0.0006161009334724743,-0.0023272662651802707,0.0035029632384588104,PROMISING_UNCONFIRMED,4,3,1,-0.009661835748792313,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S0_DYNAMICS_IU_PARENT::clean_abstention_accuracy,P3S2_DYNAMICS_STG_SU,P3S0_DYNAMICS_IU_PARENT,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S0_DYNAMICS_IU_PARENT::overall_decision_accuracy,P3S2_DYNAMICS_STG_SU,P3S0_DYNAMICS_IU_PARENT,overall_decision_accuracy,-6.250000000002087e-05,-0.0016250000000000444,0.0015000000000000013,INCONCLUSIVE,3,2,3,-0.0030000000000000027,processbench_math_qwen3_8b,1
pb::P3S2_DYNAMICS_STG_SU::P3S1_DYNAMICS_CANONICAL_SU::official_macro_f1,P3S2_DYNAMICS_STG_SU,P3S1_DYNAMICS_CANONICAL_SU,macro_f1,-0.000330890492891589,-0.003702947712409066,0.0029906291574080435,INCONCLUSIVE,2,1,5,-0.0031177252435924396,processbench_olympiadbench_qwen3_8b,5
pb::P3S2_DYNAMICS_STG_SU::P3S1_DYNAMICS_CANONICAL_SU::first_error_exact,P3S2_DYNAMICS_STG_SU,P3S1_DYNAMICS_CANONICAL_SU,first_error_exact,-0.0006313684987301893,-0.0033085990094614062,0.0018727568191497655,INCONCLUSIVE,2,1,5,-0.004830917874396157,processbench_gsm8k_qwen3_8b,1
pb::P3S2_DYNAMICS_STG_SU::P3S1_DYNAMICS_CANONICAL_SU::first_error_within_one,P3S2_DYNAMICS_STG_SU,P3S1_DYNAMICS_CANONICAL_SU,first_error_within_one,-0.0011254396449753012,-0.004081459023080124,0.0017415563238399297,INCONCLUSIVE,1,2,5,-0.004830917874396157,processbench_gsm8k_qwen3_8b,1
pb::P3S2_DYNAMICS_STG_SU::P3S1_DYNAMICS_CANONICAL_SU::clean_abstention_accuracy,P3S2_DYNAMICS_STG_SU,P3S1_DYNAMICS_CANONICAL_SU,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S1_DYNAMICS_CANONICAL_SU::overall_decision_accuracy,P3S2_DYNAMICS_STG_SU,P3S1_DYNAMICS_CANONICAL_SU,overall_decision_accuracy,-0.00031249999999999334,-0.0020624999999999116,0.0013749999999999596,INCONCLUSIVE,2,1,5,-0.0025000000000000022,processbench_gsm8k_qwen3_8b,1
pb::P3S2_DYNAMICS_STG_SU::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::official_macro_f1,P3S2_DYNAMICS_STG_SU,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,macro_f1,0.0008842181476292899,-0.002316114196056174,0.004155605306047398,PROMISING_UNCONFIRMED,3,3,2,-0.0032980749750821103,processbench_math_qwen3_8b,5
pb::P3S2_DYNAMICS_STG_SU::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::first_error_exact,P3S2_DYNAMICS_STG_SU,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,first_error_exact,0.001030858254761402,-0.0020867803916746336,0.004276627558057594,PROMISING_UNCONFIRMED,3,3,2,-0.004830917874396157,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::first_error_within_one,P3S2_DYNAMICS_STG_SU,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,first_error_within_one,0.0015311028680100591,-0.0016050154181959763,0.0047185981194742144,PROMISING_UNCONFIRMED,6,1,1,-0.009661835748792313,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::clean_abstention_accuracy,P3S2_DYNAMICS_STG_SU,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::overall_decision_accuracy,P3S2_DYNAMICS_STG_SU,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,overall_decision_accuracy,0.0006875000000000075,-0.0010625000000000773,0.0025000000000000022,PROMISING_UNCONFIRMED,3,3,2,-0.0025000000000000022,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::official_macro_f1,P3S2_DYNAMICS_STG_SU,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,macro_f1,-0.00028835734484056186,-0.0028961822694179677,0.0021804921718379224,INCONCLUSIVE,2,3,3,-0.0049375689500325,processbench_math_qwen3_8b,5
pb::P3S2_DYNAMICS_STG_SU::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::first_error_exact,P3S2_DYNAMICS_STG_SU,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,first_error_exact,-0.0005519993063570205,-0.0027655385706451137,0.001520841253115675,INCONCLUSIVE,2,3,3,-0.005050505050505083,processbench_math_qwen3_8b,1
pb::P3S2_DYNAMICS_STG_SU::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::first_error_within_one,P3S2_DYNAMICS_STG_SU,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,first_error_within_one,0.00019522551259704146,-0.002271442246952131,0.0025723459997916533,PROMISING_UNCONFIRMED,3,4,1,-0.004830917874396157,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::clean_abstention_accuracy,P3S2_DYNAMICS_STG_SU,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::overall_decision_accuracy,P3S2_DYNAMICS_STG_SU,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,overall_decision_accuracy,-0.0001875000000000071,-0.0015624999999999667,0.0011249999999999871,INCONCLUSIVE,2,3,3,-0.0030000000000000027,processbench_math_qwen3_8b,1
