candidate,model,family,cell_id,n,f1,exact_error,clean_abstention,within_one
H0_CURRENT_FAMILY_TOP10,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,76,0.5517241379310346,0.4,0.8888888888888888,0.525
H0_CURRENT_FAMILY_TOP10,qwen3_8b,math,processbench_math_qwen3_8b,182,0.37745776793132096,0.26851851851851855,0.6351351351351351,0.4351851851851852
H0_CURRENT_FAMILY_TOP10,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,191,0.28416779431664413,0.19090909090909092,0.5555555555555556,0.45454545454545453
H0_CURRENT_FAMILY_TOP10,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,186,0.3321123321123321,0.24113475177304963,0.5333333333333333,0.44680851063829785
H0_CURRENT_FAMILY_TOP10,llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,76,0.41743119266055045,0.325,0.5833333333333334,0.525
H0_CURRENT_FAMILY_TOP10,llama31_8b,math,processbench_math_llama31_8b,182,0.38651315789473684,0.2777777777777778,0.6351351351351351,0.5
H0_CURRENT_FAMILY_TOP10,llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,191,0.3356946653173341,0.24545454545454545,0.5308641975308642,0.41818181818181815
H0_CURRENT_FAMILY_TOP10,llama31_8b,omnimath,processbench_omnimath_llama31_8b,186,0.3076923076923077,0.2127659574468085,0.5555555555555556,0.40425531914893614
H2_CLEAN_C7,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,76,0.5022421524663676,0.35,0.8888888888888888,0.5
H2_CLEAN_C7,qwen3_8b,math,processbench_math_qwen3_8b,182,0.38651315789473684,0.2777777777777778,0.6351351351351351,0.4444444444444444
H2_CLEAN_C7,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,191,0.3225806451612903,0.22727272727272727,0.5555555555555556,0.4727272727272727
H2_CLEAN_C7,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,186,0.3517528223410576,0.2624113475177305,0.5333333333333333,0.48226950354609927
H2_CLEAN_C7,llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,76,0.3962264150943397,0.3,0.5833333333333334,0.525
H2_CLEAN_C7,llama31_8b,math,processbench_math_llama31_8b,182,0.38651315789473684,0.2777777777777778,0.6351351351351351,0.5185185185185185
H2_CLEAN_C7,llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,191,0.35230964825540334,0.2636363636363636,0.5308641975308642,0.45454545454545453
H2_CLEAN_C7,llama31_8b,omnimath,processbench_omnimath_llama31_8b,186,0.3002070393374741,0.20567375886524822,0.5555555555555556,0.41843971631205673
H3_EQUAL_C8,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,76,0.5274725274725275,0.375,0.8888888888888888,0.5
H3_EQUAL_C8,qwen3_8b,math,processbench_math_qwen3_8b,182,0.3682148852825965,0.25925925925925924,0.6351351351351351,0.4351851851851852
H3_EQUAL_C8,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,191,0.3225806451612903,0.22727272727272727,0.5555555555555556,0.4909090909090909
H3_EQUAL_C8,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,186,0.3517528223410576,0.2624113475177305,0.5333333333333333,0.48226950354609927
H3_EQUAL_C8,llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,76,0.3962264150943397,0.3,0.5833333333333334,0.525
H3_EQUAL_C8,llama31_8b,math,processbench_math_llama31_8b,182,0.3953867028493894,0.28703703703703703,0.6351351351351351,0.5185185185185185
H3_EQUAL_C8,llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,191,0.32709186658864836,0.23636363636363636,0.5308641975308642,0.43636363636363634
