method_id,pb_gsm8k_q4_F1_percent,pb_gsm8k_q8_F1_percent,pb_math_q4_F1_percent,pb_math_q8_F1_percent,pb_olympiadbench_q4_F1_percent,pb_olympiadbench_q8_F1_percent,pb_omnimath_q4_F1_percent,pb_omnimath_q8_F1_percent
view__H0lim,44.54065469904963,40.75721780750468,33.95460417051117,33.65295814473189,31.348296635922583,30.5869226477887,35.44794188861985,33.9909714094633
view__a0.001,44.54065469904963,40.75721780750468,33.95460417051117,33.65295814473189,31.348296635922583,30.5869226477887,35.44794188861985,33.9909714094633
view__a0.01,44.54065469904963,40.75721780750468,33.95460417051117,33.51618211738892,31.348296635922583,30.5869226477887,35.336464103934084,33.9909714094633
view__a0.02,44.54065469904963,40.75721780750468,33.95460417051117,33.37877000263456,31.348296635922583,30.724047911547913,35.224607930818365,33.89040741276524
view__a0.05,44.913718383106136,40.75721780750468,33.95460417051117,33.51618211738892,31.197692225506607,30.724047911547913,35.224607930818365,33.9909714094633
view__a0.1,44.163770000265345,40.5,34.11939229628114,33.65295814473189,30.589164542419127,30.724047911547913,35.224607930818365,33.9909714094633
view__a0.15,44.163770000265345,41.01140730799732,34.11939229628114,33.65295814473189,30.89465779875563,30.171946402292622,35.44794188861985,34.091167702146066
view__a0.2,44.54065469904963,41.01140730799732,34.11939229628114,33.92461952265841,30.742220390906322,30.310875823560096,35.55904320165912,33.688168181019265
view__a0.25,44.54065469904963,40.75721780750468,34.446923617691105,33.92461952265841,31.04648050673566,30.310875823560096,35.336464103934084,33.78947368421053
view__a0.3,44.163770000265345,40.75721780750468,34.609675254692235,33.92461952265841,31.04648050673566,30.310875823560096,35.224607930818365,33.89040741276524
view__a0.4,44.163770000265345,40.5,34.609675254692235,34.19378890407709,31.647698107864137,30.032407676932333,35.11237143945486,33.688168181019265
view__a0.5,43.78300528084493,40.5,34.77175644550869,34.460500421703685,31.348296635922583,30.449199922884134,35.11237143945486,33.9909714094633
view__a0.75,43.398300313664514,40.75721780750468,34.933171324422844,33.92461952265841,31.197692225506607,30.310875823560096,34.88674971687429,33.9909714094633
view__H1,44.163770000265345,39.70962571886489,34.77175644550869,33.92461952265841,31.197692225506607,30.449199922884134,35.44794188861985,33.89040741276524
view__a1.5,44.163770000265345,39.70962571886489,34.77175644550869,33.65295814473189,31.348296635922583,31.400846926568043,34.65958323271638,33.9909714094633
view__a2,44.163770000265345,39.97626038608109,35.413458925821935,33.51618211738892,31.647698107864137,31.53446773032175,34.88674971687429,33.586488845335246
view__a3,44.163770000265345,39.97626038608109,35.413458925821935,34.59294497800916,31.348296635922583,31.931918739291703,35.336464103934084,33.48443360408661
view__a4,44.163770000265345,39.70962571886489,35.25401851441018,34.7247875877355,31.348296635922583,32.194079379065975,35.55904320165912,33.48443360408661
view__a8,43.00959361862671,40.2396994442202,35.57224922669023,34.85603234525431,31.944713784531846,32.454027816671335,35.78012401541814,33.175991485029385
view__Hinf,43.78300528084493,39.97626038608109,35.73039338511651,34.7247875877355,31.197692225506607,32.583181191549606,35.336464103934084,32.864090094701815
view__ve0,44.54065469904963,41.01140730799732,33.12026686833735,32.96267244959166,32.67700041893591,31.667517537391042,34.65958323271638,33.89040741276524
view__ve0.1,44.913718383106136,41.51091281803931,34.28349736594928,33.37877000263456,31.348296635922583,30.9965215396965,35.44794188861985,34.29046521295491
view__ve0.25,41.003790498851785,39.43973694195017,33.95460417051117,33.92461952265841,30.89465779875563,30.5869226477887,35.55904320165912,33.78947368421053
view__ve0.5,41.41347424042272,40.2396994442202,35.413458925821935,36.26140115727876,34.37691835481891,34.57809177089716,33.9686549170446,33.382000368844906
view__ve0.75,44.913718383106136,40.5,36.20098820529169,35.88494701507273,35.60114647759843,35.056669884514996,32.78468256634196,33.175991485029385
view__ve1,45.28301886792453,40.75721780750468,32.781598193943054,33.37877000263456,35.332716412888026,33.22087642645134,33.14422692768677,33.78947368421053
view__ve1.5,43.00959361862671,39.43973694195017,33.456098542292104,34.59294497800916,33.81908166070938,32.454027816671335,33.14422692768677,33.78947368421053
view__ve2,42.21992266216437,38.60993912847434,35.09392399179491,33.78910249118417,31.647698107864137,32.71179193545388,33.02479916171848,32.968445173876695
view__ve3,42.21992266216437,38.60993912847434,35.88789533697414,33.92461952265841,31.197692225506607,30.5869226477887,34.65958323271638,32.759344160385425
view__ve4,39.74805983578899,37.74860518542829,36.51155868637762,33.65295814473189,30.589164542419127,28.893673336362024,33.8521037157378,31.47108857056551
view__ve8,38.887941326965716,38.60993912847434,33.78912871510905,33.24071735286689,31.348296635922583,32.063277345658136,33.9686549170446,31.47108857056551
entropy,44.163770000265345,39.70962571886489,34.77175644550869,33.92461952265841,31.197692225506607,30.449199922884134,35.44794188861985,33.89040741276524
direct_iu,43.00959361862671,38.60993912847434,32.95128939828081,33.51618211738892,31.197692225506607,30.310875823560096,34.08480367926758,32.33640762256706
ref__varentropy15,45.28301886792453,40.75721780750468,32.781598193943054,33.37877000263456,35.332716412888026,33.22087642645134,33.14422692768677,33.78947368421053
ref__varentropy15_iu,43.398300313664514,39.97626038608109,32.95128939828081,32.398695854680945,34.09907905097744,32.83986346096764,33.14422692768677,33.9909714094633
