method,pb_all8,pb_raw_exact,prm_within,prm_fold_auc,prm_pooled_oof_descriptive,prmscore_q08,regret
ve1q15__h10__hinf0__raw_step_equal,0.37474898261944,0.3316073840612337,0.7534358509472404,0.7227075509858861,0.7223049757726236,0.6344124357811041,2.0758997124308287
ve1q15__h10__hinf0__scale_step_equal,0.3778287969479369,0.3390364700585322,0.7498929217471177,0.7180869660416727,0.7177687372172261,0.6332729725415122,1.8939226913607943
ve1q15__h10__hinf0__answer_z_local_iu,0.3724062759087572,0.33093201260693383,0.7457031363877792,0.671593083352304,0.6715259890744746,0.5870013581043353,3.9888153710300744
ve1q15__h10__hinf1__raw_step_equal,0.371320314177913,0.32868077442593424,0.7536807671298393,0.7223561698215375,0.721955175313139,0.6344960386522732,3.7902339331943313
ve1q15__h10__hinf1__scale_step_equal,0.37890078204430166,0.33610986042323276,0.7484888821787191,0.7163515110834655,0.7160602020317821,0.6307910811669587,2.595942475560109
ve1q15__h10__hinf1__answer_z_local_iu,0.37327470707667443,0.3329581269698334,0.7440796221416005,0.6725313795162828,0.67245567426928,0.5873438603900957,4.800572494119415
ve1q15__h11__hinf0__raw_step_equal,0.37208054003013236,0.3289058982440342,0.7529849686338442,0.7220907570092956,0.7216906401817174,0.6346332262288282,3.4101210070846544
ve1q15__h11__hinf0__scale_step_equal,0.37681817309545684,0.3343088698784331,0.7488440079048885,0.7173462958605888,0.7170657228327606,0.6315777135767897,2.4183796124754298
ve1q15__h11__hinf0__answer_z_local_iu,0.3696271965271286,0.32778027915353447,0.7459918294773938,0.6737989217259713,0.6737200451584033,0.5891773409621879,4.636792758586528
ve1q15__h11__hinf1__raw_step_equal,0.37054531949597236,0.32823052678973436,0.7525298206987454,0.7217268558834024,0.7213274945546265,0.6345614122751353,4.177731274164653
ve1q15__h11__hinf1__scale_step_equal,0.3754742893455075,0.33228275551553355,0.7463846026842619,0.7139449802725333,0.7136682822341771,0.6283558604914765,3.648082222788729
ve1q15__h11__hinf1__answer_z_local_iu,0.36726857650977096,0.3237280504277353,0.7440017597195804,0.6747512368794636,0.6746351860627592,0.5895809612817786,5.816102767265352
ve1q50__h10__hinf0__raw_step_equal,0.37185090985778135,0.3284556506078343,0.7531160245628398,0.7226770968812344,0.7222662913941358,0.634794728994941,3.524936093260156
ve1q50__h10__hinf0__scale_step_equal,0.3760771178652865,0.33588473660513285,0.750297206785682,0.7209197269033567,0.7206225144719162,0.6343395783895771,1.6917801720786607
ve1q50__h10__hinf0__answer_z_local_iu,0.36630583391115484,0.32575416479063485,0.7464107728747867,0.6769575730929894,0.6768681695398991,0.5907517488006502,6.297474066573411
ve1q50__h10__hinf1__raw_step_equal,0.3712971510332286,0.3289058982440342,0.7531506458273449,0.722349013333638,0.7219464033260793,0.6345806559708534,3.8018155055365432
ve1q50__h10__hinf1__scale_step_equal,0.3750497726151536,0.33093201260693383,0.7491152590626436,0.717805611114404,0.7175128145651308,0.6315509390172394,2.2827540335978447
ve1q50__h10__hinf1__answer_z_local_iu,0.3672995911872547,0.3266546600630347,0.7457440327229362,0.6781410643361148,0.6780555685648186,0.593229889844174,5.800595428523486
ve1q50__h11__hinf0__raw_step_equal,0.3709155271180117,0.32823052678973436,0.7526211614977724,0.7221005233993903,0.7216920091333828,0.6347736416175458,3.992627463144993
ve1q50__h11__hinf0__scale_step_equal,0.37461558255078764,0.3316073840612337,0.7487895050741479,0.718738374691591,0.7184545313344433,0.6324978074147957,2.4456310278457294
ve1q50__h11__hinf0__answer_z_local_iu,0.3665822841264276,0.3223773075191355,0.7462828949790838,0.6809466382240499,0.6808493859242191,0.5955849968073196,6.159248958937019
ve1q50__h11__hinf1__raw_step_equal,0.3707313502033879,0.3284556506078343,0.7520195250374645,0.7217535642387541,0.7213495338319872,0.6347007886313127,4.084715920456894
ve1q50__h11__hinf1__scale_step_equal,0.37387747273318017,0.32958126969833407,0.7463813388170433,0.7149572939607336,0.7146762097253693,0.6290964504693474,3.6497141563980318
ve1q50__h11__hinf1__answer_z_local_iu,0.36085313745853365,0.3171994597028366,0.7436496376998288,0.6823071540813536,0.6821996245176695,0.5971912255457008,9.02382229288401
