method_id,pb_gsm8k_q4_F1_percent,pb_gsm8k_q8_F1_percent,pb_math_q4_F1_percent,pb_math_q8_F1_percent,pb_olympiadbench_q4_F1_percent,pb_olympiadbench_q8_F1_percent,pb_omnimath_q4_F1_percent,pb_omnimath_q8_F1_percent
R6_sel__joint,44.163770000265345,40.5,34.933171324422844,33.78910249118417,31.197692225506607,30.449199922884134,34.88674971687429,33.9909714094633
view__H0.1,44.163770000265345,40.5,34.11939229628114,33.65295814473189,30.589164542419127,30.724047911547913,35.224607930818365,33.9909714094633
view__H0.25,44.54065469904963,40.75721780750468,34.446923617691105,33.92461952265841,31.04648050673566,30.310875823560096,35.336464103934084,33.78947368421053
view__H0.5,43.78300528084493,40.5,34.77175644550869,34.460500421703685,31.348296635922583,30.449199922884134,35.11237143945486,33.9909714094633
view__H1,44.163770000265345,39.70962571886489,34.77175644550869,33.92461952265841,31.197692225506607,30.449199922884134,35.44794188861985,33.89040741276524
view__H2,44.163770000265345,39.97626038608109,35.413458925821935,33.51618211738892,31.647698107864137,31.53446773032175,34.88674971687429,33.586488845335246
view__Hinf,43.78300528084493,39.97626038608109,35.73039338511651,34.7247875877355,31.197692225506607,32.583181191549606,35.336464103934084,32.864090094701815
view__sel1,28.00982800982801,29.05829596412556,28.10343119447839,27.802982829928567,16.378060223492284,14.783465986967078,19.730286668231738,18.88040021717211
R6__equal,44.54065469904963,40.5,34.933171324422844,33.24071735286689,31.04648050673566,31.266651442490673,35.78012401541814,33.688168181019265
R6__iu,44.54065469904963,39.97626038608109,34.933171324422844,33.51618211738892,30.89465779875563,31.53446773032175,35.99972162293827,33.586488845335246
R6_sel__equal,43.78300528084493,39.70962571886489,35.09392399179491,33.78910249118417,31.348296635922583,31.400846926568043,35.336464103934084,34.389570413290485
R6_sel__iu,44.913718383106136,40.75721780750468,34.446923617691105,33.92461952265841,30.589164542419127,31.667517537391042,35.78012401541814,34.19099830385267
R6_sel__shrink,44.913718383106136,40.75721780750468,34.28349736594928,33.65295814473189,30.435486482111063,31.667517537391042,35.99972162293827,34.29046521295491
entropy,44.163770000265345,39.70962571886489,34.77175644550869,33.92461952265841,31.197692225506607,30.449199922884134,35.44794188861985,33.89040741276524
direct_iu,43.00959361862671,38.60993912847434,32.95128939828081,33.51618211738892,31.197692225506607,30.310875823560096,34.08480367926758,32.33640762256706
ref__varentropy15,45.28301886792453,40.75721780750468,32.781598193943054,33.37877000263456,35.332716412888026,33.22087642645134,33.14422692768677,33.78947368421053
ref__varentropy15_iu,43.398300313664514,39.97626038608109,32.95128939828081,32.398695854680945,34.09907905097744,32.83986346096764,33.14422692768677,33.9909714094633
