cell,domain,family,schema,block_count,max_block_size,partition_count,graph_cka,graph_cka_min,edge_jaccard,score_spearman,score_spearman_min,rank_change,n_components,degree_min,t4_spearman_vs_final,t8_spearman_vs_final
epr_triviaqa_mistral24b,QA,triviaqa,atomic_random,25,1,16,0.6508373621557377,0.5121692412203699,0.32817344603573007,0.9999729165946364,0.9994979172585682,0.001260239445494644,1,0.03413305145169466,nan,nan
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked,16,5,16,0.5898136471896345,0.5162292331507693,0.26428757779843964,0.9999397200061934,0.999623287619752,0.00014002660505496044,1,0.027200099441174665,0.9999953900586616,0.9999680811670367
epr_triviaqa_mistral24b,QA,triviaqa,family_blocked,6,9,16,0.5769968633742697,0.43245850493435645,0.3162424510630287,0.9999234098333056,0.9982171051873365,0.005227659922051857,1,0.036361141572733784,nan,nan
losnet_hotpotqa_mistral7b,QA,hotpotqa,atomic_random,25,1,16,0.6274225693489568,0.5552580833099839,0.3117568664557093,0.9999577118308474,0.9996646706586827,0.0029519999999999998,1,0.028769770291427244,nan,nan
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked,15,6,16,0.46320107281300177,0.21462579833028383,0.21405876533836046,0.9995672302689209,0.99849528998116,0.000216,1,0.02218362409144638,0.9999823359293436,0.9999723518894075
losnet_hotpotqa_mistral7b,QA,hotpotqa,family_blocked,6,10,16,0.6089260290912719,0.4350363192145918,0.32363061694756157,0.999813567254269,0.9976127584510337,0.0044480000000000006,1,0.03783375983588451,nan,nan
sciq_llama8b,QA,sciq,atomic_random,26,1,16,0.7497842518542388,0.685290565642252,0.4212015602589708,0.9997858852793424,0.9994991106895807,0.002346699316396286,1,0.05576793760660008,nan,nan
sciq_llama8b,QA,sciq,dependency_blocked,15,9,16,0.6811171997088434,0.5166714838741683,0.3577992437669857,0.9998137124632545,0.999177552119929,0.005254565860626467,1,0.044675834093078765,0.9999319779948813,0.9999613511334553
sciq_llama8b,QA,sciq,family_blocked,6,10,16,0.727438761585179,0.621556240051315,0.41604506617929043,0.9999219292895798,0.9996135113345531,0.002346699316396286,1,0.060078434188205375,nan,nan
se_nq_open_llama8b,QA,nq_open,atomic_random,24,1,16,0.8937141532770881,0.8878273817910011,0.2822402917772656,0.9999618602770763,0.9997239009226018,0.0017488780465994892,73,0.011412799009629035,nan,nan
se_nq_open_llama8b,QA,nq_open,dependency_blocked,17,5,16,0.8881668654302435,0.8818196556759778,0.23417894557403462,0.999953863928849,0.9997356775160413,0.0008068563508430718,68,0.008831834386304546,0.9999653809696359,0.9999995485153298
se_nq_open_llama8b,QA,nq_open,family_blocked,6,9,16,0.9039134192917495,0.8689589405215007,0.3098857112815852,0.9998900328038204,0.9990682990045019,0.0031324994830351704,67,0.015993941469522148,nan,nan
