method,PB_percent,within,PRMScore,answers
equal__L,39.8314%,0.760293,0.638830,13769
equal__R,36.3349%,0.651336,0.533193,13769
local__native__LL,39.3825%,0.757218,0.635103,13769
local__native__LR,38.7590%,0.686999,0.565079,13769
local__native__RL,39.5449%,0.756181,0.631754,13769
local__native__RR,38.8139%,0.694392,0.578567,13769
local__simplex__LL,39.3033%,0.758262,0.638258,13769
local__simplex__LR,36.6559%,0.654713,0.534700,13769
local__simplex__RL,39.5408%,0.759895,0.598094,13769
local__simplex__RR,36.6408%,0.654439,0.533966,13769
pooled__native__LL,39.2578%,0.756794,0.637771,13769
pooled__native__LR,38.6825%,0.693668,0.564168,13769
pooled__native__RL,39.2041%,0.756936,0.638024,13769
pooled__native__RR,38.7620%,0.694657,0.564472,13769
pooled__simplex__LL,39.2861%,0.758357,0.638909,13769
pooled__simplex__LR,36.7975%,0.654773,0.534764,13769
pooled__simplex__RL,39.8459%,0.761112,0.639269,13769
pooled__simplex__RR,36.6617%,0.654463,0.534781,13769
original4,37.4749%,0.753436,0.634412,13769
innovation5,39.8314%,0.760293,0.638830,13769
single__H0lim,36.3335%,0.743972,0.633422,13769
single__VE0,36.5270%,0.753406,0.635477,13769
single__VE075,37.8892%,0.732302,0.618679,13769
single__VE1,36.9021%,0.737786,0.625781,13769
entropy15,36.3476%,0.730111,0.625426,13769
RBM12,37.1253%,0.745204,0.622215,13769
ridge_signed025_secondary,40.8472%,0.761620,0.641765,13769
