contrast_id,primary,endpoint,paired_N,delta,ci95_lo,ci95_hi,ci_adj_lo,ci_adj_hi,family_K,B,invalid_draw_rate,units,legacy_paired_N,paired_groups,valid_draws
R_CONTRIB - BASE,True,pb_sla_macro8,4442,0.006170214167813326,-0.0027807012679437818,0.015232107729402106,-0.005230767025941039,0.017654784776829236,4.0,100000,0.0,fraction (x100 = pp),100000,1979,100000
R_CONTRIB - BASE,True,prm_within_auc,6030,-0.005577085022949513,-0.007704262512331694,-0.003455369300039822,-0.008268239705351066,-0.0028748251282588143,4.0,100000,0.0,AUC,100000,707,100000
R_CONTRIB - R_RANDOM_DIR,True,pb_sla_macro8,4442,0.0013815139489348205,-0.00813211994204875,0.010975803125157065,-0.01086235756570698,0.013521118404155064,4.0,100000,0.0,fraction (x100 = pp),100000,1979,100000
R_CONTRIB - R_RANDOM_DIR,True,prm_within_auc,6030,-0.00842198804788108,-0.010442709337100547,-0.006405367005340665,-0.011009364791263783,-0.005868016181325101,4.0,100000,0.0,AUC,100000,707,100000
R_CONTRIB_ONLY - BASE,False,pb_sla_macro8,4442,-0.10190267914072426,-0.12694115040569856,-0.07693382460923866,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
R_CONTRIB_ONLY - BASE,False,prm_within_auc,6030,-0.2903903457872764,-0.30200624432497447,-0.2787552292546863,,,,100000,0.0,AUC,100000,707,100000
R_RANDOM_DIR - BASE,False,pb_sla_macro8,4442,0.0047887002188785055,-0.0013727419512196428,0.011046143791338992,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
R_RANDOM_DIR - BASE,False,prm_within_auc,6030,0.0028449030249315665,0.00162914553049186,0.00408420659516944,,,,100000,0.0,AUC,100000,707,100000
R_RANDOM_DIR_s0 - BASE,False,pb_sla_macro8,4442,0.008756647688930808,-0.000179408056825711,0.01777648444295606,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
R_RANDOM_DIR_s0 - BASE,False,prm_within_auc,6030,0.0015288353289838463,-0.0005443162381166765,0.0036131192307814306,,,,100000,0.0,AUC,100000,707,100000
R_RANDOM_DIR_s1 - BASE,False,pb_sla_macro8,4442,-0.0011894859046736594,-0.009101624535710033,0.006662661155285612,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
R_RANDOM_DIR_s1 - BASE,False,prm_within_auc,6030,-0.016828175703281212,-0.018896715212697653,-0.01477928869303229,,,,100000,0.0,AUC,100000,707,100000
R_RANDOM_DIR_s2 - BASE,False,pb_sla_macro8,4442,0.00513957738272014,-0.003489329258147308,0.01373872935169818,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
R_RANDOM_DIR_s2 - BASE,False,prm_within_auc,6030,0.006264990051296437,0.004159035000292679,0.008376156023366844,,,,100000,0.0,AUC,100000,707,100000
BASE - ct7,False,pb_sla_macro8,4442,-0.07396715959170735,-0.0908188455434515,-0.05718715551317212,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
BASE - ct7,False,prm_within_auc,6030,-0.016083682089297446,-0.02015324413907055,-0.011993961184243403,,,,100000,0.0,AUC,100000,707,100000
