cell,family,domain,auc_head_pcr,auc_head_ridge,auc_head_pcr_tail,auc_full_ridge,gamma,tail_to_head_norm,condition_observed,auc_direct_cca,canonical_correlation
ars_gsm8k_r1distill8b,gsm8k,math,0.7553935035552681,0.7552319004524887,0.6935197155785391,0.692792501616031,0.09440903194380224,3.765894902732061,4.296984730582154e+16,0.7133564964447316,0.9789287415269539
epr_triviaqa_mistral24b,triviaqa,QA,0.7445152059252609,0.7444450678936146,0.7332089552238806,0.7331528447985636,0.12902502077858663,1.5682774761027736,145438.82421492413,0.7388761081809,0.987523432259122
internalstates_gsm8k_qwen25_7b,gsm8k,math,0.7106049218554278,0.7106049218554278,0.6852055269699947,0.6849357306662042,0.11820389212727482,1.6963680280903224,417986.9696029278,0.6477231119076526,0.9795643354931983
lapeigvals_gsm8k_llama3b,gsm8k,math,0.6965002187654182,0.6964210908481582,0.6717820537883654,0.6714050325355378,0.14184740938427032,2.3758459825705813,863722.1438283474,0.7115857234618929,0.9805543088963895
lapeigvals_gsm8k_llama8b,gsm8k,math,0.8141964929137642,0.8141164224517576,0.7946192649531588,0.7941788774121226,0.14550363286257495,2.4320832205987286,1239652.8383767104,0.796841220273841,0.9802605921602229
lapeigvals_gsm8k_mistral24b,gsm8k,math,0.8468496474334672,0.8469178861172189,0.7652816741223748,0.764606869360831,0.14755799414406742,2.727658559377111,1038968.3980650227,0.8572901660474638,0.9785615482860784
lapeigvals_gsm8k_nemo,gsm8k,math,0.7970221409709527,0.797054641478773,0.7779809059516556,0.7778021531586432,0.11554441327558171,1.7630882938263566,441569.93367157504,0.7766280723136298,0.9803459279346528
lapeigvals_gsm8k_phi35,gsm8k,math,0.8121645796064401,0.8122135298462962,0.7901770218674071,0.7898121200793883,0.10799952425593769,1.0144332204357964,318657.3731389946,0.7817264304595093,0.9810518971486567
losnet_hotpotqa_mistral7b,hotpotqa,QA,0.5713902643951447,0.5714617708575412,0.5623446969019824,0.5623268202863834,0.11162679538804024,1.8320835415157484,5.177455861267277e+16,0.5624877098267757,0.9812771957103185
math500_dsmath7b,math500,math,0.7873077756118692,0.7873799725651578,0.7514258898274493,0.7512814959208721,0.10748155091640806,1.3752224749359152,571173.4024632694,0.7908454263230092,0.9791461220932139
math500_qwenmath7b,math500,math,0.8891353955375253,0.8890720081135903,0.8764579107505072,0.8763945233265721,0.1581476593576725,5.644248451328535,12101413.135740966,0.9203220081135903,0.9783474506640547
math500_r1distill8b,math500,math,0.8320473810041294,0.8320473810041294,0.8328080851988698,0.8325907411432297,0.1422567698873465,3.111321150673601,3774205.1833616267,0.8407411432297326,0.9783135710912707
math500_r1distill8b_mn4096,math500,math,0.8318621269440941,0.8316753070851431,0.7673625706412591,0.7661482415580776,0.16421537847397466,3.0765702731626745,7151240.2731734095,0.8393349213021345,0.9777595822923861
noise_gsm8k_mistral7b,gsm8k,math,0.7837117014379061,0.7837162997944535,0.7569354712625708,0.7565055249253916,0.121593537197173,1.8751894714002415,409256.1330509383,0.7617499505676671,0.9815914843372731
noise_gsm8k_phi3mini,gsm8k,math,0.6783044341791078,0.6784048559505479,0.6304534600879249,0.6299262457878645,0.09503153062246666,2.008731853440045,203209.5119676222,0.670318113855973,0.9819186331927042
sciq_llama8b,sciq,QA,0.7409137518514299,0.740344081121112,0.7262162470092287,0.7258744445710379,0.1403259892146312,2.3396405125722746,385290.39809459535,0.7380653981998404,0.9893211178183553
se_nq_open_llama8b,nq_open,QA,0.7445177187239106,0.7445541336697008,0.7459083669071489,0.745854164015489,0.1108366822440533,1.6751223327581464,118527.08895198446,0.7431651635945635,0.9894817404189709
se_squad_v2_llama8b,squad_v2,QA,0.81073840222548,0.8107326307527156,0.7951329170177646,0.7949574642457262,0.10890507966505375,1.8976690420108286,1316487.4978075782,0.7523674581279651,0.9899489533834342
seiclr_triviaqa_opt30b,triviaqa,QA,0.8215773889922278,0.8215048695743898,0.7698105844261094,0.7691059722554536,0.07348100640515748,6.989275384621365,22270.048179276255,0.7993885374939862,0.9862514194664738
semenergy_triviaqa_qwen3_8b,triviaqa,QA,0.8057536016119662,0.8058203096750383,0.7907471968066581,0.7905551773353848,0.0905909120751103,2.581575209856969,41099.51484380658,0.7819180417671444,0.989872840538545
spilled_triviaqa_llama8b,triviaqa,QA,0.932,0.932,0.7686666666666667,0.7673333333333334,0.14147167828858492,2.323321548460517,304553.28954973526,0.8953333333333333,0.9863723252398772
trace_gsm8k_llama8b_k10,gsm8k,math,0.813570487483531,0.8135700757575758,0.7748274868247694,0.774214632740448,0.14548980366774844,2.354522541543577,1310517.3959871992,0.8002143033596836,0.9802897194352614
trace_math500_qwenmath15b_k10,math500,math,0.6863671519685057,0.6863725070936282,0.6569690450817383,0.6566056615912831,0.14860814385790633,3.085854850137483,1072690.979962679,0.6865553463656677,0.9709166168874016
truthfulqa_llama8b,truthfulqa,QA,0.6611693332773009,0.6611008626573556,0.6636511215415092,0.6635732316828412,0.09790265311344548,1.2267190765022327,112168.01109376941,0.60671653308254,0.9897453343051249
