cell,family,domain,n,m,auc_su_pcr,auc_current_sdsf,auc_stable_sdsf,tail_kappa_mean,rho_retained_fraction,bootstrap_success
ars_gsm8k_r1distill8b,gsm8k,math,500,26,0.7553935035552681,0.6988728183581124,0.7102254363283774,0.6882179317550968,0.9982749038712297,1.0
epr_triviaqa_mistral24b,triviaqa,QA,621,25,0.7445152059252609,0.713065312535069,0.7240208730782178,0.6620466785075351,0.999012427130087,1.0
internalstates_gsm8k_qwen25_7b,gsm8k,math,500,25,0.7106049218554278,0.6526565300341098,0.6759553679828871,0.5479335251900657,0.9989511647006901,1.0
lapeigvals_gsm8k_llama3b,gsm8k,math,1319,26,0.6965002187654182,0.6687216652237459,0.6780191955018107,0.5703148909837126,0.9996684997135933,1.0
lapeigvals_gsm8k_llama8b,gsm8k,math,500,25,0.8141964929137642,0.7793858595564096,0.7921771158619585,0.5742389438166411,0.9994140586983944,1.0
lapeigvals_gsm8k_mistral24b,gsm8k,math,1319,26,0.8468496474334672,0.7179240275987565,0.735431041019031,0.5587051313126318,0.9996739524431527,1.0
lapeigvals_gsm8k_nemo,gsm8k,math,1319,25,0.7970221409709527,0.7792362380662198,0.7895145236644323,0.5345524872174181,0.9993593433879295,1.0
lapeigvals_gsm8k_phi35,gsm8k,math,1319,25,0.8121645796064401,0.7808764762947338,0.7898343701884138,0.5936874221033214,0.9996153356430528,1.0
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,25,0.5713902643951447,0.5578576663865997,0.5606285418044656,0.7475232102577749,0.9994280238032619,1.0
math500_dsmath7b,math500,math,300,26,0.7873077756118692,0.7225471085120208,0.7497653599018121,0.4898786184538957,0.9994616274186877,1.0
math500_qwenmath7b,math500,math,300,24,0.8891353955375253,0.8575050709939148,0.8699290060851927,0.621078059287081,0.999344499303109,1.0
math500_r1distill8b,math500,math,300,24,0.8320473810041294,0.8436209519669637,0.8432949358835036,0.6372477190578041,0.9994685947542166,1.0
math500_r1distill8b_mn4096,math500,math,300,25,0.8318621269440941,0.7925832515996452,0.8109850077063191,0.4901027373114396,0.9989829502301677,1.0
noise_gsm8k_mistral7b,gsm8k,math,1319,25,0.7837117014379061,0.7551513089221913,0.7656746478808474,0.6912724828340202,0.9997218239339166,1.0
noise_gsm8k_phi3mini,gsm8k,math,1319,25,0.6783044341791078,0.6418011202606503,0.6616427886010132,0.40359533026455585,0.9955451683431606,1.0
sciq_llama8b,sciq,QA,198,26,0.7409137518514299,0.719949868975732,0.734191637233679,0.44883457947390504,0.9987127600950128,1.0
se_nq_open_llama8b,nq_open,QA,8460,24,0.7445177187239106,0.7410947697565764,0.7436859924121545,0.9689451170617566,0.999941337738364,1.0
se_squad_v2_llama8b,squad_v2,QA,2933,24,0.81073840222548,0.7916469474680549,0.7980509736474554,0.7753413184728292,0.9997630892498242,1.0
seiclr_triviaqa_opt30b,triviaqa,QA,5000,18,0.8215773889922278,0.7504898678635104,0.7578781654484692,0.9291785786186171,0.9997054651830667,1.0
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,24,0.8057536016119662,0.75271466488446,0.7696755535937981,0.7829895049689563,0.9998626218143003,1.0
spilled_triviaqa_llama8b,triviaqa,QA,256,25,0.932,0.6786666666666668,0.8360000000000001,0.4019009626205501,0.9988426613044671,1.0
trace_gsm8k_llama8b_k10,gsm8k,math,5000,25,0.813570487483531,0.7518371212121213,0.7669301712779975,0.704881837809623,0.9998852159895257,1.0
trace_math500_qwenmath15b_k10,math500,math,3000,26,0.6863671519685057,0.6235775448893364,0.6387623846831181,0.744759008225722,0.9998992695343587,1.0
truthfulqa_llama8b,truthfulqa,QA,7633,25,0.6611693332773009,0.6655184856182715,0.6676483204048244,0.5470267489477041,0.9997941227863775,1.0
