selector,variant,pool_mode,domain,cell,n,p_pool,chosen,size,auroc,eval_mode,pctile_within_size,rand_med,K,residual,fusion,flipped,fallback,seconds,seed,diag_json
a4_antigravity,a4.anchor_s4,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|epr_spilled|mean_logprob_entropy|renyi_entropy_2,4,0.6921258888170652,live,nan,0.6890352294764059,2,5.450164410783834,lsml,False,False,0.097,0,"{""mean_correlation"": 0.9959201036804146}"
a4_antigravity,a4.anchor_s5,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|epr_spilled|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2,5,0.6919440853264384,live,nan,0.6884393180349062,2,10.668086858592826,lsml,False,False,0.097,0,"{""mean_correlation"": 0.9942902811611246}"
a4_antigravity,a4.anchor_s6,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|epr_spilled|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2,6,0.6944893341952165,live,nan,0.7040845184227538,2,17.0024835216379,lsml,False,False,0.097,0,"{""mean_correlation"": 0.988951331805327}"
a4_antigravity,a4.anchor_adapt,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|epr_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,8,0.6988122171945701,live,nan,0.7152149321266968,3,31.59390119303968,lsml,False,False,0.097,0,"{""size"": 8, ""mean_correlation"": 0.9598230352921411}"
a4_antigravity,a4.intrinsic_k_ah,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|epr_spilled|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2,5,0.6919440853264384,live,nan,nan,2,10.668086858592826,lsml,False,False,0.097,0,"{""intrinsic_dim_ah"": 2, ""intrinsic_dim_kn"": 8, ""k_dim"": 5}"
a4_antigravity,a4.good5+K_intrinsic_ah,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,5,0.7389301874595993,live,nan,nan,2,0.40928962984726663,lsml,False,False,0.097,0,"{""intrinsic_dim_ah"": 2, ""intrinsic_dim_kn"": 8}"
a4_antigravity,a4.good5+K_intrinsic_kn,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,5,0.7426874595992243,live,nan,nan,4,0.45004229017499986,lsml,False,False,0.097,0,"{""intrinsic_dim_ah"": 2, ""intrinsic_dim_kn"": 8}"
a4_antigravity,a4.recon_s4,c46,repgrid,ars_gsm8k_r1distill8b,500,26,trace_length|spectral_centroid|hurst_exponent|mean_logprob_entropy,4,0.36885908209437623,live,nan,0.6890352294764059,3,0.038325365547877695,lsml,False,False,0.097,0,"{""reconstruction_error"": 4480.946856641526}"
a4_antigravity,a4.recon_s5,c46,repgrid,ars_gsm8k_r1distill8b,500,26,trace_length|spectral_centroid|hurst_exponent|cusum_shift_idx|mean_logprob_entropy,5,0.37936328377504847,live,nan,0.6884393180349062,4,0.06950809574212788,lsml,False,False,0.097,0,"{""reconstruction_error"": 3967.4393313607143}"
a4_antigravity,a4.recon_s6,c46,repgrid,ars_gsm8k_r1distill8b,500,26,trace_length|spectral_centroid|rpdi|hurst_exponent|cusum_shift_idx|mean_logprob_entropy,6,0.43925743374272785,live,nan,0.7040845184227538,5,0.27308352521948104,lsml,False,False,0.097,0,"{""reconstruction_error"": 3466.559542543252}"
a4_antigravity,a4.recon_adapt,c46,repgrid,ars_gsm8k_r1distill8b,500,26,trace_length|spectral_centroid|hurst_exponent|mean_logprob_entropy,4,0.36885908209437623,live,nan,0.6890352294764059,3,0.038325365547877695,lsml,False,False,0.097,0,"{""size"": 4, ""reconstruction_error"": 4480.946856641526}"
a4_antigravity,a4.anchor_s4,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2,4,0.7384973628100102,live,nan,0.7142015486477387,2,5.364194013863842,lsml,False,False,0.177,0,"{""mean_correlation"": 0.993267055404981}"
a4_antigravity,a4.anchor_s5,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2,5,0.741723712265739,live,nan,0.7277101335428122,2,9.714776357787747,lsml,False,False,0.177,0,"{""mean_correlation"": 0.9808182545659715}"
a4_antigravity,a4.anchor_s6,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,6,0.7445152059252609,live,nan,0.727205139714959,2,15.244450914271242,lsml,False,False,0.177,0,"{""mean_correlation"": 0.9717033699840373}"
a4_antigravity,a4.anchor_adapt,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|epr_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,8,0.7420884300302997,live,nan,0.735313096173269,2,29.579581271799135,lsml,False,False,0.177,0,"{""size"": 8, ""mean_correlation"": 0.9543164584426316}"
a4_antigravity,a4.intrinsic_k_ah,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2,4,0.7384973628100102,live,nan,nan,2,5.364194013863842,lsml,False,False,0.177,0,"{""intrinsic_dim_ah"": 1, ""intrinsic_dim_kn"": 8, ""k_dim"": 4}"
a4_antigravity,a4.good5+K_intrinsic_ah,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,5,0.7072999663337448,live,nan,nan,2,1.3306987330624773,lsml,False,False,0.177,0,"{""intrinsic_dim_ah"": 1, ""intrinsic_dim_kn"": 8}"
a4_antigravity,a4.good5+K_intrinsic_kn,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,5,0.6955728874424868,live,nan,nan,4,1.7027586402849346,lsml,False,False,0.177,0,"{""intrinsic_dim_ah"": 1, ""intrinsic_dim_kn"": 8}"
a4_antigravity,a4.recon_s4,c46,repgrid,epr_triviaqa_mistral24b,621,28,trace_length|spectral_centroid|pe_mean|mean_logprob_entropy,4,0.6809280664347436,live,nan,0.7142015486477387,2,0.44550511371594637,lsml,True,False,0.177,0,"{""reconstruction_error"": 5847.959661330885}"
a4_antigravity,a4.recon_s5,c46,repgrid,epr_triviaqa_mistral24b,621,28,trace_length|spectral_centroid|pe_mean|min_spilled|mean_logprob_entropy,5,0.6857675906183369,live,nan,0.7277101335428122,4,0.08002789124531656,lsml,False,False,0.177,0,"{""reconstruction_error"": 5228.367376991781}"
a4_antigravity,a4.recon_s6,c46,repgrid,epr_triviaqa_mistral24b,621,28,trace_length|spectral_centroid|pe_mean|cusum_shift_idx|min_spilled|mean_logprob_entropy,6,0.7069212209628549,live,nan,0.727205139714959,3,0.32365442551849044,lsml,False,False,0.177,0,"{""reconstruction_error"": 4631.691831774668}"
a4_antigravity,a4.recon_adapt,c46,repgrid,epr_triviaqa_mistral24b,621,28,trace_length|spectral_centroid|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|mean_logprob_entropy,7,0.6797778027157446,live,nan,0.7258374480978566,2,0.09376351888193564,lsml,True,False,0.177,0,"{""size"": 7, ""reconstruction_error"": 4048.435615395935}"
a4_antigravity,a4.anchor_s4,c46,repgrid,inside_coqa_llama7b,4504,23,epr|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2,4,0.5742147138244651,live,nan,0.5325807461181944,2,5.473455224574154,lsml,False,False,0.42,0,"{""mean_correlation"": 0.999382573450144}"
a4_antigravity,a4.anchor_s5,c46,repgrid,inside_coqa_llama7b,4504,23,epr|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2,5,0.5713189882535374,live,nan,0.5262015000369583,2,10.393046010983431,lsml,False,False,0.42,0,"{""mean_correlation"": 0.9973827595174886}"
a4_antigravity,a4.anchor_s6,c46,repgrid,inside_coqa_llama7b,4504,23,epr|epr_spilled|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2,6,0.5716461089154535,live,nan,0.5142816477445187,2,17.03412878969889,lsml,False,False,0.42,0,"{""mean_correlation"": 0.9958590315559244}"
