variant,pool_mode,n_cells,macro_auroc,macro_repgrid,delta_vs_good5,wilcoxon_p,wins,ties,losses,sign_p,mean_pctile,frac_cells_above_random,gap_captured,gap_captured_rag_gpqa,n_nan_auroc,n_fallback,mean_size,mean_seconds,G_floor,G_macro,G_domain
ref.GOOD_6,c46,25,0.7594,0.7594,0.0226,0.00334,15,0,4,0.01921,,,0.369,,0,0,6.0,0.0,n/a,SUCCESS,n/a
ref.GOOD_5,c46,25,0.7519,0.7519,0.0151,,0,19,0,,,,0.0,,0,0,5.0,0.0,n/a,PASS,n/a
a2.dufs,c46,25,0.7502,0.7502,0.0134,0.62256,11,0,8,0.64761,,,0.096,,0,0,18.96,17.154,n/a,PASS,n/a
a1.router@good5,c46,25,0.7494,0.7494,0.0126,0.95298,10,0,9,1.0,,,-0.029,,0,0,5.0,20.94,n/a,PASS,n/a
ref.top_macro_5,c46,25,0.7489,0.7489,0.0121,1.0,11,0,8,0.64761,,,-0.073,,0,0,5.0,0.0,n/a,PASS,n/a
a2.select,c46,25,0.7481,0.7481,0.0114,0.92171,11,0,8,0.64761,,,0.053,,0,0,20.16,17.154,n/a,PASS,n/a
a4.good5+K_intrinsic_kn,c46,25,0.7472,0.7472,0.0104,0.09799,5,3,11,0.21011,,,-0.124,,0,0,5.0,0.412,n/a,PASS,n/a
a1.good5+K_kn,c46,25,0.7467,0.7467,0.01,0.07829,4,4,11,0.11847,,,-0.129,,0,0,5.0,20.94,n/a,PASS,n/a
a2.select+groups,c46,25,0.7462,0.7462,0.0094,0.8107,9,1,9,1.0,,,0.006,,0,0,20.16,17.154,n/a,PASS,n/a
a4.good5+K_intrinsic_ah,c46,25,0.7413,0.7413,0.0046,0.01796,0,12,7,0.01562,,,-0.25,,0,0,5.0,0.412,n/a,PASS,n/a
a1.good5+K_ah,c46,25,0.7391,0.7391,0.0024,0.00585,1,8,10,0.01172,,,-0.27,,0,0,5.0,20.94,n/a,PASS,n/a
a3.cae_k3,c46,25,0.7388,0.7388,0.0021,0.07283,7,0,12,0.35928,,,-0.293,,0,0,3.0,53.233,n/a,PASS,n/a
a5.mrmr_a0.7_adapt,c46,25,0.7379,0.7379,0.0012,0.04456,5,0,14,0.06357,,,-0.372,,0,0,8.0,0.05,n/a,PASS,n/a
a2.groups@good5,c46,25,0.7378,0.7378,0.001,0.04942,5,3,11,0.21011,,,-0.275,,0,0,5.0,17.154,n/a,PASS,n/a
a4.anchor_adapt,c46,25,0.7366,0.7366,-0.0002,0.04013,5,0,14,0.06357,,,-0.374,,0,0,8.0,0.412,n/a,PASS,n/a
a5.mrmr_a0.0_adapt,c46,25,0.7366,0.7366,-0.0002,0.04013,5,0,14,0.06357,,,-0.374,,0,0,8.0,0.05,n/a,PASS,n/a
a5.mrmr_a0.3_adapt,c46,25,0.7366,0.7366,-0.0002,0.04013,5,0,14,0.06357,,,-0.374,,0,0,8.0,0.05,n/a,PASS,n/a
a5.mrmr_a0.5_adapt,c46,25,0.7366,0.7366,-0.0002,0.04013,5,0,14,0.06357,,,-0.374,,0,0,8.0,0.05,n/a,PASS,n/a
random_s6,c46,25,0.736,0.736,-0.0008,0.03234,7,0,12,0.35928,,,-0.417,,0,0,6.0,0.009,n/a,PASS,n/a
a4.anchor_s6,c46,25,0.7355,0.7355,-0.0013,0.02582,5,0,14,0.06357,,,-0.396,,0,0,6.0,0.412,n/a,PASS,n/a
a5.mrmr_a0.0_s6,c46,25,0.7355,0.7355,-0.0013,0.02582,5,0,14,0.06357,,,-0.396,,0,0,6.0,0.05,n/a,PASS,n/a
a5.mrmr_a0.3_s6,c46,25,0.7355,0.7355,-0.0013,0.02582,5,0,14,0.06357,,,-0.396,,0,0,6.0,0.05,n/a,PASS,n/a
a5.mrmr_a0.5_s6,c46,25,0.7355,0.7355,-0.0013,0.02582,5,0,14,0.06357,,,-0.407,,0,0,6.0,0.05,n/a,PASS,n/a
a5.mrmr_a0.7_s6,c46,25,0.7355,0.7355,-0.0013,0.02582,5,0,14,0.06357,,,-0.407,,0,0,6.0,0.05,n/a,PASS,n/a
a5.mrmr_a0.7_s5,c46,25,0.7354,0.7354,-0.0014,0.02893,5,0,14,0.06357,,,-0.396,,0,0,5.0,0.05,n/a,PASS,n/a
a5.mrmr_a0.5_s5,c46,25,0.7349,0.7349,-0.0019,0.02893,5,0,14,0.06357,,,-0.396,,0,0,5.0,0.05,n/a,PASS,n/a
a5.mrmr_a0.3_s5,c46,25,0.7347,0.7347,-0.0021,0.02582,5,0,14,0.06357,,,-0.408,,0,0,5.0,0.05,n/a,PASS,n/a
a4.anchor_s5,c46,25,0.7346,0.7346,-0.0022,0.02582,5,0,14,0.06357,,,-0.408,,0,0,5.0,0.412,n/a,PASS,n/a
a5.mrmr_a0.0_s5,c46,25,0.7346,0.7346,-0.0022,0.02582,5,0,14,0.06357,,,-0.408,,0,0,5.0,0.05,n/a,PASS,n/a
a4.intrinsic_k_ah,c46,25,0.733,0.733,-0.0038,0.02299,5,0,14,0.06357,,,-0.429,,0,0,4.2,0.412,n/a,PASS,n/a
a5.mrmr_a0.7_s4,c46,25,0.7327,0.7327,-0.004,0.01597,5,0,14,0.06357,,,-0.429,,0,0,4.0,0.05,n/a,PASS,n/a
a4.anchor_s4,c46,25,0.7326,0.7326,-0.0042,0.01597,5,0,14,0.06357,,,-0.432,,0,0,4.0,0.412,n/a,PASS,n/a
a5.mrmr_a0.0_s4,c46,25,0.7326,0.7326,-0.0042,0.01597,5,0,14,0.06357,,,-0.432,,0,0,4.0,0.05,n/a,PASS,n/a
