variant,pool_mode,n_cells,macro_all,macro_qa,macro_math,delta_vs_good5_all,wilcoxon_p,wins,ties,losses,G_macro
ref.GOOD_6,c46,25,0.7594,0.7274,0.7807,0.0075,0.00507,18,0,7,PASS
a6.pl_dufs,c46,25,0.7524,0.7091,0.7813,0.0005,0.17296,17,0,8,PASS
ref.GOOD_5,c46,25,0.7519,0.721,0.7725,0.0,,0,25,0,PASS
a6.dufs,c46,25,0.7508,0.7098,0.7781,-0.0011,0.45785,15,0,10,PASS
a2.dufs,c46,25,0.7502,0.7087,0.7778,-0.0017,0.44184,15,0,10,PASS
a1.router@good5,c46,25,0.7494,0.7154,0.7721,-0.0025,0.7751,13,1,11,PASS
ref.top_macro_5,c46,25,0.7489,0.7211,0.7675,-0.003,0.79148,14,0,11,PASS
a6.pl_rank,c46,25,0.7487,0.7096,0.7748,-0.0032,0.05203,17,1,7,PASS
a2.select,c46,25,0.7481,0.7072,0.7754,-0.0038,0.67208,15,0,10,PASS
a6.pl_dufs_noseed,c46,25,0.7478,0.7008,0.7791,-0.0041,1.0,13,0,12,PASS
a4.good5+K_intrinsic_kn,c46,25,0.7472,0.7099,0.7721,-0.0047,0.16765,8,3,14,PASS
a1.good5+K_kn,c46,25,0.7467,0.7096,0.7715,-0.0052,0.11377,7,4,14,FAIL
a2.select+groups,c46,25,0.7462,0.7043,0.7742,-0.0057,0.97721,12,1,12,FAIL
a4.good5+K_intrinsic_ah,c46,25,0.7413,0.717,0.7576,-0.0106,0.01729,1,17,7,FAIL
a1.good5+K_ah,c46,25,0.7391,0.7105,0.7582,-0.0128,0.01565,3,11,11,FAIL
a3.cae_k3,c46,25,0.7388,0.6964,0.7671,-0.0131,0.20022,10,0,15,FAIL
a5.mrmr_a0.7_adapt,c46,25,0.7379,0.6991,0.7638,-0.014,0.06263,8,0,17,FAIL
a2.groups@good5,c46,25,0.7378,0.6932,0.7675,-0.0141,0.02405,6,3,16,FAIL
a4.anchor_adapt,c46,25,0.7366,0.6959,0.7637,-0.0153,0.05507,8,0,17,FAIL
a5.mrmr_a0.0_adapt,c46,25,0.7366,0.6959,0.7637,-0.0153,0.05507,8,0,17,FAIL
a5.mrmr_a0.3_adapt,c46,25,0.7366,0.6959,0.7637,-0.0153,0.05507,8,0,17,FAIL
a5.mrmr_a0.5_adapt,c46,25,0.7366,0.6959,0.7638,-0.0153,0.05507,8,0,17,FAIL
random_s6,c46,25,0.736,0.683,0.7714,-0.0159,0.04215,9,0,16,FAIL
a4.anchor_s6,c46,25,0.7355,0.6957,0.7621,-0.0164,0.04512,8,0,17,FAIL
a5.mrmr_a0.0_s6,c46,25,0.7355,0.6957,0.7621,-0.0164,0.04512,8,0,17,FAIL
a5.mrmr_a0.3_s6,c46,25,0.7355,0.6951,0.7623,-0.0164,0.04512,8,0,17,FAIL
a5.mrmr_a0.5_s6,c46,25,0.7355,0.6954,0.7623,-0.0164,0.04826,8,0,17,FAIL
a5.mrmr_a0.7_s6,c46,25,0.7355,0.6954,0.7622,-0.0164,0.04826,8,0,17,FAIL
a5.mrmr_a0.7_s5,c46,25,0.7354,0.6947,0.7625,-0.0165,0.05158,8,0,17,FAIL
a5.mrmr_a0.5_s5,c46,25,0.7349,0.6941,0.762,-0.017,0.05158,8,0,17,FAIL
a5.mrmr_a0.3_s5,c46,25,0.7347,0.6936,0.762,-0.0172,0.04512,8,0,17,FAIL
