feature,n_cells,QA_mean,QA_n_anti,QA_n,math_mean,math_n_anti,math_n,all_mean,all_n_anti,all_n
topk_tail_mass,25,0.7031,0,10,0.7735,0,15,0.7453,0,25
mean_logprob_entropy,25,0.6943,0,10,0.7617,0,15,0.7347,0,25
epr,25,0.693,0,10,0.7606,0,15,0.7336,0,25
renyi_entropy_2,25,0.6897,0,10,0.7584,0,15,0.7309,0,25
mean_top1_logprob,25,0.6865,0,10,0.7571,0,15,0.7289,0,25
logprob_margin,24,0.6772,0,9,0.7593,0,15,0.7285,0,24
sw_var_peak,25,0.6981,0,10,0.746,0,15,0.7268,0,25
cusum_max,25,0.6885,0,10,0.7395,0,15,0.7191,0,25
varentropy,25,0.6985,0,10,0.7162,1,15,0.7091,1,25
cusum_max_energy,25,0.6384,0,10,0.6949,0,15,0.6723,0,25
low_band_power,25,0.595,1,10,0.6735,0,15,0.6421,1,25
spectral_entropy,25,0.6184,1,10,0.602,3,15,0.6086,4,25
rpdi,25,0.5304,5,10,0.6429,0,15,0.5979,5,25
stft_max_high_power,20,0.5742,0,5,0.551,1,15,0.5568,1,20
sw_var_peak_energy,25,0.5594,2,10,0.5401,6,15,0.5478,8,25
pe_mean,25,0.5318,3,10,0.4777,10,15,0.4994,13,25
cusum_shift_idx,25,0.4739,6,10,0.4687,12,15,0.4708,18,25
stft_spectral_entropy,20,0.5383,1,5,0.4366,11,15,0.462,12,20
min_spilled,11,0.4026,3,3,0.4387,5,8,0.4289,8,11
hurst_exponent,25,0.4115,10,10,0.377,15,15,0.3908,25,25
high_band_power,25,0.4518,7,10,0.3488,15,15,0.39,22,25
dominant_freq,23,0.4091,9,10,0.3614,13,13,0.3821,22,23
hl_ratio,25,0.4016,8,10,0.3263,15,15,0.3564,23,25
spectral_centroid,25,0.3975,10,10,0.3152,15,15,0.3481,25,25
sw_var_peak_spilled,25,0.3254,10,10,0.3415,15,15,0.3351,25,25
min_energy,25,0.303,10,10,0.3194,14,15,0.3128,24,25
trace_length,20,0.3162,8,8,0.3084,12,12,0.3116,20,20
epr_energy,25,0.3313,10,10,0.2964,12,15,0.3103,22,25
cusum_max_spilled,25,0.3143,10,10,0.2579,15,15,0.2805,25,25
epr_spilled,25,0.3193,10,10,0.2485,15,15,0.2768,25,25
