selector,variant,pool_mode,domain,cell,n,p_pool,chosen,size,auroc,eval_mode,pctile_within_size,rand_med,K,residual,fusion,flipped,fallback,seconds,seed,diag_json
reference_macros,ref.GOOD_5,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,5,0.7500404007756949,live,nan,0.6810964941978455,3,0.3370069998709812,lsml,False,False,0.0,0,"{""macro"": ""GOOD_5"", ""n_present"": 5}"
reference_macros,ref.GOOD_6,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,6,0.7623222365869424,live,nan,0.7007514536380768,2,0.9551591804784444,lsml,False,False,0.0,0,"{""macro"": ""GOOD_6"", ""n_present"": 6}"
reference_macros,ref.STABLE_H9,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|rpdi|sw_var_peak|pe_mean|cusum_max,9,0.6440287653522947,live,nan,0.7095285356044769,5,3.835506437918699,lsml,True,False,0.0,0,"{""macro"": ""STABLE_H9"", ""n_present"": 9}"
reference_macros,ref.top_macro_5,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,5,0.753615869424693,live,nan,0.6810964941978455,3,0.30335354918938573,lsml,False,False,0.0,0,"{""macro"": ""top_macro_5"", ""n_present"": 5}"
reference_macros,ref.consensus_4,c46,repgrid,ars_gsm8k_r1distill8b,500,26,spectral_entropy|sw_var_peak|cusum_max|cusum_shift_idx,4,0.7349103102779574,live,nan,0.7041148245334625,3,0.016050566640124102,lsml,False,False,0.0,0,"{""macro"": ""consensus_4"", ""n_present"": 4}"
reference_macros,ref.ALL_H16,c46,repgrid,ars_gsm8k_r1distill8b,500,26,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,16,0.36433419521654814,live,nan,0.7185378968715668,4,10.633789066918219,lsml,False,False,0.0,0,"{""macro"": ""ALL_H16"", ""n_present"": 16}"
reference_macros,ref.GOOD_5,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,5,0.7072999663337448,live,nan,0.7271069288253784,2,1.3306987330624773,lsml,False,False,0.0,0,"{""macro"": ""GOOD_5"", ""n_present"": 5}"
reference_macros,ref.GOOD_6,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,6,0.7331949276175513,live,nan,0.7274927198886871,2,2.917414937801492,lsml,False,False,0.0,0,"{""macro"": ""GOOD_6"", ""n_present"": 6}"
reference_macros,ref.STABLE_H9,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|rpdi|sw_var_peak|pe_mean|cusum_max,9,0.6789080911233307,live,nan,0.7271841168403625,3,2.677557586436044,lsml,False,False,0.0,0,"{""macro"": ""STABLE_H9"", ""n_present"": 9}"
reference_macros,ref.top_macro_5,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,5,0.7031758500729435,live,nan,0.7271069288253784,2,1.301197261072672,lsml,True,False,0.0,0,"{""macro"": ""top_macro_5"", ""n_present"": 5}"
