domain,cell,n,split,seed,greedy_subset,greedy_size,greedy_halfA_auroc,greedy_halfB_auroc,good5_halfB_auroc,fulloracle_subset,fulloracle_halfB_auroc,fulloracle_insample_auroc
repgrid,ars_gsm8k_r1distill8b,500,0,0,epr|spectral_entropy|dominant_freq|cusum_max,4,0.8,0.4592,0.7223,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7349,0.779
repgrid,ars_gsm8k_r1distill8b,500,1,0,epr|spectral_entropy|hl_ratio|dominant_freq|sw_var_peak|cusum_max,6,0.7834,0.745,0.7467,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.4651,0.779
repgrid,ars_gsm8k_r1distill8b,500,2,0,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|cusum_max,6,0.7492,0.7691,0.7867,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7697,0.779
repgrid,ars_gsm8k_r1distill8b,500,3,0,epr|trace_length|stft_spectral_entropy|sw_var_peak|cusum_max,5,0.765,0.7723,0.7683,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7752,0.779
repgrid,ars_gsm8k_r1distill8b,500,4,0,epr|dominant_freq|rpdi|sw_var_peak|cusum_max,5,0.7632,0.7158,0.7775,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.796,0.779
repgrid,ars_gsm8k_r1distill8b,500,5,0,epr|spectral_entropy|stft_spectral_entropy|sw_var_peak|cusum_max,5,0.7799,0.3989,0.7411,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7758,0.779
repgrid,ars_gsm8k_r1distill8b,500,6,0,epr|spectral_entropy|rpdi|cusum_max,4,0.766,0.4998,0.765,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.4863,0.779
repgrid,ars_gsm8k_r1distill8b,500,7,0,epr|spectral_entropy|dominant_freq|stft_max_high_power|sw_var_peak|cusum_max,6,0.7217,0.8016,0.8131,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.8304,0.779
repgrid,ars_gsm8k_r1distill8b,500,8,0,epr|spectral_entropy|dominant_freq|sw_var_peak|cusum_max,5,0.8074,0.7216,0.7096,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.6725,0.779
repgrid,ars_gsm8k_r1distill8b,500,9,0,epr|trace_length|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,6,0.8289,0.6981,0.701,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7147,0.779
repgrid,epr_triviaqa_mistral24b,621,0,0,epr|high_band_power|sw_var_peak|cusum_max,4,0.7455,0.6794,0.6884,epr|hl_ratio|sw_var_peak|hurst_exponent,0.6942,0.7384
repgrid,epr_triviaqa_mistral24b,621,1,0,epr|hl_ratio|sw_var_peak|cusum_max,4,0.7112,0.7469,0.7098,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7153,0.7384
repgrid,epr_triviaqa_mistral24b,621,2,0,epr|sw_var_peak|cusum_max,3,0.7588,0.6946,0.6792,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7003,0.7384
repgrid,epr_triviaqa_mistral24b,621,3,0,epr|hl_ratio|sw_var_peak|cusum_max,4,0.7217,0.7295,0.7115,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7087,0.7384
repgrid,epr_triviaqa_mistral24b,621,4,0,epr|rpdi|sw_var_peak|cusum_max,4,0.702,0.7441,0.7445,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7654,0.7384
repgrid,epr_triviaqa_mistral24b,621,5,0,epr|sw_var_peak|hurst_exponent|cusum_max,4,0.7141,0.7239,0.7487,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7594,0.7384
repgrid,epr_triviaqa_mistral24b,621,6,0,epr|hl_ratio|sw_var_peak|cusum_max,4,0.7208,0.7303,0.7004,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7179,0.7384
