source,group,budget,reference,candidate,n_units,mean_delta,median_delta,ci95_low,ci95_high,wins,losses,catastrophic_losses_5pp
real,all,5,upcr,anchored_pcr2,24,-9.474764478242803e-05,-0.0005191987143030596,-0.0011906714542772887,0.0010197433605007805,9,15,0
real,QA,5,upcr,anchored_pcr2,9,-0.00042093843720654905,-0.0003077696871213176,-0.0027636526460564,0.0015537790900520356,4,5,0
real,math,5,upcr,anchored_pcr2,15,0.0001009668306720446,-0.0005976393246673872,-0.0008174578907907,0.001470618756497622,5,10,0
synthetic,independent,5,upcr,anchored_pcr2,40,-0.000491940440316796,-8.87803796134623e-05,-0.0009697369333170948,-8.764948091124046e-05,15,24,0
synthetic,grouped,5,upcr,anchored_pcr2,40,0.0003724871720284711,0.0010079863027280256,-0.0012541471877911849,0.001966270826482479,24,16,0
synthetic,sparse_pairs,5,upcr,anchored_pcr2,40,0.0007272491167370527,0.0008643828639147144,-0.0004968748723562158,0.0018922925052708278,24,16,0
synthetic,correlated_weak_block,5,upcr,anchored_pcr2,40,0.10308855616871264,0.10495837159237337,0.0938153242253436,0.1121659583007157,40,0,0
real,all,5,upcr,anchored_pcr6,24,-0.002044179209378489,-0.0014691960931632608,-0.005422138122078435,0.0005768683888996099,7,17,0
real,QA,5,upcr,anchored_pcr6,9,-0.005678844964667011,-0.002194825065195416,-0.013285314001115975,-0.0006269068427464971,2,7,0
real,math,5,upcr,anchored_pcr6,15,0.00013662024379462363,-0.0014545454545455971,-0.0016143347540714262,0.002478336156876495,5,10,0
synthetic,independent,5,upcr,anchored_pcr6,40,-0.0018418418224591838,-0.0014862611885561594,-0.0025518953042347197,-0.0011991320334347653,6,34,0
synthetic,grouped,5,upcr,anchored_pcr6,40,-0.0006787994600878395,0.001508673910359415,-0.003524943768444678,0.0018610089499216758,22,18,0
synthetic,sparse_pairs,5,upcr,anchored_pcr6,40,5.9549773803285745e-05,0.0005480564945804511,-0.0020111739610476323,0.0020939497283293932,22,18,0
synthetic,correlated_weak_block,5,upcr,anchored_pcr6,40,0.09806066164472042,0.09796246806635511,0.0903164129500393,0.10608462178686773,40,0,0
real,all,5,gold_ridge_all,anchored_pcr6,24,0.10070118099186086,0.09519605040799789,0.087061842369099,0.11470706310351404,24,0,0
real,QA,5,gold_ridge_all,anchored_pcr6,9,0.10792284448591595,0.09544625330787526,0.08837352634335806,0.1286550275048192,9,0,0
real,math,5,gold_ridge_all,anchored_pcr6,15,0.09636818289542776,0.09397513952308478,0.0786464505620344,0.11604930691210226,15,0,0
synthetic,independent,5,gold_ridge_all,anchored_pcr6,40,0.10332456866253774,0.0824169009379912,0.0823413061157532,0.12814660996318816,40,0,0
synthetic,grouped,5,gold_ridge_all,anchored_pcr6,40,0.13343076713539165,0.0982116666939114,0.09753206487805666,0.17365124067612858,40,0,0
synthetic,sparse_pairs,5,gold_ridge_all,anchored_pcr6,40,0.1166356465249064,0.11808585791515908,0.09680336761117317,0.13815559897687507,40,0,0
synthetic,correlated_weak_block,5,gold_ridge_all,anchored_pcr6,40,-0.31306058768674294,-0.3181158805237695,-0.33039757007255866,-0.29282639650694164,0,40,40
real,all,5,anchored_pcr6,pseudo_gold_pcr6,24,-0.032729290443348553,-0.0291963756361166,-0.040531959661353985,-0.02640563765984756,0,24,2
real,QA,5,anchored_pcr6,pseudo_gold_pcr6,9,-0.03852976197858133,-0.029058426240690882,-0.05639588064998556,-0.026155728884243345,0,9,1
