source,panel,budget,method,n_units,mean_auc,ci95_low,ci95_high
real,all,0,upcr,24,0.7748552042786553,0.7419525452367729,0.807097277217361
real,all,0,platt_upcr,24,0.7748552042786553,0.7435152039096801,0.8077483714268918
real,all,0,anchored_pcr2,24,0.7748552042786553,0.7427817801090083,0.8060957819794818
real,all,0,anchored_pcr6,24,0.7748552042786553,0.7423509525179031,0.8062442371617922
real,all,0,pseudo_gold_pcr6,24,0.7748552042786553,0.7423907200497597,0.8066491442760204
real,all,5,upcr,24,0.7748552042786553,0.7420680890427691,0.8066510111163044
real,all,5,platt_upcr,24,0.7748552042786553,0.7421518462054424,0.8070411295089303
real,all,5,gold_pcr2,24,0.6698620942715326,0.6327278642407315,0.7088914499574035
real,all,5,gold_pcr6,24,0.6173488704272594,0.5917431353221803,0.6447019611446001
real,all,5,gold_ridge_all,24,0.6721098440774158,0.6368401950950323,0.7084032024555343
real,all,5,anchored_pcr2,24,0.7747604566338727,0.7420426351574654,0.80636504699622
real,all,5,anchored_pcr6,24,0.7728110250692767,0.7404980482793526,0.8034973641617342
real,all,5,pseudo_gold_pcr6,24,0.7400817346259281,0.7093310615199319,0.7703741194448066
real,all,10,upcr,24,0.7748552042786553,0.7425561765718199,0.8069616341439684
real,all,10,platt_upcr,24,0.7748552042786553,0.7422844572922319,0.8060476502153828
real,all,10,gold_pcr2,24,0.7038893395085347,0.6676302558587792,0.7394626565358119
real,all,10,gold_pcr6,24,0.6496491623379763,0.620094462592201,0.680413788287702
real,all,10,gold_ridge_all,24,0.6916097397734872,0.6576012227915079,0.7257440117101464
real,all,10,anchored_pcr2,24,0.7741678814199675,0.7410868234968908,0.8062717735597653
real,all,10,anchored_pcr6,24,0.7716336833762277,0.7391297861727032,0.8034036317441882
real,all,10,pseudo_gold_pcr6,24,0.7328907109526132,0.7020503239660552,0.7631439544995742
real,all,20,upcr,24,0.7748552042786553,0.7423924858705833,0.8066306278115838
real,all,20,platt_upcr,24,0.7748552042786553,0.7418241237984408,0.8066205495895135
real,all,20,gold_pcr2,24,0.7320640052332253,0.6935112866691054,0.7686675520617344
real,all,20,gold_pcr6,24,0.6831847108494061,0.6496037726719001,0.7171835303160174
real,all,20,gold_ridge_all,24,0.6984170513798441,0.6643001991861036,0.7328632218750919
real,all,20,anchored_pcr2,24,0.7733614597931323,0.7416361681214685,0.8047798546508224
real,all,20,anchored_pcr6,24,0.7713025631994769,0.738024428346859,0.8030717908144597
real,all,20,pseudo_gold_pcr6,24,0.7315722136077708,0.699293520628786,0.7635981168274782
real,all,40,upcr,24,0.7748552042786553,0.7418934187473033,0.8064866868122714
real,all,40,platt_upcr,24,0.7748552042786553,0.7421676288545047,0.8062417111970024
real,all,40,gold_pcr2,24,0.7533777413201124,0.7179998141732713,0.7893996065444592
real,all,40,gold_pcr6,24,0.7126630684339476,0.6774445592962962,0.7471784853167587
real,all,40,gold_ridge_all,24,0.7151561685402831,0.6818346739330067,0.7482806412726584
real,all,40,anchored_pcr2,24,0.77384452926912,0.740028994157727,0.807600937030445
real,all,40,anchored_pcr6,24,0.7724051986679693,0.739732234501372,0.8053627127485934
real,all,40,pseudo_gold_pcr6,24,0.741354515669625,0.7089812087248348,0.772983174371701
real,all,80,upcr,24,0.7748552042786553,0.7425818050012966,0.8066658520549862
real,all,80,platt_upcr,24,0.7748552042786553,0.7430570607405,0.8074214839662994
real,all,80,gold_pcr2,24,0.7648482626225169,0.7286876931207085,0.7993638581419773
real,all,80,gold_pcr6,24,0.7415885898926223,0.7077350786721975,0.7744125570210194
real,all,80,gold_ridge_all,24,0.738213926342234,0.7035912901897398,0.7731497939820042
real,all,80,anchored_pcr2,24,0.7745914644962434,0.7409893980490464,0.8062836961070526
real,all,80,anchored_pcr6,24,0.773944394123498,0.7409104137298281,0.8073616171688337
real,all,80,pseudo_gold_pcr6,24,0.7562383445780823,0.720860762670426,0.790111284317375
real,QA,0,upcr,9,0.7624845746120903,0.6972914170993895,0.8274447516724827
real,QA,0,platt_upcr,9,0.7624845746120903,0.6972020035178923,0.8274771318900231
real,QA,0,anchored_pcr2,9,0.7624845746120903,0.6977082355198742,0.8259609598991822
real,QA,0,anchored_pcr6,9,0.7624845746120903,0.6973913317097307,0.8274760485457534
real,QA,0,pseudo_gold_pcr6,9,0.7624845746120903,0.6954560542817175,0.8260622866071005
real,QA,5,upcr,9,0.7624845746120903,0.699671542773027,0.8273186545396837
real,QA,5,platt_upcr,9,0.7624845746120903,0.6972323013162669,0.8274133450043861
real,QA,5,gold_pcr2,9,0.6653031434284903,0.5923883227917406,0.7425862297900283
real,QA,5,gold_pcr6,9,0.6012805209395192,0.5589576539449693,0.6415015588462879
real,QA,5,gold_ridge_all,9,0.6488828851615074,0.5899564591915784,0.7036795763451436
real,QA,5,anchored_pcr2,9,0.7620636361748837,0.6966993720245909,0.8274239618345831
real,QA,5,anchored_pcr6,9,0.7568057296474231,0.6941898468958871,0.8147149496188795
real,QA,5,pseudo_gold_pcr6,9,0.7182759676688418,0.6622596795468282,0.7677259504123227
real,QA,10,upcr,9,0.7624845746120903,0.6968477074690433,0.8261574546353817
real,QA,10,platt_upcr,9,0.7624845746120903,0.6971536601139312,0.8257654052170551
real,QA,10,gold_pcr2,9,0.7031566728784111,0.6343153530588611,0.7727515424528761
real,QA,10,gold_pcr6,9,0.6343895853764017,0.5858381546408143,0.6831066808277757
real,QA,10,gold_ridge_all,9,0.6696003128701078,0.6099727610045811,0.7266310076158583
real,QA,10,anchored_pcr2,9,0.76177580751228,0.6972286479760018,0.8272567948064204
real,QA,10,anchored_pcr6,9,0.7565441977266572,0.6933776045989336,0.8154680855227591
real,QA,10,pseudo_gold_pcr6,9,0.7123442221010626,0.6569105024337943,0.7627474569896022
real,QA,20,upcr,9,0.7624845746120903,0.6970523864921816,0.8275712165740347
real,QA,20,platt_upcr,9,0.7624845746120903,0.6972855871730599,0.8242920211862387
