cell,domain,family,fraction,n,m,n_train,n_train_over_m,underdetermined_flag,reps_ok,reps_skipped,heldout_auroc_head_pcr,heldout_auroc_sd_head_pcr,heldout_auroc_head_ridge,heldout_auroc_sd_head_ridge,heldout_auroc_head_pcr_plus_tail,heldout_auroc_sd_head_pcr_plus_tail,heldout_auroc_head_ridge_plus_tail,heldout_auroc_sd_head_ridge_plus_tail,heldout_ridge_minus_pcr_pp,heldout_tail_effect_pp,heldout_head_effect_pp,tail_norm_cv,tail_cosine_median,top2_subspace_angle_deg_mean,residual_subspace_angle_deg_mean
epr_triviaqa_mistral24b,QA,triviaqa,0.25,621,28,155,5.535714285714286,0,50,0,0.7166541524097292,0.04181857859673966,0.7174294003529694,0.04081074113799825,0.6751053330737858,0.0751089908508508,0.6748174054350037,0.07515731863755462,-4.183674697472551,-4.154881933594334,0.07752479432402426,0.7286347440609353,0.4991946960631311,14.871088359765537,46.632759111089904
epr_triviaqa_mistral24b,QA,triviaqa,0.5,621,28,310,11.071428571428571,0,50,0,0.6902357554933829,0.04728155395124483,0.692062071317586,0.04607666037020448,0.6361942760120978,0.07736892292829868,0.6362165823281795,0.07730643848276389,-5.401917316520343,-5.404147948128513,0.18263158242031174,0.559402828848452,0.6458401171633227,10.088293131893955,41.2033643749994
epr_triviaqa_mistral24b,QA,triviaqa,0.75,621,28,466,16.642857142857142,0,50,0,0.6698441149568901,0.06119729238028836,0.671863239078234,0.060519922752641765,0.6210281536327696,0.08211330180465437,0.6210838177121012,0.08217721987775486,-4.876029724478892,-4.881596132412048,0.20191241213438627,0.40972054224750126,0.8216920671112687,6.879839283727045,34.56413665457749
losnet_hotpotqa_mistral7b,QA,hotpotqa,0.25,500,29,125,4.310344827586207,0,50,0,0.5675747447794659,0.01605903243103616,0.5676361170518872,0.016048882329354506,0.5628291615704341,0.0172093385466269,0.5628020982919069,0.01724979746073832,-0.477264648755904,-0.4745583209031845,0.006137227242131171,0.18020183120566285,0.6774651689233923,20.276982744204794,41.88937012463788
losnet_hotpotqa_mistral7b,QA,hotpotqa,0.5,500,29,250,8.620689655172415,0,50,0,0.5735179582967157,0.030068622579775318,0.5735246828945135,0.030101060755680045,0.5726064974087447,0.03258624732446667,0.5726134376337925,0.032620181546522777,-0.09045206629232361,-0.09114608879710051,0.000672459779782475,0.14083749871836515,0.8300838129268389,11.185738215651984,31.39898241405197
losnet_hotpotqa_mistral7b,QA,hotpotqa,0.75,500,29,375,12.931034482758621,0,50,0,0.5611492716380779,0.051690209379275244,0.5611908369159495,0.05169480332185945,0.5604164333674118,0.052197978071177105,0.5604945201586982,0.052127868877581834,-0.06547514793797671,-0.07328382706661696,0.004156527787158026,0.10136742333564261,0.8555063428685451,7.702101503709808,24.027248431030905
sciq_llama8b,QA,sciq,0.25,198,30,50,1.6666666666666667,1,50,0,0.7451461887443478,0.022502355184993484,0.7451258980150809,0.022517159038034144,0.7063026263016607,0.03234647301776019,0.7057732370623531,0.03247272820672384,-3.937295168199473,-3.884356244268705,-0.0020290729266903007,0.3516181750335578,0.6298127606611494,35.68950652702483,54.437052116447774
sciq_llama8b,QA,sciq,0.5,198,30,99,3.3,0,50,0,0.7401049741207675,0.035805054243324176,0.7400408687760719,0.035834423604139964,0.7084585360113127,0.04196996403345094,0.7080091863548904,0.04181962167500482,-3.209578776587707,-3.1646438109454778,-0.0064105344695586375,0.36514631030443645,0.6452664826384146,26.037831695885544,46.86661817698749
sciq_llama8b,QA,sciq,0.75,198,30,148,4.933333333333334,0,50,0,0.7488309129325053,0.05417063354038929,0.748797579599172,0.054222695526323916,0.7121779383422151,0.05784784878635038,0.7118235668885297,0.057598678530689444,-3.7007346043975597,-3.6652974590290155,-0.003333333333321864,0.3939699557817962,0.9654306276835123,13.959790993808806,29.02198172046798
se_nq_open_llama8b,QA,nq_open,0.25,8460,27,2115,78.33333333333333,0,50,0,0.7085382658990877,0.04783235951998584,0.7092207742731462,0.04696057137269653,0.7022751662390297,0.060585581381592604,0.702583385814209,0.060221135854674666,-0.5954880084878766,-0.6263099660058002,0.0682508374058477,1.0643618274044102,0.9351113672279271,3.4729561886145968,35.86590232957019
se_nq_open_llama8b,QA,nq_open,0.5,8460,27,4230,156.66666666666666,0,50,0,0.7060250397722558,0.050326860443187696,0.7067775647237563,0.04942637041503197,0.7025808903097199,0.05745378899261743,0.7030120454816686,0.05692238303737228,-0.3012994290587212,-0.3444149462535906,0.07525249515004662,0.9086332496791395,0.8121292599241614,2.08043116257399,32.39798227107415
se_nq_open_llama8b,QA,nq_open,0.75,8460,27,6345,235.0,0,50,0,0.6829955388289634,0.054313512202196025,0.6840738491347819,0.05339130854921686,0.6739255944278756,0.06546955572242162,0.6743383141654428,0.06516313428251122,-0.8657224663520591,-0.9069944401087771,0.10783103058185084,0.7891472135512123,0.6622137090817061,1.1472690967881602,36.36990296496588
se_squad_v2_llama8b,QA,squad_v2,0.25,2933,27,733,27.14814814814815,0,50,0,0.8112437540530297,0.00539667792619954,0.811204441592783,0.005402183489283757,0.8077002308831059,0.006148492642033763,0.8075408412284689,0.006157249466792875,-0.3702912824560811,-0.354352316992379,-0.003931246024668766,0.08444838431080177,0.9313794482106088,5.902077002043267,25.433635015833506
se_squad_v2_llama8b,QA,squad_v2,0.5,2933,27,1466,54.2962962962963,0,50,0,0.8120972423279746,0.009377772729644691,0.8120419800588377,0.009399388263647517,0.8091758343083668,0.009803851238517377,0.8090008676712439,0.009794703294112144,-0.3096374656730738,-0.29214080196078296,-0.005526226913699084,0.06937952712273665,0.9429837143197216,3.3531906008393686,20.944383298931594
se_squad_v2_llama8b,QA,squad_v2,0.75,2933,27,2200,81.48148148148148,0,50,0,0.8166679237802328,0.01673425384032221,0.8166257886074375,0.016753026938639694,0.8130681784024696,0.016587871027251767,0.8129198411839608,0.016598418276999653,-0.37480825962720177,-0.3599745377763197,-0.004213517279527679,0.04143339890275785,0.9880248130472543,1.9411307888293061,14.95031600088491
seiclr_triviaqa_opt30b,QA,triviaqa,0.25,5000,19,1250,65.78947368421052,0,50,0,0.8228867793225534,0.004202199845499805,0.8227263855224497,0.00422596658920104,0.7562870973449854,0.014296251701576144,0.7553086178775166,0.01436255596257184,-6.757816144503681,-6.659968197756793,-0.016039380010368642,0.0823886478879177,0.9846462545448309,8.892561941199531,25.445196829230817
seiclr_triviaqa_opt30b,QA,triviaqa,0.5,5000,19,2500,131.57894736842104,0,50,0,0.8230304191498903,0.005310408486187516,0.8228960678437051,0.005310531897824575,0.7550931637485527,0.010282603850725216,0.7540982364474119,0.010323186011838431,-6.893218270247836,-6.793725540133755,-0.013435130618522084,0.030648859112208774,0.9962705475082546,3.4687060978015416,11.666690391964078
seiclr_triviaqa_opt30b,QA,triviaqa,0.75,5000,19,3750,197.3684210526316,0,50,0,0.8226682520185962,0.010004183984578712,0.822511161164155,0.010002781270864116,0.754843627094539,0.01364659424031751,0.7538780374509925,0.01369632513643884,-6.87902145676037,-6.782462492405717,-0.015709085444115534,0.02080093292764219,0.9985323842625857,2.247249683788711,8.123416943388005
semenergy_triviaqa_qwen3_8b,QA,triviaqa,0.25,4392,27,1098,40.666666666666664,0,50,0,0.7744612833634882,0.03622463573820237,0.7746909099937328,0.03617049746095144,0.7205430467122593,0.08848759807354545,0.7199925599442399,0.08840487643443348,-5.446872341924824,-5.391823665122885,0.022962663024461705,0.5192712470147827,0.7203059767771584,11.549990139326988,42.447587164843604
