arm,lambda,mean_delta_vs_iu_pp,worst_delta_vs_iu_pp,se_delta_vs_iu_pp
specrage_agreement_alpha,100.0,1.8083692562107585,1.3526419058533579,0.2334947206354908
specrage_agreement_alpha,30.0,1.772465421369222,1.3300689343821226,0.22622868248581987
specrage_agreement_alpha,10.0,1.6989233016314422,1.2692955496518499,0.21857777366084552
specrage_agreement_alpha,3.0,1.478864868885606,1.1147575141949417,0.18242925301755675
specrage_agreement_alpha,1.0,1.0648611162593635,0.77442655970551,0.14580012239639115
specrage_agreement_Y,100.0,0.7544297688408438,0.2934078716644417,0.29760161053139633
specrage_agreement_Y,30.0,0.7416943653883531,0.2881994479070671,0.2905784516852187
specrage_agreement_Y,10.0,0.6999992901567905,0.27604645913991144,0.2782412302832096
specrage_agreement_Y,3.0,0.5998371498263914,0.23611521033350957,0.23585910153557768
specrage_agreement_alpha,0.3,0.5141931882573983,0.3646403083815253,0.07512782711702039
specrage_agreement_Y,1.0,0.4093654911472955,0.15451657146824394,0.15102197669371914
specrage_agreement_Y,0.3,0.18933636847040525,0.06944565009808779,0.0729314741660423
