method,depth_bin,n,sla,hit3,hit5,mean_rank,median_margin,early,late,tie_at_top
ct7,11+,822,0.29927007299270075,0.583941605839416,0.754257907542579,4.090024330900243,-0.33654825987454584,0.28102189781021897,0.4197080291970803,0.0
ct7,2-5,1312,0.4763719512195122,0.9138719512195121,1.0,1.8696646341463414,-0.0367597528774154,0.24466463414634146,0.27896341463414637,0.004573170731707317
ct7,6-10,2308,0.3587521663778163,0.725736568457539,0.9137781629116117,2.6503466204506068,-0.2007465402642618,0.28812824956672445,0.3531195840554593,0.0
evidence30__all__plain__equal,11+,822,0.19099756690997566,0.4854014598540146,0.6593673965936739,4.940389294403893,-2.8673276324626116,0.24209245742092458,0.5669099756690997,0.0
evidence30__all__plain__equal,2-5,1312,0.44664634146341464,0.9024390243902439,1.0,1.9435975609756098,-0.43667360379385434,0.20198170731707318,0.3513719512195122,0.0
evidence30__all__plain__equal,6-10,2308,0.3050259965337955,0.67157712305026,0.8812824956672444,2.9380415944540728,-1.501211469239044,0.21187175043327555,0.4831022530329289,0.002166377816291161
evidence30__all__position__equal,11+,822,0.18004866180048662,0.48661800486618007,0.6605839416058394,4.928223844282239,-4.074071708291869,0.15328467153284672,0.6666666666666666,0.0
evidence30__all__position__equal,2-5,1312,0.39939024390243905,0.9024390243902439,1.0,2.0160060975609757,-1.0571704632135184,0.15015243902439024,0.4504573170731707,0.0
evidence30__all__position__equal,6-10,2308,0.28466204506065856,0.6620450606585788,0.8782495667244368,3.0086655112651646,-2.2753982232636467,0.15944540727902945,0.5558925476603119,0.0
evidence30__all__seed__equal,11+,822,0.18369829683698297,0.4245742092457421,0.6301703163017032,5.299270072992701,-0.12906761066952382,0.35036496350364965,0.4659367396593674,0.0
evidence30__all__seed__equal,2-5,1312,0.4169207317073171,0.8658536585365854,1.0,2.0746951219512195,-0.04141711895997355,0.2820121951219512,0.3010670731707317,0.0
evidence30__all__seed__equal,6-10,2308,0.29982668977469673,0.6412478336221837,0.8548526863084922,3.087521663778163,-0.0862799490092718,0.2889948006932409,0.41117850953206236,0.0
evidence__all__ceiling__equal,11+,822,0.13017031630170317,0.36496350364963503,0.5437956204379562,5.9987834549878345,-0.832161350253432,0.2725060827250608,0.597323600973236,0.0012165450121654502
