method,pb_sla_macro8,pb_f1_ct7_gate,pb_sla_q4,pb_sla_q8,within_auc,eligible,pb_covered,prm_covered,err_pb_sla_macro8,err_pb_f1_ct7_gate,err_pb_sla_q4,err_pb_sla_q8,err_within_auc,err_eligible,prmscore_q80,prmscore_inner,err_prmscore_q80,err_prmscore_inner
evidence30__all__seed__equal,0.3326820464063114,0.362163444559355,0.332407396333924,0.3329566964786987,0.6399779407451898,6030,6800,6969,0.0,0.0,0.0,0.0,0.0,0,0.6043592702542077,0.6041841954739753,0.0,0.0
evidence30__all__plain__equal,0.34949881967740287,0.36963965563783363,0.3545979373200974,0.34439970203470827,0.7117792461140758,6030,6800,6969,5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,0.5588678342362854,0.5590454414898077,0.0,0.0
evidence30__all__position__equal,0.32652726590600695,0.34467977986881204,0.33345638741777667,0.3195981443942373,0.717436906030823,6030,6800,6969,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0,0.5560747202591301,0.5560264705999096,0.0,0.0
evidence30__all__plain2__equal,0.3413279038936804,0.36521113137208927,0.35096846471246257,0.3316873430748981,0.714940217290186,6030,6800,6969,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0,0.5636534022807349,0.5635898314324974,0.0,0.0
evidence30__all__position2__equal,0.3184904500064337,0.3384475315103885,0.32677705600812884,0.31020384400473855,0.7184893186947081,6030,6800,6969,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0,0.5605034324234661,0.5601485729057156,0.0,0.0
evidence30__all__randomseed__equal,0.17037188190085645,0.21696785231045954,0.16328391126950623,0.17745985253220667,0.45043795503979545,6030,6800,6969,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,0,0.48850728685991207,0.4917840857896695,0.0,0.0
evidence30__all__randomseed_position__equal,0.1356892335399867,0.17194156989492532,0.13632969613697102,0.13504877094300236,0.5552649068279099,6030,6800,6969,0.0,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,0.0,0,0.49692580319189944,0.499866767453473,0.0,0.0
evidence30__all__prioronly__equal,0.05802746157445888,0.07779687840713659,0.05802746157445888,0.05802746157445888,0.3399257009990568,6030,6800,6969,7.632783294297951e-17,8.326672684688674e-17,7.632783294297951e-17,7.632783294297951e-17,0.0,0,0.41066760042811284,0.4261832412374341,0.0,0.0
evidence30__all__ceiling__equal,0.3270633886055184,0.35590411198417454,0.3359506618731772,0.3181761153378597,0.7229515592407543,6030,6800,6969,0.0,5.551115123125783e-17,0.0,0.0,0.0,0,0.5903256094966194,0.5915172170751541,0.0,0.0
evidence30__all__ceiling_position__equal,0.2955159756037872,0.32229662782419666,0.3022074324777739,0.2888245187298006,0.7189055805657326,6030,6800,6969,0.0,5.551115123125783e-17,0.0,0.0,0.0,0,0.5685502406632915,0.5689959646742041,0.0,0.0
evidence30__all__plain__equal_std,0.34949881967740287,0.36963965563783363,0.3545979373200974,0.34439970203470827,0.7117792461140758,6030,6800,6969,5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,0.5588678342362854,0.5590454414898077,0.0,0.0
evidence30__all__plain__spectral,0.3396628118763553,0.36597412844533184,0.351139439296382,0.3281861844563285,0.7088597088787278,6030,6800,6969,0.0,5.551115123125783e-17,0.0,0.0,0.0,0,0.5557651073043093,0.5557475516634163,0.0,0.0
evidence30__all__plain__continuous_lsml,0.34030013237242074,0.36382610516681485,0.3491323981112181,0.3314678666336234,0.7124870173714349,6030,6800,6969,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0,0.5655827681517841,0.5653801209832908,0.0,0.0
evidence30__all__position__equal_std,0.32652726590600695,0.34467977986881204,0.33345638741777667,0.3195981443942373,0.717436906030823,6030,6800,6969,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0,0.5560747202591301,0.5560264705999096,0.0,0.0
evidence30__all__position__spectral,0.3196679765490198,0.33910347829312315,0.32174473915413204,0.3175912139439075,0.7148916678009715,6030,6800,6969,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0,0.5532964084515218,0.5536605040621664,0.0,0.0
evidence30__all__position__continuous_lsml,0.32361448298681084,0.34399005629168794,0.3269112112596951,0.32031775471392654,0.7132205391315806,6030,6800,6969,5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,0.5572874638998248,0.5569322047644336,0.0,0.0
evidence__all__seed__equal,0.29643973943207647,0.3265733052793953,0.3095025326163917,0.2833769462477612,0.6761134421398669,6030,6800,6969,5.551115123125783e-17,0.0,0.0,0.0,0.0,0,0.6077693513751692,0.6122379643244045,0.0,0.0
evidence__all__plain__equal,0.2904039019854977,0.32509852681999113,0.3113567874141445,0.26945101655685094,0.7589121929277194,6030,6800,6969,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,0.5831784134895135,0.5831366437421195,0.0,0.0
evidence__all__position__equal,0.29518946010345737,0.33001353871783723,0.3044275551675407,0.285951365039374,0.7674245441705655,6030,6800,6969,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0,0.5783173143757119,0.578294527309555,0.0,0.0
evidence__all__plain2__equal,0.2797232227114487,0.31402286116980693,0.29966354881667645,0.25978289660622095,0.761910138303698,6030,6800,6969,0.0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0,0.5910351408184777,0.5912565215525656,0.0,0.0
evidence__all__position2__equal,0.2806106655141385,0.31481750967100053,0.2928926120154825,0.26832871901279454,0.7695553964126172,6030,6800,6969,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,0.5884436447837503,0.5882016167167141,0.0,0.0
