task,fold,conf_quintile,n,teacher_top1,P_HARD_top1,P_SOFT_top1,P_AGREE_top1,P_RANDOM_top1,P_POSITION_LENGTH_top1,P_SOFT_COVERAGE_MATCH_top1
pb_q4,0,1,104,0.23076923076923078,0.2403846153846154,0.2403846153846154,0.2980769230769231,0.0673076923076923,0.2692307692307692,0.2692307692307692
pb_q4,0,2,111,0.2882882882882883,0.27927927927927926,0.26126126126126126,0.2882882882882883,0.04504504504504504,0.16216216216216217,0.27927927927927926
pb_q4,0,3,87,0.26436781609195403,0.3218390804597701,0.3563218390804598,0.3333333333333333,0.06896551724137931,0.22988505747126436,0.3333333333333333
pb_q4,0,4,78,0.2564102564102564,0.2564102564102564,0.23076923076923078,0.24358974358974358,0.038461538461538464,0.24358974358974358,0.23076923076923078
pb_q4,0,5,75,0.4266666666666667,0.4,0.38666666666666666,0.41333333333333333,0.02666666666666667,0.3466666666666667,0.38666666666666666
pb_q8,0,1,103,0.2524271844660194,0.2621359223300971,0.27184466019417475,0.2912621359223301,0.038834951456310676,0.2815533980582524,0.30097087378640774
pb_q8,0,2,97,0.30927835051546393,0.32989690721649484,0.36082474226804123,0.30927835051546393,0.030927835051546393,0.1958762886597938,0.32989690721649484
pb_q8,0,3,98,0.2755102040816326,0.29591836734693877,0.2755102040816326,0.2857142857142857,0.08163265306122448,0.19387755102040816,0.2857142857142857
pb_q8,0,4,84,0.23809523809523808,0.23809523809523808,0.20238095238095238,0.23809523809523808,0.05952380952380952,0.2619047619047619,0.23809523809523808
pb_q8,0,5,73,0.4657534246575342,0.410958904109589,0.4246575342465753,0.4246575342465753,0.0273972602739726,0.3013698630136986,0.4383561643835616
pb_q4,1,1,111,0.2702702702702703,0.26126126126126126,0.2972972972972973,0.3333333333333333,0.0990990990990991,0.1981981981981982,0.32432432432432434
pb_q4,1,2,96,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.22916666666666666,0.03125,0.3125,0.20833333333333334
pb_q4,1,3,89,0.21348314606741572,0.2696629213483146,0.2696629213483146,0.2696629213483146,0.056179775280898875,0.29213483146067415,0.25842696629213485
pb_q4,1,4,78,0.3076923076923077,0.3076923076923077,0.32051282051282054,0.32051282051282054,0.038461538461538464,0.3333333333333333,0.32051282051282054
pb_q4,1,5,73,0.4520547945205479,0.4794520547945205,0.4520547945205479,0.4657534246575342,0.0,0.410958904109589,0.4520547945205479
pb_q8,1,1,98,0.20408163265306123,0.24489795918367346,0.24489795918367346,0.23469387755102042,0.12244897959183673,0.20408163265306123,0.22448979591836735
pb_q8,1,2,94,0.19148936170212766,0.23404255319148937,0.20212765957446807,0.24468085106382978,0.0425531914893617,0.24468085106382978,0.22340425531914893
pb_q8,1,3,108,0.2777777777777778,0.28703703703703703,0.28703703703703703,0.28703703703703703,0.05555555555555555,0.32407407407407407,0.28703703703703703
pb_q8,1,4,85,0.36470588235294116,0.3764705882352941,0.35294117647058826,0.4,0.011764705882352941,0.3058823529411765,0.35294117647058826
pb_q8,1,5,62,0.43548387096774194,0.45161290322580644,0.41935483870967744,0.4032258064516129,0.016129032258064516,0.41935483870967744,0.43548387096774194
pb_q4,2,1,108,0.2037037037037037,0.25925925925925924,0.2777777777777778,0.28703703703703703,0.05555555555555555,0.25,0.25
pb_q4,2,2,68,0.27941176470588236,0.22058823529411764,0.23529411764705882,0.19117647058823528,0.029411764705882353,0.17647058823529413,0.20588235294117646
pb_q4,2,3,103,0.2621359223300971,0.2621359223300971,0.2815533980582524,0.3106796116504854,0.04854368932038835,0.1941747572815534,0.2912621359223301
pb_q4,2,4,82,0.35365853658536583,0.35365853658536583,0.36585365853658536,0.35365853658536583,0.06097560975609756,0.2804878048780488,0.36585365853658536
pb_q4,2,5,83,0.4457831325301205,0.4819277108433735,0.4578313253012048,0.4578313253012048,0.024096385542168676,0.42168674698795183,0.4578313253012048
pb_q8,2,1,100,0.25,0.32,0.32,0.26,0.08,0.2,0.31
pb_q8,2,2,91,0.27472527472527475,0.32967032967032966,0.32967032967032966,0.3626373626373626,0.04395604395604396,0.2857142857142857,0.31868131868131866
pb_q8,2,3,79,0.21518987341772153,0.24050632911392406,0.24050632911392406,0.24050632911392406,0.0379746835443038,0.21518987341772153,0.22784810126582278
pb_q8,2,4,98,0.30612244897959184,0.29591836734693877,0.29591836734693877,0.3163265306122449,0.030612244897959183,0.21428571428571427,0.29591836734693877
pb_q8,2,5,76,0.35526315789473684,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.07894736842105263,0.3815789473684211,0.3684210526315789
pb_q4,3,1,93,0.1827956989247312,0.21505376344086022,0.22580645161290322,0.23655913978494625,0.15053763440860216,0.27956989247311825,0.23655913978494625
pb_q4,3,2,90,0.2777777777777778,0.26666666666666666,0.2777777777777778,0.28888888888888886,0.08888888888888889,0.18888888888888888,0.3
pb_q4,3,3,79,0.25316455696202533,0.27848101265822783,0.25316455696202533,0.25316455696202533,0.08860759493670886,0.25316455696202533,0.26582278481012656
pb_q4,3,4,91,0.3076923076923077,0.32967032967032966,0.31868131868131866,0.32967032967032966,0.02197802197802198,0.2857142857142857,0.32967032967032966
pb_q4,3,5,90,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5,0.022222222222222223,0.3888888888888889,0.5
pb_q8,3,1,105,0.29523809523809524,0.24761904761904763,0.26666666666666666,0.2761904761904762,0.10476190476190476,0.22857142857142856,0.2571428571428571
pb_q8,3,2,92,0.22826086956521738,0.22826086956521738,0.20652173913043478,0.20652173913043478,0.03260869565217391,0.25,0.22826086956521738
pb_q8,3,3,82,0.2926829268292683,0.34146341463414637,0.35365853658536583,0.32926829268292684,0.024390243902439025,0.2804878048780488,0.32926829268292684
pb_q8,3,4,86,0.32558139534883723,0.36046511627906974,0.36046511627906974,0.3372093023255814,0.03488372093023256,0.2441860465116279,0.36046511627906974
pb_q8,3,5,78,0.47435897435897434,0.46153846153846156,0.44871794871794873,0.44871794871794873,0.02564102564102564,0.3717948717948718,0.46153846153846156
pb_q4,4,1,87,0.27586206896551724,0.2988505747126437,0.28735632183908044,0.2988505747126437,0.04597701149425287,0.20689655172413793,0.28735632183908044
pb_q4,4,2,118,0.2796610169491525,0.3135593220338983,0.2627118644067797,0.2966101694915254,0.09322033898305085,0.2711864406779661,0.2796610169491525
pb_q4,4,3,85,0.2823529411764706,0.27058823529411763,0.24705882352941178,0.25882352941176473,0.011764705882352941,0.17647058823529413,0.27058823529411763
pb_q4,4,4,81,0.43209876543209874,0.38271604938271603,0.35802469135802467,0.345679012345679,0.024691358024691357,0.3950617283950617,0.3950617283950617
pb_q4,4,5,61,0.4426229508196721,0.39344262295081966,0.39344262295081966,0.4262295081967213,0.04918032786885246,0.32786885245901637,0.4098360655737705
pb_q8,4,1,94,0.2553191489361702,0.2978723404255319,0.3191489361702128,0.35106382978723405,0.09574468085106383,0.1702127659574468,0.3404255319148936
