task,fold,arm,B_answers,trainable_answers,trainable_fraction,selected_steps,total_steps
pb_q4,0,P_HARD,687,687,1.0,,5161
pb_q4,0,P_SOFT,687,687,1.0,,5161
pb_q4,0,P_AGREE,687,25,0.036390101892285295,,5161
pb_q4,0,P_RANDOM,687,687,1.0,,5161
pb_q4,0,P_POSITION_LENGTH,687,687,1.0,,5161
pb_q4,0,P_SOFT_COVERAGE_MATCH,687,25,0.036390101892285295,,5161
pb_q4,1,P_HARD,672,672,1.0,,5057
pb_q4,1,P_SOFT,672,672,1.0,,5057
pb_q4,1,P_AGREE,672,34,0.050595238095238096,,5057
pb_q4,1,P_RANDOM,672,672,1.0,,5057
pb_q4,1,P_POSITION_LENGTH,672,672,1.0,,5057
pb_q4,1,P_SOFT_COVERAGE_MATCH,672,34,0.050595238095238096,,5057
pb_q4,2,P_HARD,671,671,1.0,,5007
pb_q4,2,P_SOFT,671,671,1.0,,5007
pb_q4,2,P_AGREE,671,40,0.05961251862891207,,5007
pb_q4,2,P_RANDOM,671,671,1.0,,5007
pb_q4,2,P_POSITION_LENGTH,671,671,1.0,,5007
pb_q4,2,P_SOFT_COVERAGE_MATCH,671,40,0.05961251862891207,,5007
pb_q4,3,P_HARD,689,689,1.0,,5289
pb_q4,3,P_SOFT,689,689,1.0,,5289
pb_q4,3,P_AGREE,689,27,0.03918722786647315,,5289
pb_q4,3,P_RANDOM,689,689,1.0,,5289
pb_q4,3,P_POSITION_LENGTH,689,689,1.0,,5289
pb_q4,3,P_SOFT_COVERAGE_MATCH,689,27,0.03918722786647315,,5289
pb_q4,4,P_HARD,681,681,1.0,,5183
pb_q4,4,P_SOFT,681,681,1.0,,5183
pb_q4,4,P_AGREE,681,32,0.04698972099853157,,5183
pb_q4,4,P_RANDOM,681,681,1.0,,5183
pb_q4,4,P_POSITION_LENGTH,681,681,1.0,,5183
pb_q4,4,P_SOFT_COVERAGE_MATCH,681,32,0.04698972099853157,,5183
pb_q8,0,P_HARD,687,687,1.0,,5161
pb_q8,0,P_SOFT,687,687,1.0,,5161
pb_q8,0,P_AGREE,687,27,0.039301310043668124,,5161
pb_q8,0,P_RANDOM,687,687,1.0,,5161
pb_q8,0,P_POSITION_LENGTH,687,687,1.0,,5161
pb_q8,0,P_SOFT_COVERAGE_MATCH,687,27,0.039301310043668124,,5161
pb_q8,1,P_HARD,672,672,1.0,,5057
pb_q8,1,P_SOFT,672,672,1.0,,5057
pb_q8,1,P_AGREE,672,37,0.05505952380952381,,5057
pb_q8,1,P_RANDOM,672,672,1.0,,5057
pb_q8,1,P_POSITION_LENGTH,672,672,1.0,,5057
pb_q8,1,P_SOFT_COVERAGE_MATCH,672,37,0.05505952380952381,,5057
pb_q8,2,P_HARD,671,671,1.0,,5007
pb_q8,2,P_SOFT,671,671,1.0,,5007
pb_q8,2,P_AGREE,671,34,0.05067064083457526,,5007
pb_q8,2,P_RANDOM,671,671,1.0,,5007
pb_q8,2,P_POSITION_LENGTH,671,671,1.0,,5007
pb_q8,2,P_SOFT_COVERAGE_MATCH,671,34,0.05067064083457526,,5007
pb_q8,3,P_HARD,689,689,1.0,,5289
pb_q8,3,P_SOFT,689,689,1.0,,5289
pb_q8,3,P_AGREE,689,30,0.04354136429608128,,5289
pb_q8,3,P_RANDOM,689,689,1.0,,5289
pb_q8,3,P_POSITION_LENGTH,689,689,1.0,,5289
pb_q8,3,P_SOFT_COVERAGE_MATCH,689,30,0.04354136429608128,,5289
pb_q8,4,P_HARD,681,681,1.0,,5183
