benchmark,arm,agreement_with_base,both_correct,arm_only,base_only,both_wrong,net,moved_earlier,moved_later,mean_delta_auc_vs_base,answers_improved,answers_worsened,pairs_corrected,pairs_destroyed
pb,R_TEMP,0.8820351193156236,1182.0,79.0,155.0,3026.0,-76.0,449.0,75.0,,,,,
prm,R_TEMP,,,,,,,,,-0.00924151066629557,860.0,1626.0,2163.0,3393.0
pb,R_ZERO,0.9031967582170194,1249.0,86.0,88.0,3019.0,-2.0,71.0,359.0,,,,,
prm,R_ZERO,,,,,,,,,0.0003078430157696331,1073.0,1123.0,2250.0,2077.0
pb,R_NORESET,0.8755065285907249,1166.0,58.0,171.0,3047.0,-113.0,516.0,37.0,,,,,
prm,R_NORESET,,,,,,,,,-0.012343153923184703,704.0,1703.0,1682.0,2943.0
pb,R_ONLY,0.37393066186402524,488.0,325.0,849.0,2780.0,-524.0,2332.0,449.0,,,,,
prm,R_ONLY,,,,,,,,,-0.11331799479552913,1168.0,3809.0,12101.0,25125.0
pb,R_ABS,0.8791085096803242,1180.0,80.0,157.0,3025.0,-77.0,468.0,69.0,,,,,
prm,R_ABS,,,,,,,,,-0.009273747504298248,921.0,1659.0,2408.0,3492.0
