endpoint,a,b,contrast,delta,ci95,p_bootstrap,draws,p_holm
pb_sla,evidence__all__seed__equal,ct7,new_minus_ct7,-0.10242227466623965,"[-0.12215928252707835, -0.08370912491754383]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__seed__equal,mindgap,new_minus_mindgap,0.07393546174543345,"[0.05272021684095613, 0.09421208539626481]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain__equal,ct7,new_minus_ct7,-0.10845811211281842,"[-0.12846006031741702, -0.08835452669070924]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain__equal,mindgap,new_minus_mindgap,0.06789962429885468,"[0.046670226921626284, 0.089173658289493]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain__equal_std,evidence__all__plain__equal,learned_minus_equal,0.0,"[0.0, 0.0]",1.0,10000,1.0
pb_sla,evidence__all__plain__equal_std,ct7,new_minus_ct7,-0.10845811211281842,"[-0.12846006031741702, -0.08835452669070924]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain__equal_std,mindgap,new_minus_mindgap,0.06789962429885468,"[0.046670226921626284, 0.089173658289493]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain__spectral,evidence__all__plain__equal,learned_minus_equal,-0.01918687245185302,"[-0.03189778655985345, -0.00694137801803036]",0.0027997200279972004,10000,0.17918208179182082
pb_sla,evidence__all__plain__spectral,ct7,new_minus_ct7,-0.12764498456467144,"[-0.14802122523193162, -0.10771232248593092]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain__spectral,mindgap,new_minus_mindgap,0.04871275184700166,"[0.028196939055160034, 0.06898249660352228]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain__continuous_lsml,evidence__all__plain__equal,learned_minus_equal,-0.03675136884865232,"[-0.050081619548326246, -0.02360657261535371]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain__continuous_lsml,ct7,new_minus_ct7,-0.14520948096147074,"[-0.16681916184849732, -0.1237880846878029]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain__continuous_lsml,mindgap,new_minus_mindgap,0.03114825545020236,"[0.010902099191812375, 0.05119917734247668]",0.0021997800219978004,10000,0.14298570142985703
pb_sla,evidence__all__position__equal,ct7,new_minus_ct7,-0.10367255399485875,"[-0.12480462756442007, -0.08262470206935489]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position__equal,mindgap,new_minus_mindgap,0.07268518241681435,"[0.050958985550528565, 0.09480315212739367]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position__equal_std,evidence__all__position__equal,learned_minus_equal,0.0,"[0.0, 0.0]",1.0,10000,1.0
pb_sla,evidence__all__position__equal_std,ct7,new_minus_ct7,-0.10367255399485875,"[-0.12480462756442007, -0.08262470206935489]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position__equal_std,mindgap,new_minus_mindgap,0.07268518241681435,"[0.050958985550528565, 0.09480315212739367]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position__spectral,evidence__all__position__equal,learned_minus_equal,-0.06477072850897098,"[-0.07993691855207907, -0.04960911485664973]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position__spectral,ct7,new_minus_ct7,-0.16844328250382973,"[-0.19031916841091268, -0.14604674405456464]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position__spectral,mindgap,new_minus_mindgap,0.007914453907843372,"[-0.012678466522488224, 0.029017838035068824]",0.46655334466553344,10000,1.0
pb_sla,evidence__all__position__continuous_lsml,evidence__all__position__equal,learned_minus_equal,-0.06502068471334405,"[-0.07850537134067849, -0.051955019516436086]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position__continuous_lsml,ct7,new_minus_ct7,-0.1686932387082028,"[-0.19141161628581319, -0.14659831493915987]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position__continuous_lsml,mindgap,new_minus_mindgap,0.007664497703470302,"[-0.013893739442202714, 0.028970972384492328]",0.47735226477352266,10000,1.0
pb_sla,evidence__all__plain2__equal,ct7,new_minus_ct7,-0.11913879138686734,"[-0.1391153523338458, -0.09933745728523212]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__plain2__equal,mindgap,new_minus_mindgap,0.05721894502480576,"[0.03596465165626919, 0.07757365394060857]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position2__equal,ct7,new_minus_ct7,-0.11825134858417763,"[-0.13927780601310685, -0.09782490803023104]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__position2__equal,mindgap,new_minus_mindgap,0.05810638782749547,"[0.03658548763095751, 0.07950590582287419]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__randomseed__equal,ct7,new_minus_ct7,-0.2837994826911488,"[-0.31050118125586595, -0.2577931253923912]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__randomseed__equal,mindgap,new_minus_mindgap,-0.1074417462794757,"[-0.12924576746677946, -0.08608254040064323]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__randomseed_position__equal,ct7,new_minus_ct7,-0.253361355890462,"[-0.2807672924042709, -0.2256039476268336]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__randomseed_position__equal,mindgap,new_minus_mindgap,-0.07700361947878889,"[-0.1001834042701911, -0.0539781035401731]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__prioronly__equal,ct7,new_minus_ct7,-0.34083455252385725,"[-0.3653317025846367, -0.31600724456113083]",9.999000099990002e-05,10000,0.031196880311968805
pb_sla,evidence__all__prioronly__equal,mindgap,new_minus_mindgap,-0.16447681611218412,"[-0.18400544809491035, -0.14492483095871925]",9.999000099990002e-05,10000,0.031196880311968805
