task,fold,roster,population,channel,readout
pb_q4,0,evidence30,all,q15_H1,top30
pb_q4,0,evidence30,all,q15_VE1,top30
pb_q4,0,evidence30,all,chosen_surprisal,top30
pb_q4,0,evidence30,all,logprob_margin,top30
pb_q4,0,evidence30,all,true_tail50,top30
pb_q4,0,evidence30,all,energy_level,top30
pb_q4,0,evidence30,all,energy_innovation,top30
pb_q4,0,evidence30,all,top15_turnover,top30
pb_q4,0,evidence30,all,top50_js,top30
pb_q4,0,evidence30,all,dominant_freq16,top30
pb_q4,0,evidence30,all,bocpd_p0,top30
pb_q4,0,evidence,all,q15_H1,top5
pb_q4,0,evidence,all,q15_VE1,top5
pb_q4,0,evidence,all,chosen_surprisal,top5
pb_q4,0,evidence,all,logprob_margin,top5
pb_q4,0,evidence,all,true_tail50,top5
pb_q4,0,evidence,all,energy_level,top5
pb_q4,0,evidence,all,energy_innovation,top5
pb_q4,0,evidence,all,top15_turnover,top5
pb_q4,0,evidence,all,top50_js,top5
pb_q4,0,evidence,all,dominant_freq16,top5
pb_q4,0,evidence,all,bocpd_p0,top5
pb_q4,1,evidence30,all,q15_H1,top30
pb_q4,1,evidence30,all,q15_VE1,top30
pb_q4,1,evidence30,all,chosen_surprisal,top30
pb_q4,1,evidence30,all,logprob_margin,top30
pb_q4,1,evidence30,all,true_tail50,top30
pb_q4,1,evidence30,all,energy_level,top30
pb_q4,1,evidence30,all,energy_innovation,top30
pb_q4,1,evidence30,all,top15_turnover,top30
pb_q4,1,evidence30,all,top50_js,top30
pb_q4,1,evidence30,all,dominant_freq16,top30
pb_q4,1,evidence30,all,bocpd_p0,top30
pb_q4,1,evidence,all,q15_H1,top5
pb_q4,1,evidence,all,q15_VE1,top5
pb_q4,1,evidence,all,chosen_surprisal,top5
pb_q4,1,evidence,all,logprob_margin,top5
pb_q4,1,evidence,all,true_tail50,top5
pb_q4,1,evidence,all,energy_level,top5
pb_q4,1,evidence,all,energy_innovation,top5
